package,registry_hit,repository_url,homepage,fetched_at
db-defaults,debian-13,https://salsa.debian.org/debian/db-defaults,,2026-04-27T20:49:35Z
dbus,debian-13,https://salsa.debian.org/utopia-team/dbus,https://dbus.freedesktop.org/,2026-04-27T20:49:35Z
dbus-glib,debian-13,https://salsa.debian.org/debian/dbus-glib,https://www.freedesktop.org/wiki/Software/DBusBindings,2026-04-27T20:49:35Z
ddcutil,debian-13,https://salsa.debian.org/debian/ddcutil,https://www.ddcutil.com,2026-04-27T20:49:35Z
debconf-kde,debian-13,https://salsa.debian.org/qt-kde-team/extras/debconf-kde,https://projects.kde.org/projects/extragear/sysadmin/libdebconf-kde,2026-04-27T20:49:35Z
debian:bind9utils,,,,2026-04-27T20:49:35Z
debian:cpufrequtils,,,,2026-04-27T20:49:35Z
debian:deborphan,,,,2026-04-27T20:49:35Z
debian:dnsutils,,,,2026-04-27T20:49:35Z
debian:freeglut3,,,,2026-04-27T20:49:35Z
debian:gconf2,,,,2026-04-27T20:49:35Z
debian:ghostscript-x,,,,2026-04-27T20:49:35Z
debian:gir1.2-mutter-11,,,,2026-04-27T20:49:35Z
debian:gir1.2-mutter-7,,,,2026-04-27T20:49:35Z
debian:gir1.2-tracker-2.0,,,,2026-04-27T20:49:35Z
debian:gvfs-bin,,,,2026-04-27T20:49:35Z
debian:imagemagick-6-common,,,,2026-04-27T20:49:35Z
debian:imagemagick-6.q16,,,,2026-04-27T20:49:35Z
debian:iproute,,,,2026-04-27T20:49:35Z
debian:kate5-data,,,,2026-04-27T20:49:35Z
debian:knotes,,,,2026-04-27T20:49:35Z
debian:ksysguard,,,,2026-04-27T20:49:35Z
debian:ksysguard-data,,,,2026-04-27T20:49:35Z
debian:ksysguardd,,,,2026-04-27T20:49:35Z
debian:libapt-pkg6.0,,,,2026-04-27T20:49:35Z
debian:libass5,,,,2026-04-27T20:49:35Z
debian:libavcodec58,,,,2026-04-27T20:49:35Z
debian:libavcodec59,,,,2026-04-27T20:49:35Z
debian:libavdevice58,,,,2026-04-27T20:49:35Z
debian:libavdevice59,,,,2026-04-27T20:49:35Z
debian:libavfilter7,,,,2026-04-27T20:49:35Z
debian:libavfilter8,,,,2026-04-27T20:49:35Z
debian:libavformat58,,,,2026-04-27T20:49:35Z
debian:libavformat59,,,,2026-04-27T20:49:35Z
debian:libavresample4,,,,2026-04-27T20:49:35Z
debian:libavutil56,,,,2026-04-27T20:49:35Z
debian:libavutil57,,,,2026-04-27T20:49:35Z
debian:libcomerr2,,,,2026-04-27T20:49:35Z
debian:libcpufreq0,,,,2026-04-27T20:49:35Z
debian:libcroco3,,,,2026-04-27T20:49:35Z
debian:libcurl3,,,,2026-04-27T20:49:35Z
debian:libcwidget3,,,,2026-04-27T20:49:35Z
debian:libdc1394-22,,,,2026-04-27T20:49:35Z
debian:libdolphinvcs5,,,,2026-04-27T20:49:35Z
debian:libenchant1c2a,,,,2026-04-27T20:49:35Z
debian:libepsilon1,,,,2026-04-27T20:49:35Z
debian:libexiv2-27,,,,2026-04-27T20:49:35Z
debian:libfam0,,,,2026-04-27T20:49:35Z
debian:libflac8,,,,2026-04-27T20:49:35Z
debian:libfluidsynth1,,,,2026-04-27T20:49:35Z
debian:libfreetype6-dev,,,,2026-04-27T20:49:35Z
debian:libgcc1,,,,2026-04-27T20:49:35Z
debian:libgcrypt11,,,,2026-04-27T20:49:35Z
debian:libgdbm3,,,,2026-04-27T20:49:35Z
debian:libgdk-pixbuf2.0-0,,,,2026-04-27T20:49:35Z
debian:libgimp2.0,,,,2026-04-27T20:49:35Z
debian:libgl1-mesa-glx,,,,2026-04-27T20:49:35Z
debian:libgnutls26,,,,2026-04-27T20:49:35Z
debian:libgpgme11-dev,,,,2026-04-27T20:49:35Z
debian:libgps28,,,,2026-04-27T20:49:35Z
debian:libgs9,,,,2026-04-27T20:49:35Z
debian:libgs9-common,,,,2026-04-27T20:49:35Z
debian:libgsasl7,,,,2026-04-27T20:49:35Z
debian:libidn11,,,,2026-04-27T20:49:35Z
debian:libilmbase-dev,,,,2026-04-27T20:49:35Z
debian:libiptc0,,,,2026-04-27T20:49:35Z
debian:libisc95,,,,2026-04-27T20:49:35Z
debian:libk3b7,,,,2026-04-27T20:49:35Z
debian:libk3b7-extracodecs,,,,2026-04-27T20:49:35Z
debian:libkf5konq6,,,,2026-04-27T20:49:35Z
debian:libldap-2.4-2,,,,2026-04-27T20:49:35Z
debian:libldb1,,,,2026-04-27T20:49:35Z
debian:libmagick++-6.q16-8,,,,2026-04-27T20:49:35Z
debian:libmagickcore-6.q16-6,,,,2026-04-27T20:49:35Z
debian:libmagickcore-6.q16-6-extra,,,,2026-04-27T20:49:35Z
debian:libmagickwand-6.q16-6,,,,2026-04-27T20:49:35Z
debian:libmpfr4,,,,2026-04-27T20:49:35Z
debian:libmutter-11-0,,,,2026-04-27T20:49:35Z
debian:libmutter-7-0,,,,2026-04-27T20:49:35Z
debian:libnautilus-extension1a,,,,2026-04-27T20:49:35Z
debian:libncurses5,,,,2026-04-27T20:49:35Z
debian:libncurses5-dev,,,,2026-04-27T20:49:35Z
debian:libncursesw5,,,,2026-04-27T20:49:35Z
debian:libncursesw5-dev,,,,2026-04-27T20:49:35Z
debian:libnetpbm10,,,,2026-04-27T20:49:35Z
debian:libntfs-3g883,,,,2026-04-27T20:49:35Z
debian:libodbc1,,,,2026-04-27T20:49:35Z
debian:libokular5core10,,,,2026-04-27T20:49:35Z
debian:libonig2,,,,2026-04-27T20:49:35Z
debian:libopenexr25,,,,2026-04-27T20:49:35Z
debian:libpango1.0-0,,,,2026-04-27T20:49:35Z
debian:libpcre3,,,,2026-04-27T20:49:35Z
debian:libperl5.32,,,,2026-04-27T20:49:35Z
debian:libperl5.36,,,,2026-04-27T20:49:35Z
debian:libpng12-0,,,,2026-04-27T20:49:35Z
debian:libpolkit-backend-1-0,,,,2026-04-27T20:49:35Z
debian:libpostproc55,,,,2026-04-27T20:49:35Z
debian:libpostproc56,,,,2026-04-27T20:49:35Z
debian:libprocps8,,,,2026-04-27T20:49:35Z
debian:libpstoedit0c2a,,,,2026-04-27T20:49:35Z
debian:libpython2.7,,,,2026-04-27T20:49:35Z
debian:libpython2.7-dev,,,,2026-04-27T20:49:35Z
debian:libpython2.7-minimal,,,,2026-04-27T20:49:35Z
debian:libpython2.7-stdlib,,,,2026-04-27T20:49:35Z
debian:libqt4-dbus,,,,2026-04-27T20:49:35Z
debian:libqt4-network,,,,2026-04-27T20:49:35Z
debian:libqt4-xml,,,,2026-04-27T20:49:35Z
debian:libqtcore4,,,,2026-04-27T20:49:35Z
debian:libqtgui4,,,,2026-04-27T20:49:35Z
debian:libreadline5,,,,2026-04-27T20:49:35Z
debian:libreadline6,,,,2026-04-27T20:49:35Z
debian:librest-0.7-0,,,,2026-04-27T20:49:35Z
debian:libsensors4,,,,2026-04-27T20:49:35Z
debian:libsepol1,,,,2026-04-27T20:49:35Z
debian:libsepol1-dev,,,,2026-04-27T20:49:35Z
debian:libsigc++-2.0-0c2a,,,,2026-04-27T20:49:35Z
debian:libsmbclient,,,,2026-04-27T20:49:35Z
debian:libsmi2ldbl,,,,2026-04-27T20:49:35Z
debian:libsnmp30,,,,2026-04-27T20:49:35Z
debian:libsoup2.4-1,,,,2026-04-27T20:49:35Z
debian:libsource-highlight4v5,,,,2026-04-27T20:49:35Z
debian:libssl1.0.0,,,,2026-04-27T20:49:35Z
debian:libssl1.1,,,,2026-04-27T20:49:35Z
debian:libswresample3,,,,2026-04-27T20:49:35Z
debian:libswresample4,,,,2026-04-27T20:49:35Z
debian:libswscale5,,,,2026-04-27T20:49:35Z
debian:libswscale6,,,,2026-04-27T20:49:35Z
debian:libtasn1-3,,,,2026-04-27T20:49:35Z
debian:libtinfo-dev,,,,2026-04-27T20:49:35Z
debian:libtracker-control-2.0-0,,,,2026-04-27T20:49:35Z
debian:libtracker-miner-2.0-0,,,,2026-04-27T20:49:35Z
debian:libtracker-sparql-2.0-0,,,,2026-04-27T20:49:35Z
debian:libtracker-sparql-3.0-0,,,,2026-04-27T20:49:35Z
debian:libx264-160,,,,2026-04-27T20:49:35Z
debian:libxapian22,,,,2026-04-27T20:49:35Z
debian:libxcb-util0,,,,2026-04-27T20:49:35Z
debian:mlocate,,,,2026-04-27T20:49:35Z
debian:module-init-tools,,,,2026-04-27T20:49:35Z
debian:mysql-client,,,,2026-04-27T20:49:35Z
debian:mysql-server,,,,2026-04-27T20:49:35Z
debian:ntp,,,,2026-04-27T20:49:35Z
debian:ntpdate,,,,2026-04-27T20:49:35Z
debian:odbcinst1debian2,,,,2026-04-27T20:49:35Z
debian:pdftk,,,,2026-04-27T20:49:35Z
debian:perl-modules-5.32,,,,2026-04-27T20:49:35Z
debian:perl-modules-5.36,,,,2026-04-27T20:49:35Z
debian:php5-cli,,,,2026-04-27T20:49:35Z
debian:policykit-1-gnome,,,,2026-04-27T20:49:35Z
debian:polkitd-pkla,,,,2026-04-27T20:49:35Z
debian:python,,,,2026-04-27T20:49:35Z
debian:python-crypto,,,,2026-04-27T20:49:35Z
debian:python-dbus,,,,2026-04-27T20:49:35Z
debian:python-ldb,,,,2026-04-27T20:49:35Z
debian:python-lxml,,,,2026-04-27T20:49:35Z
debian:python-minimal,,,,2026-04-27T20:49:35Z
debian:python-openssl,,,,2026-04-27T20:49:35Z
debian:python-pycurl,,,,2026-04-27T20:49:35Z
debian:python-samba,,,,2026-04-27T20:49:35Z
debian:python-talloc,,,,2026-04-27T20:49:35Z
debian:python-tdb,,,,2026-04-27T20:49:35Z
debian:python2.6-minimal,,,,2026-04-27T20:49:35Z
debian:python2.7,,,,2026-04-27T20:49:35Z
debian:python2.7-dev,,,,2026-04-27T20:49:35Z
debian:python2.7-minimal,,,,2026-04-27T20:49:35Z
debian:sntp,,,,2026-04-27T20:49:35Z
debian:transfig,,,,2026-04-27T20:49:35Z
debian:unrar,,,,2026-04-27T20:49:35Z
debian:wireshark-qt,,,,2026-04-27T20:49:35Z
debian:x11-apps,,,,2026-04-27T20:49:35Z
debian:x11-utils,,,,2026-04-27T20:49:35Z
dee,debian-13,https://salsa.debian.org/debian/dee,https://launchpad.net/dee,2026-04-27T20:49:35Z
discount,debian-13,https://salsa.debian.org/debian/discount,http://www.pell.portland.or.us/~orc/Code/discount/,2026-04-27T20:49:35Z
discover-data,debian-13,https://salsa.debian.org/installer-team/discover-data,,2026-04-27T20:49:35Z
discover-unclassified,,,,2026-04-27T20:49:35Z
distro-info-unclassified,,,,2026-04-27T20:49:35Z
djview,,,,2026-04-27T20:49:35Z
djvulibre,debian-13,https://salsa.debian.org/debian/djvulibre,http://djvu.sourceforge.net/,2026-04-27T20:49:35Z
docutils,,,,2026-04-27T20:49:35Z
dolphin-fm,,,,2026-04-27T20:49:35Z
dos2unix,debian-13,https://salsa.debian.org/debian/dos2unix,https://waterlan.home.xs4all.nl/dos2unix.html,2026-04-27T20:49:35Z
doxygen,debian-13,https://salsa.debian.org/debian/doxygen,https://www.doxygen.nl/,2026-04-27T20:49:35Z
dragon-player,,,,2026-04-27T20:49:35Z
dvd+rw-tools,debian-13,https://salsa.debian.org/optical-media-team/dvd-rw-tools,http://fy.chalmers.se/~appro/linux/DVD+RW/,2026-04-27T20:49:35Z
dvdauthor,debian-13,https://salsa.debian.org/multimedia-team/dvdauthor,https://dvdauthor.sourceforge.net,2026-04-27T20:49:35Z
ebook-tools,debian-13,https://salsa.debian.org/pino/ebook-tools,https://sourceforge.net/projects/ebook-tools/,2026-04-27T20:49:35Z
ed,debian-13,https://salsa.debian.org/debian/ed,https://www.gnu.org/software/ed/,2026-04-27T20:49:35Z
editorconfig-core-unclassified,,,,2026-04-27T20:49:35Z
ell,debian-13,https://salsa.debian.org/debian/ell,,2026-04-27T20:49:35Z
emacs,debian-13,https://salsa.debian.org/rlb/deb-emacs,https://www.gnu.org/software/emacs/,2026-04-27T20:49:35Z
enca,debian-13,https://salsa.debian.org/debian/enca,https://cihar.com/software/enca/,2026-04-27T20:49:35Z
eog,debian-13,https://salsa.debian.org/gnome-team/eog,https://wiki.gnome.org/Apps/EyeOfGnome,2026-04-27T20:49:35Z
epsilon-compressor,,,,2026-04-27T20:49:35Z
esnacc,debian-13,https://salsa.debian.org/debian/esnacc,http://esnacc.org,2026-04-27T20:49:35Z
ethtool,debian-13,https://salsa.debian.org/kernel-team/ethtool,https://www.kernel.org/pub/software/network/ethtool/,2026-04-27T20:49:35Z
evince,debian-13,https://salsa.debian.org/gnome-team/evince,https://apps.gnome.org/Evince/,2026-04-27T20:49:35Z
exempi,debian-13,https://salsa.debian.org/debian/exempi,https://libopenraw.freedesktop.org/wiki/Exempi,2026-04-27T20:49:35Z
exiftool,,,,2026-04-27T20:49:35Z
exim,,,,2026-04-27T20:49:35Z
exo,debian-13,https://salsa.debian.org/xfce-team/desktop/exo,https://docs.xfce.org/xfce/exo/start,2026-04-27T20:49:35Z
fakeroot,debian-13,https://salsa.debian.org/clint/fakeroot,,2026-04-27T20:49:35Z
farstream,,,,2026-04-27T20:49:35Z
fdk-aac,debian-13,https://github.com/mstorsjo/fdk-aac,https://github.com/mstorsjo/fdk-aac,2026-04-27T20:49:35Z
ffcall,debian-13,https://salsa.debian.org/common-lisp-team/ffcall,https://www.gnu.org/software/libffcall/,2026-04-27T20:49:35Z
file-roller,debian-13,https://salsa.debian.org/gnome-team/file-roller,https://wiki.gnome.org/Apps/FileRoller,2026-04-27T20:49:35Z
filezilla,debian-13,https://salsa.debian.org/debian/filezilla,https://filezilla-project.org/,2026-04-27T20:49:35Z
firebird,,,,2026-04-27T20:49:35Z
flashrom,debian-13,https://salsa.debian.org/myczko-guest/flashrom,http://www.flashrom.org,2026-04-27T20:49:35Z
flatpak,debian-13,https://salsa.debian.org/debian/flatpak,https://flatpak.org/,2026-04-27T20:49:35Z
flite,debian-13,https://salsa.debian.org/a11y-team/flite,http://cmuflite.org,2026-04-27T20:49:35Z
folks,debian-13,https://salsa.debian.org/gnome-team/folks,https://wiki.gnome.org/Projects/Folks,2026-04-27T20:49:35Z
foo2zjs,debian-13,https://salsa.debian.org/printing-team/foo2zjs,http://foo2zjs.rkkda.com/,2026-04-27T20:49:35Z
fping,debian-13,https://salsa.debian.org/debian/fping,https://www.fping.org/,2026-04-27T20:49:35Z
freexl,debian-13,https://salsa.debian.org/debian-gis-team/freexl,https://www.gaia-gis.it/fossil/freexl/,2026-04-27T20:49:35Z
galera,,,,2026-04-27T20:49:35Z
garcon,debian-13,https://salsa.debian.org/xfce-team/desktop/garcon,https://docs.xfce.org/xfce/garcon/start,2026-04-27T20:49:35Z
gawk,debian-13,,http://www.gnu.org/software/gawk/,2026-04-27T20:49:35Z
gcab,debian-13,https://salsa.debian.org/debian/gcab,https://wiki.gnome.org/msitools,2026-04-27T20:49:35Z
gcc-defaults,debian-13,https://salsa.debian.org/toolchain-team/gcc-defaults,,2026-04-27T20:49:35Z
gcr,debian-13,https://salsa.debian.org/gnome-team/gcr,https://wiki.gnome.org/Projects/GnomeKeyring,2026-04-27T20:49:35Z
gdb,debian-13,https://salsa.debian.org/gdb-team/gdb,https://www.gnu.org/s/gdb/,2026-04-27T20:49:35Z
gdcm,debian-13,https://salsa.debian.org/med-team/gdcm,http://gdcm.sourceforge.net/,2026-04-27T20:49:35Z
gdk-pixbuf-xlib,debian-13,https://salsa.debian.org/gnome-team/gdk-pixbuf-xlib,https://www.gtk.org/,2026-04-27T20:49:35Z
gdm-gnome-display-manager,,,,2026-04-27T20:49:35Z
gegl,debian-13,https://salsa.debian.org/gnome-team/gegl,https://gegl.org/,2026-04-27T20:49:35Z
geocode-glib,debian-13,https://salsa.debian.org/gnome-team/geocode-glib,,2026-04-27T20:49:35Z
geoip,debian-13,,https://www.maxmind.com/,2026-04-27T20:49:35Z
gexiv2,debian-13,https://salsa.debian.org/gnome-team/gexiv2,https://wiki.gnome.org/Projects/gexiv2,2026-04-27T20:49:35Z
gimp,debian-13,https://salsa.debian.org/gnome-team/gimp,https://www.gimp.org/,2026-04-27T20:49:35Z
gl2ps,debian-13,https://salsa.debian.org/science-team/gl2ps,https://geuz.org/gl2ps/,2026-04-27T20:49:35Z
glade,debian-13,https://salsa.debian.org/gnome-team/glade,https://glade.gnome.org/,2026-04-27T20:49:35Z
glew,debian-13,https://salsa.debian.org/debian/glew,http://glew.sourceforge.net,2026-04-27T20:49:35Z
glibmm,spack.io,https://gitlab.gnome.org/GNOME/glibmm,https://gitlab.gnome.org/GNOME/glibmm,2026-04-27T20:49:35Z
glu,spack.io,https://www.mesa3d.org,https://www.mesa3d.org,2026-04-27T20:49:35Z
glusterfs,debian-13,,https://www.gluster.org/,2026-04-27T20:49:35Z
gnome-autoar,debian-13,https://salsa.debian.org/gnome-team/gnome-autoar,,2026-04-27T20:49:35Z
gnome-bluetooth,debian-12,https://salsa.debian.org/gnome-team/gnome-bluetooth,https://wiki.gnome.org/Projects/GnomeBluetooth,2026-04-27T20:49:35Z
gnome-contacts,debian-13,https://salsa.debian.org/gnome-team/gnome-contacts,https://apps.gnome.org/Contacts/,2026-04-27T20:49:35Z
gnome-control-center,debian-13,https://salsa.debian.org/gnome-team/gnome-control-center,,2026-04-27T20:49:35Z
gnome-desktop,debian-13,https://salsa.debian.org/gnome-team/gnome-desktop,,2026-04-27T20:49:35Z
gnome-disk-utility,debian-13,https://salsa.debian.org/gnome-team/gnome-disk-utility,https://apps.gnome.org/DiskUtility/,2026-04-27T20:49:35Z
gnome-keyring,debian-13,https://salsa.debian.org/gnome-team/gnome-keyring,https://wiki.gnome.org/GnomeKeyring,2026-04-27T20:49:35Z
gnome-menus,debian-13,https://salsa.debian.org/gnome-team/gnome-menus,,2026-04-27T20:49:35Z
gnome-online-accounts,debian-13,https://salsa.debian.org/gnome-team/gnome-online-accounts,https://wiki.gnome.org/Projects/GnomeOnlineAccounts,2026-04-27T20:49:35Z
gnome-panel,debian-13,https://salsa.debian.org/gnome-team/gnome-panel,https://wiki.gnome.org/Projects/GnomePanel,2026-04-27T20:49:35Z
gnome-terminal,debian-13,https://salsa.debian.org/gnome-team/gnome-terminal,https://wiki.gnome.org/Apps/Terminal,2026-04-27T20:49:35Z
gnome-user-share,debian-13,https://salsa.debian.org/gnome-team/gnome-user-share,,2026-04-27T20:49:35Z
gnote,debian-13,https://salsa.debian.org/gnome-team/gnote,https://wiki.gnome.org/Apps/Gnote,2026-04-27T20:49:35Z
gnu-bc,,,,2026-04-27T20:49:35Z
gnumpc,,,,2026-04-27T20:49:35Z
gnuplot,debian-13,https://salsa.debian.org/science-team/gnuplot,https://gnuplot.sourceforge.net/,2026-04-27T20:49:35Z
gom,debian-13,https://salsa.debian.org/debian/gom,http://software.installiert.net,2026-04-27T20:49:35Z
gpgmepp,vcpkg.io,,,2026-04-27T20:49:35Z
gptfdisk,,,,2026-04-27T20:49:35Z
