package,license,fetched_at
debian:libmagick++-6.q16-8,,2026-07-21T21:08:15Z
debian:libmagickcore-6.q16-6,,2026-07-21T21:08:15Z
debian:libmagickcore-6.q16-6-extra,,2026-07-21T21:08:15Z
debian:libmagickwand-6.q16-6,,2026-07-21T21:08:15Z
debian:libmpfr4,,2026-07-21T21:08:15Z
debian:libmutter-11-0,,2026-07-21T21:08:15Z
debian:libnautilus-extension1a,,2026-07-21T21:08:15Z
debian:libncurses5,,2026-07-21T21:08:15Z
debian:libncurses5-dev,,2026-07-21T21:08:15Z
debian:libncursesw5,,2026-07-21T21:08:15Z
debian:libncursesw5-dev,,2026-07-21T21:08:15Z
debian:libnetpbm10,,2026-07-21T21:08:15Z
debian:libntfs-3g883,,2026-07-21T21:08:15Z
debian:libodbc1,,2026-07-21T21:08:15Z
debian:libopenexr25,,2026-07-21T21:08:15Z
debian:libpcre3,,2026-07-21T21:08:15Z
debian:libperl5.32,,2026-07-21T21:08:15Z
debian:libperl5.36,,2026-07-21T21:08:15Z
debian:libpng12-0,,2026-07-21T21:08:15Z
debian:libpolkit-backend-1-0,,2026-07-21T21:08:15Z
debian:libpostproc55,,2026-07-21T21:08:15Z
debian:libpostproc56,,2026-07-21T21:08:15Z
debian:libprocps8,,2026-07-21T21:08:15Z
debian:libpython2.7,,2026-07-21T21:08:15Z
debian:libpython2.7-minimal,,2026-07-21T21:08:15Z
debian:libpython2.7-stdlib,,2026-07-21T21:08:15Z
debian:libreadline5,,2026-07-21T21:08:15Z
debian:libreadline6,,2026-07-21T21:08:15Z
debian:librest-0.7-0,,2026-07-21T21:08:15Z
debian:libsensors4,,2026-07-21T21:08:15Z
debian:libsepol1,,2026-07-21T21:08:15Z
debian:libsmbclient,,2026-07-21T21:08:15Z
debian:libsnmp30,,2026-07-21T21:08:15Z
debian:libsoup2.4-1,,2026-07-21T21:08:15Z
debian:libssl1.0.0,,2026-07-21T21:08:15Z
debian:libssl1.1,,2026-07-21T21:08:15Z
debian:libswresample3,,2026-07-21T21:08:15Z
debian:libswresample4,,2026-07-21T21:08:15Z
debian:libswscale5,,2026-07-21T21:08:15Z
debian:libswscale6,,2026-07-21T21:08:15Z
debian:libtracker-control-2.0-0,,2026-07-21T21:08:15Z
debian:libtracker-miner-2.0-0,,2026-07-21T21:08:15Z
