repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
calvinmetcalf/minimalistic-assert,29144257,2.5,2026-04-20,183583,non-standard,1,,,2026-05-03T17:03:02+00:00
calvinmetcalf/process-nextick-args,36039131,2.3,2026-04-20,486811,MIT,2,,,2026-05-03T17:03:02+00:00
caolan/async,698041,4.1,2026-04-20,186578,MIT,24,,,2026-05-03T17:03:02+00:00
certbot/certbot,26516210,8.1,2026-04-20,472,non-standard,190,,,2026-05-03T17:03:03+00:00
certifi/python-certifi,3060959,6.6,2026-04-20,211308,non-standard,2,,,2026-05-03T17:03:03+00:00
chaijs/type-detect,12107007,4.1,2026-04-20,40343,MIT,8,,,2026-05-03T17:03:03+00:00
chalk/ansi-regex,20451415,3.8,2026-04-20,177582,MIT,1,,,2026-05-03T17:03:04+00:00
chalk/ansi-styles,11803168,3.9,2026-04-20,112637,MIT,0,,,2026-05-03T17:03:04+00:00
chalk/chalk,11855195,3.8,2026-04-20,139117,MIT,5,,,2026-05-03T17:03:04+00:00
chalk/slice-ansi,43191689,4.3,2026-04-20,556,MIT,0,,,2026-05-03T17:03:05+00:00
chalk/strip-ansi,15014856,4,2026-04-20,172890,MIT,0,,,2026-05-03T17:03:05+00:00
chalk/supports-color,11855007,3.9,2026-04-20,4416,MIT,3,,,2026-05-03T17:03:05+00:00
chalk/wrap-ansi,41053676,4.2,2026-04-20,1162,MIT,1,,,2026-05-03T17:03:05+00:00
chalker/safer-buffer,125825141,2.1,2026-04-20,768503,MIT,7,,,2026-05-03T17:03:06+00:00
chardet/chardet,5196969,6.3,2026-04-20,4616,non-standard,1,,,2026-05-03T17:03:06+00:00
cheeriojs/dom-serializer,18991884,6.4,2026-04-20,324,MIT,0,,,2026-05-03T17:03:07+00:00
chicoxyzzy/node-releases,73765596,3.9,2026-04-20,187135,MIT,5,,,2026-05-03T17:03:07+00:00
chronotope/chrono,18210201,5.3,2026-04-20,21417,non-standard,188,,,2026-05-03T17:03:07+00:00
chronotope/humantime,59320323,,,6284,Apache-2.0,18,,,2026-05-03T17:03:07+00:00
clap-rs/clap,31315121,5.5,2026-04-20,14454,Apache-2.0,425,,,2026-05-03T17:03:17+00:00
cloudflare/cloudflare-python,753271547,,,49,Apache-2.0,23,,,2026-05-03T17:03:08+00:00
colinhacks/zod,245704608,4.9,2026-04-20,52489,MIT,98,,,2026-05-03T17:03:15+00:00
colorjs/color-name,27038309,2.5,2026-04-20,52431,MIT,0,,,2026-05-03T17:03:16+00:00
comex/rust-shlex,37886228,3.6,2026-04-20,42884,non-standard,5,,,2026-05-03T17:03:16+00:00
component/escape-html,5444800,2,2026-04-20,334855,MIT,2,,,2026-05-03T17:03:16+00:00
component/toidentifier,114743189,2.8,2026-04-20,328769,MIT,1,,,2026-05-03T17:03:17+00:00
conventional-changelog/commitlint,51575745,5.9,2026-04-20,36171,MIT,166,,,2026-05-03T17:03:21+00:00
conventional-changelog/conventional-changelog,15639771,4.7,2026-04-20,13603,non-standard,249,,,2026-05-03T17:03:20+00:00
cosmiconfig/cosmiconfig,45750507,5.4,2026-04-20,18566,MIT,16,,,2026-05-03T17:03:18+00:00
coveragepy/coveragepy,138421996,,,3460,Apache-2.0,273,,,2026-05-03T17:03:17+00:00
