"package","year","downloads"
"@algolia/client-search","2021","17664615"
"@algolia/client-search","2022","35697142"
"@algolia/client-search","2023","52062630"
"@algolia/client-search","2024","87068383"
"@algolia/client-search","2025","139248917"
"@algolia/events","2021","102572"
"@algolia/events","2022","12522652"
"@algolia/events","2023","21882112"
"@algolia/events","2024","32539579"
"@algolia/events","2025","42394104"
"@algolia/ingestion","2021","0"
"@algolia/ingestion","2022","188"
"@algolia/ingestion","2023","25949"
"@algolia/ingestion","2024","1908571"
"@algolia/ingestion","2025","61218544"
"@algolia/monitoring","2021","0"
"@algolia/monitoring","2022","0"
"@algolia/monitoring","2023","6328"
"@algolia/monitoring","2024","1878588"
"@algolia/monitoring","2025","61164285"
"@algolia/recommend","2021","39413"
"@algolia/recommend","2022","673865"
"@algolia/recommend","2023","1167391"
"@algolia/recommend","2024","26715344"
"@algolia/recommend","2025","92609434"
"@algolia/requester-browser-xhr","2021","17549793"
"@algolia/requester-browser-xhr","2022","34873720"
"@algolia/requester-browser-xhr","2023","49805000"
"@algolia/requester-browser-xhr","2024","81404021"
"@algolia/requester-browser-xhr","2025","136650552"
"@algolia/requester-fetch","2021","0"
"@algolia/requester-fetch","2022","5305"
"@algolia/requester-fetch","2023","98765"
"@algolia/requester-fetch","2024","4082659"
"@algolia/requester-fetch","2025","66706475"
"@algolia/requester-node-http","2021","17539488"
"@algolia/requester-node-http","2022","34862663"
"@algolia/requester-node-http","2023","49798899"
"@algolia/requester-node-http","2024","81400777"
"@algolia/requester-node-http","2025","137422540"
"@algorithm.ts/lcs","2021","0"
"@algorithm.ts/lcs","2022","34940"
"@algorithm.ts/lcs","2023","17515"
"@algorithm.ts/lcs","2024","61327"
"@algorithm.ts/lcs","2025","419075"
"@alloc/quick-lru","2021","424927"
"@alloc/quick-lru","2022","4265332"
"@alloc/quick-lru","2023","116341448"
"@alloc/quick-lru","2024","350782158"
"@alloc/quick-lru","2025","739416489"
"@altano/repository-tools","2021","0"
"@altano/repository-tools","2022","0"
"@altano/repository-tools","2023","0"
"@altano/repository-tools","2024","586319"
"@altano/repository-tools","2025","3714285"
"@amazon-connect/activity","2021","0"
"@amazon-connect/activity","2022","0"
"@amazon-connect/activity","2023","0"
"@amazon-connect/activity","2024","0"
"@amazon-connect/activity","2025","37416"
"@amazon-connect/contact","2021","0"
"@amazon-connect/contact","2022","0"
"@amazon-connect/contact","2023","80"
"@amazon-connect/contact","2024","17053"
"@amazon-connect/contact","2025","73647"
"@amazon-connect/core","2021","0"
"@amazon-connect/core","2022","0"
"@amazon-connect/core","2023","726"
"@amazon-connect/core","2024","41188"
"@amazon-connect/core","2025","1856074"
"@amazon-connect/site","2021","0"
"@amazon-connect/site","2022","0"
"@amazon-connect/site","2023","0"
"@amazon-connect/site","2024","15919"
"@amazon-connect/site","2025","1783192"
"@amazon-connect/site-streams","2021","0"
"@amazon-connect/site-streams","2022","0"
"@amazon-connect/site-streams","2023","0"
"@amazon-connect/site-streams","2024","15901"
"@amazon-connect/site-streams","2025","1773749"
"@amazon-connect/voice","2021","0"
"@amazon-connect/voice","2022","0"
"@amazon-connect/voice","2023","68"
"@amazon-connect/voice","2024","6429"
"@amazon-connect/voice","2025","16617"
"@aml-org/amf-antlr-parsers","2021","0"
"@aml-org/amf-antlr-parsers","2022","126297"
"@aml-org/amf-antlr-parsers","2023","850203"
"@aml-org/amf-antlr-parsers","2024","993246"
"@aml-org/amf-antlr-parsers","2025","1163910"
"@amplitude/analytics-connector","2021","0"
"@amplitude/analytics-connector","2022","5935503"
"@amplitude/analytics-connector","2023","17250970"
"@amplitude/analytics-connector","2024","27971082"
"@amplitude/analytics-connector","2025","50221558"
"@amplitude/types","2021","7307058"
"@amplitude/types","2022","21637441"
"@amplitude/types","2023","0"
"@amplitude/types","2024","15328785"
"@amplitude/types","2025","14794924"
"@amplitude/ua-parser-js","2021","10106710"
"@amplitude/ua-parser-js","2022","24661510"
"@amplitude/ua-parser-js","2023","27976368"
"@amplitude/ua-parser-js","2024","24254211"
"@amplitude/ua-parser-js","2025","30681152"
"@amplitude/utils","2021","7204036"
"@amplitude/utils","2022","21498971"
"@amplitude/utils","2023","20934226"
"@amplitude/utils","2024","15001287"
"@amplitude/utils","2025","14505001"
"@ampproject/remapping","2021","8969934"
"@ampproject/remapping","2022","699962320"
"@ampproject/remapping","2023","1255377233"
"@ampproject/remapping","2024","1654233809"
"@ampproject/remapping","2025","2150775060"
"@ampproject/toolbox-core","2021","27435419"
"@ampproject/toolbox-core","2022","8791059"
"@ampproject/toolbox-core","2023","0"
"@ampproject/toolbox-core","2024","2736004"
"@ampproject/toolbox-core","2025","3397203"
"@ampproject/toolbox-optimizer","2021","27289967"
"@ampproject/toolbox-optimizer","2022","8671163"
"@ampproject/toolbox-optimizer","2023","4955541"
"@ampproject/toolbox-optimizer","2024","2519388"
"@ampproject/toolbox-optimizer","2025","3057447"
"@ampproject/toolbox-runtime-version","2021","27179126"
"@ampproject/toolbox-runtime-version","2022","8646503"
"@ampproject/toolbox-runtime-version","2023","0"
"@ampproject/toolbox-runtime-version","2024","2516885"
"@ampproject/toolbox-runtime-version","2025","3042964"
"@ampproject/toolbox-script-csp","2021","25243374"
