"package","year","downloads"
"altree-examples","2024","4"
"altree-examples","2025","2"
"amanda-client","2021","555"
"amanda-client","2022","571"
"amanda-client","2023","600"
"amanda-client","2024","593"
"amanda-client","2025","614"
"amanda-server","2021","99"
"amanda-server","2022","86"
"amanda-server","2023","79"
"amanda-server","2024","67"
"amanda-server","2025","72"
"amap-align","2021","809"
"amap-align","2022","741"
"amap-align","2023","732"
"amap-align","2024","552"
"amap-align","2025","352"
"amarok","2021","510"
"amarok","2022","271"
"amarok","2023","228"
"amarok","2024","209"
"amarok","2025","386"
"amarok-common","2021","689"
"amarok-common","2022","385"
"amarok-common","2023","333"
"amarok-common","2024","276"
"amarok-common","2025","452"
"amarok-doc","2021","84"
"amarok-doc","2022","53"
"amarok-doc","2023","47"
"amarok-doc","2024","34"
"amarok-doc","2025","38"
"amarok-utils","2021","596"
"amarok-utils","2022","298"
"amarok-utils","2023","255"
"amarok-utils","2024","217"
"amarok-utils","2025","406"
"amb-plugins","2021","1202"
"amb-plugins","2022","1144"
"amb-plugins","2023","1140"
"amb-plugins","2024","997"
"amb-plugins","2025","721"
"ambdec","2021","245"
"ambdec","2022","218"
"ambdec","2023","209"
"ambdec","2024","205"
"ambdec","2025","185"
"amd-dbgapi-dev","2024","2"
"amd-dbgapi-dev","2025","6"
"amideco","2021","28"
"amideco","2022","15"
"amideco","2023","13"
"amideco","2024","18"
"amideco","2025","18"
"amiwm","2021","36"
"amiwm","2022","27"
"amiwm","2023","35"
"amiwm","2024","28"
"amiwm","2025","32"
"amoeba","2021","46"
"amoeba","2022","40"
"amoeba","2023","43"
"amoeba","2024","33"
"amoeba","2025","31"
"amor","2021","430"
"amor","2022","264"
"amor","2023","237"
"amor","2024","120"
"amor","2025","79"
"amora-applet","2021","20"
"amora-applet","2022","10"
"amora-applet","2023","10"
"amora-applet","2024","3"
"amora-applet","2025","2"
"amora-server","2021","2"
"amora-server","2022","2"
"amora-server","2023","2"
"amphetamine","2021","154"
"amphetamine","2022","130"
"amphetamine","2023","130"
"amphetamine","2024","121"
"amphetamine","2025","118"
"ample","2021","18"
"ample","2022","14"
"ample","2023","14"
"ample","2024","18"
"ample","2025","16"
"amsynth","2021","339"
"amsynth","2022","344"
"amsynth","2023","349"
"amsynth","2024","389"
"amsynth","2025","352"
"amtterm","2021","122"
"amtterm","2022","100"
"amtterm","2023","99"
"amtterm","2024","110"
"amtterm","2025","150"
"amule","2021","1425"
"amule","2022","1302"
"amule","2023","1254"
"amule","2024","1355"
"amule","2025","1333"
"amule-common","2021","1593"
"amule-common","2022","1463"
"amule-common","2023","1420"
"amule-common","2024","1551"
"amule-common","2025","1535"
"amule-daemon","2021","209"
"amule-daemon","2022","182"
"amule-daemon","2023","186"
"amule-daemon","2024","196"
"amule-daemon","2025","197"
"amule-gnome-support","2021","160"
"amule-gnome-support","2022","142"
"amule-gnome-support","2023","123"
"amule-gnome-support","2024","140"
"amule-gnome-support","2025","122"
"amule-utils","2021","1494"
"amule-utils","2022","1389"
"amule-utils","2023","1345"
"amule-utils","2024","1442"
"amule-utils","2025","1426"
"amule-utils-gui","2021","345"
"amule-utils-gui","2022","300"
"amule-utils-gui","2023","290"
"amule-utils-gui","2024","306"
"amule-utils-gui","2025","280"
"an","2021","383"
"an","2022","356"
"an","2023","351"
"an","2024","328"
"an","2025","331"
"anacron","2021","99590"
"anacron","2022","92203"
"anacron","2023","105928"
"anacron","2024","115249"
"anacron","2025","134880"
"analitza-common","2021","2887"
"analitza-common","2022","2446"
"analitza-common","2023","2450"
"analitza-common","2024","3091"
"analitza-common","2025","2987"
"and","2021","165"
"and","2022","151"
"and","2023","159"
"and","2024","144"
"and","2025","153"
"android-libandroidfw","2021","1721"
"android-libandroidfw","2022","1590"
"android-libandroidfw","2023","1650"
"android-libandroidfw","2024","1680"
"android-libandroidfw","2025","1777"
"android-libandroidfw-dev","2021","30"
"android-libandroidfw-dev","2022","13"
"android-libandroidfw-dev","2023","17"
"android-libandroidfw-dev","2024","16"
"android-libandroidfw-dev","2025","7"
"android-libbacktrace","2021","3345"
"android-libbacktrace","2022","2354"
"android-libbacktrace","2023","2248"
"android-libbacktrace","2024","1977"
"android-libbacktrace","2025","2017"
"android-libbacktrace-dev","2021","41"
"android-libbacktrace-dev","2022","21"
"android-libbacktrace-dev","2023","25"
"android-libbacktrace-dev","2024","26"
"android-libbacktrace-dev","2025","17"
"android-libbase","2021","9108"
"android-libbase","2022","8559"
"android-libbase","2023","8635"
"android-libbase","2024","9502"
"android-libbase","2025","10652"
"android-libbase-dev","2021","26"
"android-libbase-dev","2022","17"
"android-libbase-dev","2023","23"
"android-libbase-dev","2024","35"
"android-libbase-dev","2025","25"
"android-libboringssl","2021","8071"
"android-libboringssl","2022","7756"
"android-libboringssl","2023","7889"
"android-libboringssl","2024","8861"
"android-libboringssl","2025","9983"
"android-libboringssl-dev","2021","37"
"android-libboringssl-dev","2022","25"
"android-libboringssl-dev","2023","27"
"android-libboringssl-dev","2024","30"
"android-libboringssl-dev","2025","28"
"android-libcutils","2021","9078"
"android-libcutils","2022","8514"
"android-libcutils","2023","8582"
"android-libcutils","2024","9429"
"android-libcutils","2025","10560"
"android-libcutils-dev","2021","55"
"android-libcutils-dev","2022","30"
"android-libcutils-dev","2023","34"
"android-libcutils-dev","2024","32"
"android-libcutils-dev","2025","21"
"android-libext4-utils","2021","3235"
"android-libext4-utils","2022","2689"
"android-libext4-utils","2023","2090"
