"current","old"
"liblorene-export-debian0t64","liblorene-export-debian0"
"liblorenef77-debian1t64","liblorenef77-debian1"
"liblouisutdml9t64","liblouisutdml9"
"liblouisxml1t64","liblouisxml1"
"liblrcalc1t64","liblrcalc1"
"liblrm2t64","liblrm2"
"liblttng-ctl0t64","liblttng-ctl0"
"liblttng-ust-common1t64","liblttng-ust-common1"
"liblttng-ust-ctl5t64","liblttng-ust-ctl5"
"liblttng-ust-python-agent1t64","liblttng-ust-python-agent1"
"liblttng-ust1t64","liblttng-ust1"
"liblucene++-contrib0t64","liblucene++-contrib0"
"liblucene++0t64","liblucene++0"
"libluksde1t64","libluksde1"
"liblv2dynparamhost1-1t64","liblv2dynparamhost1-1"
"liblv2dynparamplugin1-0t64","liblv2dynparamplugin1-0"
"liblwip0t64","liblwip0"
"liblwipv6-2t64","liblwipv6-2"
"liblxc1t64","liblxc1"
"libm4api0.3t64","libm4api0.3"
"libmagic1t64","libmagic1"
"libmailutils9t64","libmailutils9"
"libmapcache1t64","libmapcache1"
"libmapserver2t64","libmapserver2"
"libmariadbd19t64","libmariadbd19"
"libmartchus-c++utilities5t64","libmartchus-c++utilities5"
"libmartchus-qtforkawesome1t64","libmartchus-qtforkawesome1"
"libmate-desktop-2-17t64","libmate-desktop-2-17"
"libmate-slab0t64","libmate-slab0"
"libmate-window-settings1t64","libmate-window-settings1"
"libmateweather1t64","libmateweather1"
"libmathicgb0t64","libmathicgb0"
"libmawk1t64","libmawk1"
"libmdb3t64","libmdb3"
"libmdbsql3t64","libmdbsql3"
"libmdc3t64","libmdc3"
"libmdnsd1t64","libmdnsd1"
"libmedc11t64","libmedc11"
"libmediascan0t64","libmediascan0"
"libmemcached11t64","libmemcached11"
"libmemcachedutil2t64","libmemcachedutil2"
"libmems1t64","libmems1"
"libmfsio1t64","libmfsio1"
"libmgba0.10t64","libmgba0.10"
"libmgl-fltk8t64","libmgl-fltk8"
"libmgl-glut8t64","libmgl-glut8"
"libmgl-mpi8t64","libmgl-mpi8"
"libmgl-qt5-8t64","libmgl-qt5-8"
"libmgl-wnd8t64","libmgl-wnd8"
"libmgl-wx8t64","libmgl-wx8"
"libmgl8t64","libmgl8"
"libmialm3t64","libmialm3"
"libmicrohttpd12t64","libmicrohttpd12"
"libminc2-5.3.0t64","libminc2-5.3.0"
"libminidjvu0t64","libminidjvu0"
"libminini1t64","libminini1"
"libminizip1t64","libminizip1"
"libmircore2t64","libmircore2"
"libmission-control-plugins0t64","libmission-control-plugins0"
"libmjpegutils-2.1-0t64","libmjpegutils-2.1-0"
"libmlir-17t64","libmlir-17"
"libmmb4.0t64","libmmb4.0"
"libmmlib1t64","libmmlib1"
"libmobi0t64","libmobi0"
"libmodest0t64","libmodest0"
"libmodsecurity3t64","libmodsecurity3"
"libmongoc-1.0-0t64","libmongoc-1.0-0"
"libmpdclient2t64","libmpdclient2"
