"package","avg_downloads","2021","2022","2023","2024","2025"
"is-descriptor","2291878835","1989480780","2517870631","2461831928","2255707832","2234503004"
"ansi-escapes","2286350448","1467291153","1828318984","2056990166","2492232524","3586919415"
"is-extglob","2279020241","1335413150","1908823866","2182570298","2477888864","3490405030"
"get-intrinsic","2277469716","934572342","1547454136","2212933954","2652442062","4039946089"
"human-signals","2262481914","798217418","1522796460","2293131780","3020462198","3677801716"
"ci-info","2259760545","1136491175","1880842688","2263656523","2453033355","3564778987"
"object-inspect","2245247736","1230126415","1795545694","2158512508","2520307456","3521746609"
"wrappy","2241553705","1332912554","1825893323","2190739931","2480405333","3377817386"
"es-define-property","2234001437","0","0","0","1299791092","3168211782"
"optionator","2233312697","1333336134","1977913497","2331847040","2371374686","3152092128"
"is-core-module","2227464871","1013527246","1732754800","2256022710","2586024060","3548995540"
"core-util-is","2224880017","1428402049","2037336826","2305571061","2405257638","2947832515"
"fast-glob","2222932790","1078420421","1757946040","2164293323","2469391489","3644612677"
"hosted-git-info","2210433382","1384587059","1795534873","2239518819","2511858473","3120667686"
"sprintf-js","2210309873","1243267796","1631258930","1977061920","2637449084","3562511639"
"electron-to-chromium","2207112993","1259403505","1776388914","2023104347","2434107727","3542560476"
"type-check","2203640524","1304997888","1990679843","2322579746","2311339650","3088605493"
"caniuse-lite","2201962795","1235361295","1743271445","2023651706","2435652458","3571877072"
"concat-map","2201332805","1204483355","1852319704","2182742019","2427596246","3339522701"
"prelude-ls","2192072693","1282501142","1969224351","2307136938","2306991997","3094509039"
"levn","2190405226","1286392064","1971471757","2308910856","2305535160","3079716295"
"call-bound","2181729364","0","0","0","0","2181729364"
"ini","2172216169","1345901318","1785639977","2003575116","2381348621","3344615816"
"callsites","2163659095","1461245619","1760207221","2041474881","2273600346","3281767411"
"rxjs","2159692155","1314298122","1992850061","2303319488","2200231054","2987762051"
"tough-cookie","2154612337","1976476615","2048735347","2045146888","1979498822","2723204016"
"write-file-atomic","2151343941","1196479497","1651408024","2181759771","2525872619","3201199795"
"es-errors","2148077856","0","0","0","1334179349","2961976363"
"axios","2144677290","972241269","1539876925","2315039308","2600482216","3295746736"
"esprima","2138713556","1473037966","1807899765","2045532772","2279941319","3087155962"
"slice-ansi","2131931263","1336543047","1805879090","2044268441","2332061343","3140904396"
"undici-types","2126866054","0","0","210131330","1897047542","4273419291"
"import-fresh","2113212453","1415216363","1717244209","1993398845","2215335373","3224867477"
"binary-extensions","2106222584","1589825478","1905035177","2056120594","2204462755","2775668918"
"postcss-selector-parser","2090163008","1758813530","1894153564","1747087184","1861472163","3189288601"
"@babel/highlight","2086838577","1596190286","2142854859","2309565287","2597783425","1787799031"
"inflight","2056497700","1184733967","1739196374","2101303565","2337090745","2920163853"
"pump","2053257604","1795637331","2023011353","1972882173","2020005432","2454751733"
"get-caller-file","2052942232","1303136666","1687899596","1968807431","2219295063","3085572405"
"p-map","2051864487","1487896941","1932859539","2079795125","2072548376","2686222458"
"fs.realpath","2049238915","1178989688","1719795604","2093294227","2330105390","2924009670"
"path-is-absolute","2045497637","1189934559","1736915666","2085436355","2307469807","2907731799"
"is-binary-path","2037062001","1502760036","1868158194","2045768846","2100156393","2668466536"
"node-releases","2006897955","1089119901","1661769916","1895617708","2184680959","3203301293"
"util-deprecate","1996878292","1237303503","1620362780","1903946961","2186968686","3035809530"
"is-accessor-descriptor","1993750202","2007001193","2593268794","2421743980","1531726036","1415011008"
"is-data-descriptor","1993365514","2005984404","2592846643","2421584636","1531651569","1414760321"
"safer-buffer","1987654268","1294475455","1597150252","1848251295","2139427453","3058966888"
"es-abstract","1978148326","1706674844","1846567135","1860763170","1967097210","2509639274"
"read-pkg","1973330302","2007535720","1932655834","1927038844","1855940969","2143480144"
"uri-js","1971088332","1297824341","1642072364","1874834465","2109013052","2931697440"
"ieee754","1954976964","1268766154","1660601350","1922084929","2183077425","2740354964"
"@babel/helper-module-imports","1951809583","1150995872","1580209781","1852421215","2167881114","3007539934"
"object-assign","1946128093","1305935082","1581780116","1833416410","2077629636","2931879221"
"path-parse","1943782886","1125514282","1558443991","1863303852","2126661717","3044990592"
"ajv-keywords","1943368511","856408711","1529415598","2126696413","2349365950","2854955883"
"follow-redirects","1941780844","1308959648","1596146689","1835523927","2149616526","2818657433"
"escalade","1936239950","836419001","1332943988","1679083556","2323601022","3509152184"
"parse5","1935399287","1294296089","1633118919","1897198336","2070163581","2782219514"
"is-wsl","1934661558","1329025221","1731267606","1937080629","1973589932","2702344404"
"is-plain-object","1931141683","1269416460","1725093224","1987046940","2136401407","2537750385"
"array-union","1928418685","1246820019","1795216808","2008035164","2134826885","2457194553"
"indent-string","1926722052","1368920264","1640318285","1884834360","2074419551","2665117804"
"call-bind","1926081134","915858231","1412290424","1855090375","2472860564","2974306078"
"yaml","1920125563","669390157","1092067869","1733032621","2401069795","3705067376"
"is-plain-obj","1918582933","1050829911","1612133187","1951509833","2145070895","2833370840"
"core-js","1911753867","1756104002","2126600073","1928708892","1714306103","2033050267"
"fast-json-stable-stringify","1910900380","1267443483","1548204983","1781063711","2029108846","2928680880"
"delayed-stream","1906181692","1158901870","1467758680","1800654046","2130294372","2973299492"
"jest-get-type","1903854052","999523624","1635216108","2158243323","2245756632","2480530576"
"combined-stream","1902666413","1226583983","1449188797","1765539345","2112083753","2959936187"
"bn.js","1892147530","1478426026","1946616116","1950042459","1826062500","2259590549"
"chownr","1889276877","1260832669","1643026032","1853285597","1944923115","2744316975"
"acorn-walk","1885622275","938244710","1608303436","1982117297","2266440445","2633005489"
"asynckit","1878916521","1130176245","1442263647","1776792165","2107537604","2937812948"
"diff","1874635497","963954522","1524194142","1788700552","2170956541","2925371730"
"restore-cursor","1872580942","1258754631","1508675234","1655875756","2053857244","2885741845"
"esutils","1872236849","1107219690","1495622834","1761758878","2062879506","2933703340"
"cli-cursor","1871033985","1256291310","1510288147","1657740064","2056506157","2874344248"
"http-proxy-agent","1870605030","621604623","1273718520","1758345479","2394990793","3304365738"
"base64-js","1865449669","1258844408","1516521271","1779145809","2042223113","2730513747"
"domutils","1861186890","1226083844","1567624829","1855277556","2040048982","2616899240"
"require-directory","1848608181","1004011129","1465762170","1799191918","2070230302","2903845390"
"on-finished","1847561702","907266522","1467252986","1921303619","2124919209","2817066176"
"espree","1847199263","950992742","1357942219","1729138622","2070017415","3127905320"
"raw-body","1842893574","1197192943","1607881962","1925926968","1939586412","2543879587"
"@babel/compat-data","1841658845","887298859","1455689400","1813157796","2100237272","2951910902"
"normalize-package-data","1834934810","1182488044","1538623641","1890407448","2109395345","2453759572"
"negotiator","1824454663","955514154","1420336729","1619849419","1793047106","3333525909"
"tmp","1813515545","1181569374","1498898032","1760386815","2044491728","2582231780"
"@babel/helper-compilation-targets","1813514428","877808063","1451147479","1788007142","2065568603","2885040856"
"istanbul-lib-instrument","1810916203","881664268","1337247190","1594692342","2195203957","3045773258"
"supports-preserve-symlinks-flag","1810099692","0","979170835","1577407656","1933596303","2750223977"
"is-callable","1804951078","1218893563","1531601746","1809412090","1945780461","2519067531"
"imurmurhash","1793808655","1003153377","1400963453","1673544757","1990142878","2901238810"
"dotenv","1785853220","902244252","1335471405","1707825646","2006525079","2977199719"
"strip-final-newline","1785774551","641721393","1111861886","1739289883","2374365710","3061633884"
"eslint","1782221469","927590952","1314306926","1663216847","2011170181","2994822440"
"buffer-from","1777150723","1126579610","1562207904","1696109237","1890509407","2610347459"
"side-channel","1772115948","635645572","1259813001","1651736629","2159950824","3153433714"
"read-pkg-up","1771228679","1901701294","1782232142","1738511161","1648550187","1785148613"
"serialize-javascript","1769003800","1152165639","1711056670","1944244210","1883109034","2154443448"
"is-buffer","1768659673","1431160272","1902892338","1960305315","1702972337","1845968105"
"es-object-atoms","1765982851","0","0","0","655117846","2876847856"
"encodeurl","1763322682","891667271","1209949976","1409961134","1770499985","3534535045"
"yocto-queue","1760800050","481154439","870326561","1564337194","2363424576","3524757480"
"dom-serializer","1756999984","1052145105","1469834013","1774952963","1979398174","2508669665"
"is-regex","1752557424","1267854629","1560215041","1626267455","1713992004","2594457994"
"define-properties","1752099980","1024144778","1478735885","1794133937","1970298261","2493187043"
"ipaddr.js","1740976263","932015241","1402002835","1797501161","1987468405","2585893674"
"find-cache-dir","1738931335","1410542864","1689202286","1789063621","1823513570","1982334334"
"domelementtype","1738720072","1358933903","1635627224","1709367840","1775454074","2214217319"
"fast-levenshtein","1734299155","956728260","1398336911","1672340010","1899577367","2744513230"
"object.assign","1728277319","1138868044","1504836029","1666473921","1869479419","2461729182"
"jest-diff","1713900071","935609391","1438711035","1814956060","1917290140","2462933730"
"process-nextick-args","1709018679","1353627195","1519036733","1659445772","1782568955","2230414742"
"array-flatten","1708015246","1283347528","1684248442","1902327652","1758099764","1912052846"
"jest-message-util","1704131550","798772768","1263036032","1888800493","1989965379","2580083082"
"figures","1694626753","1318622781","1528622938","1604956788","1790350792","2230580466"
"fastq","1694257003","712092218","1178540160","1578903933","2010453274","2991295430"
"flatted","1689963210","907374039","1289152474","1556005840","1911086598","2786197103"
"json-parse-even-better-errors","1674905420","636912274","1061493784","1610786663","2118005616","2947328767"
"object-keys","1674038631","1135078023","1435094470","1611043253","1794387973","2394589437"
"domhandler","1670065575","964691916","1331982925","1664114689","1917245948","2472292401"
"nanoid","1665695384","605510262","1135670845","1551158204","1951981122","3084156489"
"lines-and-columns","1655669678","720942762","1141072878","1605134077","1974976732","2836221945"
"deep-is","1655169598","930127710","1367535948","1601233968","1799781715","2577168651"
"finalhandler","1652136257","952672979","1333420634","1629202929","1763258070","2582126675"
"flat-cache","1651414580","860515599","1172135505","1457030911","1889059697","2878331192"
"events","1650951945","1070187160","1419531784","1623094680","1835078249","2306867852"
"prettier","1649474181","799860340","1284466272","1532877464","1928940796","2701226036"
"end-of-stream","1646437171","1239363120","1427895921","1568666427","1718489025","2277771366"
"dir-glob","1640749922","1062858394","1461747751","1696216595","1847367765","2135559105"
"has-property-descriptors","1638003667","0","550277031","1293203565","2137422952","2571111121"
"file-entry-cache","1636349615","872099337","1176127900","1445010800","1863596741","2824913301"
"body-parser","1634434365","914827352","1344324982","1752700117","1789949007","2370370367"
"error-ex","1627373065","969561269","1286819019","1585280444","1780342615","2514861980"
"jest-regex-util","1623685765","768912688","1345301121","1840889702","1831316798","2332008519"
"diff-sequences","1622948995","855538691","1360573673","1761844464","1957851169","2178936978"
"gopd","1617818206","0","53788835","1106035295","1904713842","3406734852"
"log-symbols","1610700825","1074958674","1342621931","1502931311","1741337379","2391654833"
"update-browserslist-db","1609569999","0","372268802","1289488949","1865951041","2910571204"
"parent-module","1607664659","804949881","1145875598","1531065883","1858929887","2697502050"
"send","1604215516","964486533","1367515247","1538266721","1647141972","2503667110"
"sax","1598246603","1178409102","1458769299","1573297336","1739360445","2041396833"
"esrecurse","1594439263","924661338","1206279580","1473045158","1780434938","2587775302"
"run-parallel","1594014431","685109272","1152005427","1549060783","1868811815","2715084862"
"reusify","1591142221","643650192","1111332559","1466025667","1855241707","2879460982"
"is-path-inside","1586697705","1107601520","1257842423","1532634934","1867689337","2167720315"
"merge2","1582906020","774180032","1198940938","1474423981","1804287731","2662697421"
"content-disposition","1582060424","1034512037","1374777711","1533795317","1617641606","2349575449"
"terser","1580429761","1050031776","1474256644","1689036940","1662915505","2025907942"
"decamelize","1577782117","1119206742","1422643723","1603165183","1679938180","2063956759"
"open","1577044669","650199461","1090277914","1680828224","1866882989","2597034760"
"util","1576996932","1366780201","1556324893","1666468364","1560149736","1735261470"
"toidentifier","1561606135","941591591","1420663530","1591386223","1657929827","2196459505"
"merge-stream","1560766029","874280618","1225948757","1537989013","1780067801","2385543956"
"deepmerge","1558979988","847579077","1231612762","1583203807","1777915922","2354588376"
"cssom","1557807884","1108447822","1575519010","1632562663","1616250875","1856259053"
"accepts","1550473446","952610469","1345478766","1521180827","1592662155","2340435013"
"tapable","1545375206","870217281","1332072983","1614631134","1683248766","2226705869"
"fsevents","1541506323","2005320810","1737997819","1423106390","1205234221","1335872377"
"jest-matcher-utils","1540873981","757184598","1241170666","1667418236","1770927807","2267668599"
"ansi-colors","1539967266","1261811708","1518645454","1584113179","1536250007","1799015984"
"serve-static","1536768165","931414227","1323154654","1492840478","1590381948","2346049519"
"natural-compare","1535281173","790145104","1137477565","1431388083","1727530313","2589864803"
"normalize-url","1531447547","1562784668","1630369881","1453271527","1387942688","1622868975"
"enhanced-resolve","1530760573","955753311","1316896029","1547865338","1645178437","2188109752"
"acorn-jsx","1529114680","842219625","1142038196","1430189589","1727662629","2503463364"
"retry","1523691414","793989334","1234094686","1498960007","1728951889","2362461156"
"is-date-object","1517173147","971611387","1281757004","1465346412","1617774890","2249376046"
"string.prototype.trimend","1516890904","929690822","1293545546","1487875071","1707526779","2165816302"
"eventemitter3","1516059791","967467872","1127822193","1258977292","1632088468","2593943130"
"has-tostringtag","1507185806","206145309","999087597","1449424936","1849145070","3032126118"
"to-fast-properties","1505668641","1132917713","1525119205","1743228467","1841232488","1285845336"
"string.prototype.trimstart","1504169355","929944281","1293632886","1488197645","1702766231","2106305735"
"is-symbol","1499148835","977572492","1271991950","1420719241","1592652026","2232808468"
"through2","1494075081","1220966034","1437105555","1533596937","1537937034","1740769847"
"esquery","1491564620","771450262","1051366184","1386624882","1719022513","2529359260"
"range-parser","1488531413","947504589","1265025377","1465726435","1575173903","2189226765"
"queue-microtask","1486628430","441552828","1037430500","1476096574","1821443559","2656618692"
"escodegen","1481377855","997468815","1355327805","1541540358","1604202237","1908350062"
"has-values","1477965070","1653369605","1761820325","1566073046","1219434517","1189127858"
"has-value","1476200520","1652439317","1759333651","1562643330","1216312518","1190273784"
"css-select","1474517693","950910828","1312961764","1503275897","1606916422","1998523554"
"escape-html","1474277453","921479880","1251618159","1466887692","1590516324","2140885213"
"jest-haste-map","1471621008","785254666","1258186788","1640147206","1641745579","2032770802"
"istanbul-lib-coverage","1469674863","890431961","1206489341","1407558112","1617942647","2225952258"
"define-data-property","1467804551","0","0","273939304","1781524608","2347949741"
"nopt","1466086215","1054320531","1212055550","1418348963","1629733147","2015972884"
"unpipe","1460702998","965978147","1312824868","1468202924","1532134860","2024374195"
"destroy","1459288762","887099191","1313255493","1554869807","1623646340","1917572982"
"bl","1455418545","881151307","1147953427","1468686489","1690880215","2088421289"
"fresh","1454413246","901696601","1214271582","1410779178","1501298531","2244020342"
"xtend","1452982049","1140423726","1284525927","1387640853","1484965232","1967354510"
"@babel/helper-annotate-as-pure","1452099730","859834181","1256225981","1403635938","1599602592","2141199958"
