"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"yargs","yargs/yargs","4361764207","2950835082","3796901226","4390960904","4691537869","5978585958","True","0.00115460","A"
"emoji-regex","mathiasbynens/emoji-regex","4915740524","2291730680","3129432200","4055869712","5614354061","9487315970","True","0.00114830","A"
"glob-parent","gulpjs/glob-parent","4202080325","2196581281","3255910165","3981894859","4689798672","6886216650","True","0.00114661","A"
"cssesc","mathiasbynens/cssesc","1271747428","991096216","1167098376","1176117601","1269492663","1754932288","True","0.00113673","A"
"execa","sindresorhus/execa","3549894962","2248771579","2954827652","3564430856","4141912607","4839532116","True","0.00113589","A"
"jsesc","mathiasbynens/jsesc","2786158204","1685882388","2236582295","2634492770","3029760367","4344073200","True","0.00112120","A"
"@babel/helper-annotate-as-pure","babel/babel","1452099730","859834181","1256225981","1403635938","1599602592","2141199958","True","0.00111183","A"
"ini","npm/ini","2172216169","1345901318","1785639977","2003575116","2381348621","3344615816","True","0.00110953","A"
"postcss","postcss/postcss","3601232288","2397326651","3446883588","3564018264","3651730304","4946202636","True","0.00109504","A"
"normalize-path","jonschlinkert/normalize-path","2761855530","1963887785","2503845826","2753961377","2848681963","3738900701","True","0.00108340","A"
"has-property-descriptors","inspect-js/has-property-descriptors","1638003667","0","550277031","1293203565","2137422952","2571111121","True","0.00107206","A"
"is-extendable","jonschlinkert/is-extendable","2573743693","1980305921","2782940886","2934322268","2603211704","2567937687","True","0.00107198","A"
"base64-js","beatgammit/base64-js","1865449669","1258844408","1516521271","1779145809","2042223113","2730513747","True","0.00106935","A"
"ieee754","feross/ieee754","1954976964","1268766154","1660601350","1922084929","2183077425","2740354964","True","0.00106357","A"
"@sinclair/typebox","sinclairzx81/sinclair-typebox","1060874605","606250","229202763","1061721922","1547969549","2464872545","True","0.00106261","A"
"qs","ljharb/qs","3660152090","2724413314","3459831079","3607298597","3796166987","4713050477","True","0.00106042","A"
"@types/json-schema","DefinitelyTyped/DefinitelyTyped","1594756456","856364207","1307522536","1506547181","1776990524","2526357832","True","0.00105696","A"
"cliui","yargs/cliui","3830480299","2415327355","3043073346","3827313881","4289034970","5577651943","True","0.00105286","A"
"callsites","sindresorhus/callsites","2163659095","1461245619","1760207221","2041474881","2273600346","3281767411","True","0.00105244","A"
"@aws-sdk/types","aws/aws-sdk-js-v3","1409077287","91885151","390523917","1361339637","2103582733","3098054999","True","0.00105002","A"
"rimraf","isaacs/rimraf","4011567717","2636874817","3434465572","4178880574","4566015865","5241601759","True","0.00104927","A"
