spdx_id,spdx_id_canonical,name,is_osi_approved,is_fsf_libre,is_deprecated,reference,osi_url,fetched_at
opubl-1.0,OPUBL-1.0,Open Publication License v1.0,False,False,False,https://spdx.org/licenses/OPUBL-1.0.html,,2026-07-06T16:17:40Z
osc-1.0,OSC-1.0,OSC License 1.0,True,False,False,https://spdx.org/licenses/OSC-1.0.html,https://opensource.org/license/OSC-1.0,2026-07-06T16:17:40Z
oset-pl-2.1,OSET-PL-2.1,OSET Public License version 2.1,True,False,False,https://spdx.org/licenses/OSET-PL-2.1.html,https://opensource.org/license/OSET-PL-2.1,2026-07-06T16:17:40Z
osl-1.0,OSL-1.0,Open Software License 1.0,True,True,False,https://spdx.org/licenses/OSL-1.0.html,https://opensource.org/license/OSL-1.0,2026-07-06T16:17:40Z
osl-1.1,OSL-1.1,Open Software License 1.1,False,True,False,https://spdx.org/licenses/OSL-1.1.html,,2026-07-06T16:17:40Z
osl-2.0,OSL-2.0,Open Software License 2.0,True,True,False,https://spdx.org/licenses/OSL-2.0.html,,2026-07-06T16:17:40Z
osl-2.1,OSL-2.1,Open Software License 2.1,True,True,False,https://spdx.org/licenses/OSL-2.1.html,https://opensource.org/license/OSL-2.1,2026-07-06T16:17:40Z
osl-3.0,OSL-3.0,Open Software License 3.0,True,True,False,https://spdx.org/licenses/OSL-3.0.html,https://opensource.org/license/OSL-3.0,2026-07-06T16:17:40Z
ossp,OSSP,OSSP License,False,False,False,https://spdx.org/licenses/OSSP.html,,2026-07-06T16:17:40Z
padl,PADL,PADL License,False,False,False,https://spdx.org/licenses/PADL.html,,2026-07-06T16:17:40Z
paratype-free-font-1.3,ParaType-Free-Font-1.3,ParaType Free Font Licensing Agreement v1.3,False,False,False,https://spdx.org/licenses/ParaType-Free-Font-1.3.html,,2026-07-06T16:17:40Z
parity-6.0.0,Parity-6.0.0,The Parity Public License 6.0.0,False,False,False,https://spdx.org/licenses/Parity-6.0.0.html,,2026-07-06T16:17:40Z
parity-7.0.0,Parity-7.0.0,The Parity Public License 7.0.0,False,False,False,https://spdx.org/licenses/Parity-7.0.0.html,,2026-07-06T16:17:40Z
pddl-1.0,PDDL-1.0,Open Data Commons Public Domain Dedication & License 1.0,False,False,False,https://spdx.org/licenses/PDDL-1.0.html,,2026-07-06T16:17:40Z
php-3.0,PHP-3.0,PHP License v3.0,True,False,False,https://spdx.org/licenses/PHP-3.0.html,https://opensource.org/license/PHP-3.0,2026-07-06T16:17:40Z
php-3.01,PHP-3.01,PHP License v3.01,True,True,False,https://spdx.org/licenses/PHP-3.01.html,,2026-07-06T16:17:40Z
pixar,Pixar,Pixar License,False,False,False,https://spdx.org/licenses/Pixar.html,,2026-07-06T16:17:40Z
pkgconf,pkgconf,pkgconf License,False,False,False,https://spdx.org/licenses/pkgconf.html,,2026-07-06T16:17:40Z
plexus,Plexus,Plexus Classworlds License,False,False,False,https://spdx.org/licenses/Plexus.html,,2026-07-06T16:17:40Z
pnmstitch,pnmstitch,pnmstitch License,False,False,False,https://spdx.org/licenses/pnmstitch.html,,2026-07-06T16:17:40Z
polyform-noncommercial-1.0.0,PolyForm-Noncommercial-1.0.0,PolyForm Noncommercial License 1.0.0,False,False,False,https://spdx.org/licenses/PolyForm-Noncommercial-1.0.0.html,,2026-07-06T16:17:40Z
polyform-small-business-1.0.0,PolyForm-Small-Business-1.0.0,PolyForm Small Business License 1.0.0,False,False,False,https://spdx.org/licenses/PolyForm-Small-Business-1.0.0.html,,2026-07-06T16:17:40Z
postgresql,PostgreSQL,PostgreSQL License,True,False,False,https://spdx.org/licenses/PostgreSQL.html,https://opensource.org/license/PostgreSQL,2026-07-06T16:17:40Z
ppl,PPL,Peer Production License,False,False,False,https://spdx.org/licenses/PPL.html,,2026-07-06T16:17:40Z
psf-2.0,PSF-2.0,Python Software Foundation License 2.0,False,False,False,https://spdx.org/licenses/PSF-2.0.html,https://opensource.org/license/PSF-2-0,2026-07-06T16:17:40Z
psfrag,psfrag,psfrag License,False,False,False,https://spdx.org/licenses/psfrag.html,,2026-07-06T16:17:40Z
psutils,psutils,psutils License,False,False,False,https://spdx.org/licenses/psutils.html,,2026-07-06T16:17:40Z
python-2.0,Python-2.0,Python License 2.0,True,True,False,https://spdx.org/licenses/Python-2.0.html,https://opensource.org/license/Python-2.0,2026-07-06T16:17:40Z
python-2.0.1,Python-2.0.1,Python License 2.0.1,False,False,False,https://spdx.org/licenses/Python-2.0.1.html,,2026-07-06T16:17:40Z
python-ldap,python-ldap,Python ldap License,False,False,False,https://spdx.org/licenses/python-ldap.html,,2026-07-06T16:17:40Z
qhull,Qhull,Qhull License,False,False,False,https://spdx.org/licenses/Qhull.html,,2026-07-06T16:17:40Z
qpl-1.0,QPL-1.0,Q Public License 1.0,True,True,False,https://spdx.org/licenses/QPL-1.0.html,https://opensource.org/license/QPL-1.0,2026-07-06T16:17:40Z
qpl-1.0-inria-2004,QPL-1.0-INRIA-2004,Q Public License 1.0 - INRIA 2004 variant,False,False,False,https://spdx.org/licenses/QPL-1.0-INRIA-2004.html,,2026-07-06T16:17:40Z
radvd,radvd,radvd License,False,False,False,https://spdx.org/licenses/radvd.html,,2026-07-06T16:17:40Z
rdisc,Rdisc,Rdisc License,False,False,False,https://spdx.org/licenses/Rdisc.html,,2026-07-06T16:17:40Z
rhecos-1.1,RHeCos-1.1,Red Hat eCos Public License v1.1,False,False,False,https://spdx.org/licenses/RHeCos-1.1.html,,2026-07-06T16:17:40Z
