repo,2021,2022,2023,2024,2025
felixge/node-combined-stream,1,0,0,0,0
felixge/node-delayed-stream,0,0,0,0,0
feross/buffer,6,0,3,1,1
feross/ieee754,0,0,0,0,0
feross/is-buffer,0,0,0,0,0
feross/queue-microtask,2,0,0,0,0
feross/run-parallel,0,0,0,0,0
feross/safe-buffer,0,0,1,0,0
ffmpeg/ffmpeg,0,0,0,0,0
firebase/firebase-js-sdk,469,311,407,252,154
fitzgen/glob-to-regexp,0,0,0,0,0
floating-ui/floating-ui,82,251,229,148,61
follow-redirects/follow-redirects,15,18,6,12,5
fontconfig/fontconfig,0,0,0,0,0
form-data/form-data,10,3,1,8,16
formatjs/formatjs,217,122,106,104,77
freedesktop-unofficial-mirror/cairo,0,0,0,0,0
freetype/freetype,0,0,0,0,0
frenic/csstype,9,8,4,0,10
frommi/miniz_oxide,5,7,3,3,6
fsevents/fsevents,8,3,12,2,0
fsspec/filesystem_spec,94,71,85,48,38
fsspec/s3fs,62,29,54,27,18
garycourt/uri-js,3,1,2,1,0
gcc-mirror/gcc,0,0,0,0,0
getsentry/sentry-javascript,543,591,1310,1533,1378
giampaolo/psutil,59,53,45,60,70
git/git,0,0,0,0,0
gitlab-freedesktop-mirrors/libxcb,0,0,0,0,0
gitoxidelabs/gitoxide,87,76,152,105,85
gitpython-developers/gitdb,6,2,4,1,2
gitpython-developers/gitpython,124,49,90,56,20
gitpython-developers/smmap,1,0,3,0,0
gkz/levn,0,0,0,0,0
gkz/optionator,0,0,6,1,0
gkz/prelude-ls,0,0,0,0,0
gkz/type-check,0,0,0,0,0
gmp-mirror/gmp,0,0,0,0,0
gnome/gdk-pixbuf,0,0,0,0,0
gnome/glib,0,0,0,0,0
gnome/libxml2,0,0,0,0,0
gnome/pango,0,0,0,0,0
gnosis/libunistring,0,0,0,0,0
gnutls/gnutls,0,0,0,0,0
gnutls/libtasn1,0,0,0,0,0
gnutls/nettle,0,0,0,0,0
google/brotli,22,11,76,14,30
google/zerocopy,0,28,72,189,57
googleapis/google-api-python-client,150,51,39,48,24
googleapis/google-cloud-python,25,27,252,105,82
googleapis/python-api-core,38,27,19,31,16
googlechrome/workbox,180,57,20,211,16
gpg/libgpg-error,0,0,0,0,0
grahamdumpleton/wrapt,37,11,19,7,11
grantjenks/python-sortedcontainers,14,24,8,9,0
graydon/exhaustigen-rs,0,0,0,0,0
gregberge/svgr,84,60,25,14,5
grncdr/merge-stream,1,0,0,1,0
grpc/grpc,559,798,533,0,292
gsnedders/python-webencodings,1,0,0,0,0
guillaumegomez/doc-comment,1,2,0,0,0
gulpjs/glob-parent,17,1,0,0,0
gweis/isodate,7,3,0,5,1
gyscos/zstd-rs,25,39,23,14,7
hapijs/hoek,1,0,2,3,0
harfbuzz/harfbuzz,196,407,156,104,193
here-be/snapdragon,5,1,0,0,0
hiddentao/fast-levenshtein,1,0,0,0,0
httplib2/httplib2,5,3,1,1,2
huggingface/huggingface_hub,87,214,261,301,371
hukkin/tomli,16,17,2,4,7
hyperium/http,8,11,18,24,14
hyperium/http-body,1,6,5,5,5
iarna/aproba,0,0,0,0,0
import-js/eslint-plugin-import,179,185,140,93,100
indexmap-rs/indexmap,10,16,17,26,26
indutny/bn.js,14,3,1,0,0
indygreg/python-zstandard,10,9,10,3,20
inikulin/parse5,8,52,12,7,9
inspect-js/array-buffer-byte-length,0,0,0,0,0
inspect-js/available-typed-arrays,3,0,0,0,0
inspect-js/functions-have-names,1,1,0,0,0
inspect-js/has-property-descriptors,0,1,0,0,0
inspect-js/has-proto,0,0,0,2,0
inspect-js/has-symbols,2,0,0,0,0
inspect-js/has-tostringtag,1,0,0,1,0
inspect-js/hasown,0,0,0,0,1
inspect-js/is-accessor-descriptor,0,0,0,0,0
inspect-js/is-arguments,0,0,0,0,0
inspect-js/is-array-buffer,0,0,0,0,0
inspect-js/is-bigint,1,0,0,0,0
inspect-js/is-boolean-object,1,0,0,0,1
inspect-js/is-callable,1,0,0,0,0
inspect-js/is-core-module,3,1,0,2,1
inspect-js/is-data-descriptor,0,0,1,0,0
inspect-js/is-data-view,0,0,0,0,0
inspect-js/is-date-object,1,0,0,0,0
inspect-js/is-descriptor,0,0,3,0,0
inspect-js/is-number-object,1,0,0,0,0
inspect-js/is-regex,1,0,1,1,0
inspect-js/is-string,1,0,0,0,0
inspect-js/is-symbol,0,0,0,0,0
inspect-js/is-typed-array,0,0,0,0,0
inspect-js/node-supports-preserve-symlinks-flag,0,0,0,0,0
inspect-js/object-inspect,2,1,0,1,0
inspect-js/typed-array-buffer,0,0,0,0,0
inspect-js/which-boxed-primitive,0,0,0,0,0
inspect-js/which-typed-array,4,1,0,0,1
ipython/traitlets,19,19,24,4,0
isaacs/chownr,0,0,0,1,0
isaacs/cliui,0,0,0,0,0
isaacs/core-util-is,0,0,0,0,0
isaacs/fs.realpath,0,0,0,0,0
isaacs/inherits,1,1,1,0,0
isaacs/isexe,0,1,2,0,0
isaacs/minimatch,1,58,23,9,19
isaacs/minipass,1,7,3,1,0
isaacs/minizlib,0,0,1,0,5
isaacs/node-glob,6,26,146,30,26
isaacs/node-graceful-fs,15,9,6,2,0
isaacs/node-lru-cache,4,89,55,26,5
isaacs/node-mkdirp,2,0,8,1,0
isaacs/node-tar,29,12,11,26,9
