repo,2021,2022,2023,2024,2025
ljharb/call-bind-apply-helpers,0,0,0,2,2
ljharb/call-bound,0,0,0,2,1
ljharb/concat-map,0,0,0,0,1
ljharb/define-data-property,0,0,1,0,0
ljharb/define-properties,2,0,2,0,0
ljharb/es-abstract,16,1,4,2,2
ljharb/es-define-property,0,0,0,1,0
ljharb/es-errors,0,0,0,3,0
ljharb/es-shim-unscopables,0,1,0,0,0
ljharb/es-to-primitive,1,0,0,0,0
ljharb/get-intrinsic,5,5,1,1,6
ljharb/get-proto,0,0,0,0,1
ljharb/gopd,0,1,0,0,1
ljharb/internal-slot,2,0,0,0,0
ljharb/object-keys,0,0,0,1,0
ljharb/object.assign,1,2,1,2,0
ljharb/possible-typed-array-names,0,0,0,1,0
ljharb/qs,27,23,15,23,9
ljharb/safe-array-concat,0,0,3,0,0
ljharb/safe-regex-test,0,1,0,0,0
ljharb/set-function-length,0,0,2,0,0
ljharb/set-function-name,0,0,2,0,0
ljharb/shell-quote,0,2,8,4,5
ljharb/side-channel,2,1,0,0,0
ljharb/side-channel-list,0,0,0,1,1
ljharb/side-channel-map,0,0,0,1,0
ljharb/side-channel-weakmap,0,0,0,1,0
ljharb/unbox-primitive,0,0,0,0,0
lodash/lodash,176,139,131,85,42
loganfsmyth/gensync,1,1,0,0,0
lokathor/bytemuck,17,25,28,30,25
