repo,repo_id,git_url,login,contributions,account_type
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,iqronfli,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,fncontroloption,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,fisker,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,eryue0220,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ericrannaud,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,elixiao,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,bvanjoi,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,baseballyama,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,vanillamaster,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,krinkle,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ghaiklor,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,neoncube2,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,dmatteo,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,caub,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,conradirwin,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,cmckni3,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,charmander,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mrbrn197,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,eventualbuddha,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,boopeshmahendran,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,bmeurer,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ben-page,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,artemgovorov,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,arian,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,angelozerr,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,zertosh,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,amilajack,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,sashashura,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,adros,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,walshie4,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,maxdamantus,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,p01,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,keram,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,lgalfaso,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,koic,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,antimatter15,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,kirish-google,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,keheliya,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,kaicataldo,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,lehni,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,julianwyz,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,forivall,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ljharb,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,johannesherr,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,mrjoelkemp,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,joekrump,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,iamstolis,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,honkinggoose,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,pgilad,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,gabrielmfern,1,User
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,maierfelix,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,marijnh,213,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,rreverser,202,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,aparajita,9,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,sebmck,6,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,abraidwood,5,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,adrianheine,3,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,artemgovorov,3,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,wjx,3,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,forbeslindesay,2,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,jenseng,2,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,mrcarlberg,2,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,benekastah,2,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,shinnn,2,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,angelozerr,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,arian,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,btmills,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,brettz9,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,blai,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,conradirwin,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,greenkeeperio-bot,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,jamiebuilds,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,jayphelps,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,johannesherr,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,lehni,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,mathiasbynens,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,p01,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,mishoo,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,mrennie,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,nauja,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,nzakas,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,fitzgen,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,oxyc,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,prust,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,plng,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,remcohaszing,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,goto-bus-stop,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,soda0289,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,rich-harris,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,sverweij,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,sosukesuzuki,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,mysticatea,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,keeyipchan,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,kratorado,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,r-e-d,1,User
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,zsjforcn,1,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,devongovett,1784,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,snowystinger,1031,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,lfdanlu,670,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,reidbarber,440,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,dannify,218,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,yihuiliao,206,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,ktabors,186,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,aaronius,89,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,dompuiu,66,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,ross-pfahler,54,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,xitter,50,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,jhicken,42,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,ryo-manba,34,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,jluyau,33,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,chirokas,31,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,rgeraghty,31,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,sookmax,27,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,midnightcoder06,24,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,pst67662,23,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,nwidynski,22,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,solimant,21,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,lixiaoyan,17,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,lazd,15,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,jnurthen,15,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,matthewdeutsch,14,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,tomsontom,14,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,andarist,13,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,mischnic,13,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,majtest583,11,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,iamwillpowell,11,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,stefanprobst,10,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,dgrossen,9,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,snow893,8,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,joshuajaco,8,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,alirezamirian,7,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,so99ynoodles,7,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,lishichengyan,7,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,tiffany-sy-lin,7,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,unional,6,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,wojtekmaj,6,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,geej,5,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,apoorvakhera,5,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,lukpsaxo,5,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,chungwu,5,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,nami8824,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,angmail101,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,abeljohn,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,slye-stripe,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,tonythomson,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,sonsu-lee,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,pr7prashant,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,intergalacticspacehighway,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,milanbrkic-ms,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,majornista,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,persists,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,dkario,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,drew-walker,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,arumsey,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,amitdahan,4,User
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,andrewchough,4,User
