repo,repo_id,git_url,status,n_contributors,fetched_at
csstree/csstree,gh/67236461,https://github.com/csstree/csstree.git,ok,27,2026-05-19T11:24:13+00:00
curl/curl,gh/569041,https://github.com/curl/curl.git,ok,411,2026-05-19T11:17:23+00:00
cuviper/autocfg,gh/135481335,https://github.com/cuviper/autocfg.git,ok,10,2026-05-19T11:24:14+00:00
cyan4973/xxhash,gh/19330466,https://github.com/cyan4973/xxhash.git,ok,114,2026-05-19T11:24:15+00:00
daaku/nodejs-makeerror,gh/2097803,https://github.com/daaku/nodejs-makeerror.git,ok,2,2026-05-19T11:24:16+00:00
daaku/nodejs-tmpl,gh/2171213,https://github.com/daaku/nodejs-tmpl.git,ok,4,2026-05-19T11:24:17+00:00
dateutil/dateutil,gh/26876372,https://github.com/dateutil/dateutil.git,ok,107,2026-05-19T11:24:19+00:00
davidhalter/parso,gh/90668463,https://github.com/davidhalter/parso.git,ok,49,2026-05-19T11:24:20+00:00
davisjam/safe-regex,gh/90781457,https://github.com/davisjam/safe-regex.git,ok,6,2026-05-19T11:24:21+00:00
dchest/tweetnacl-js,gh/15649752,https://github.com/dchest/tweetnacl-js.git,ok,15,2026-05-19T11:24:23+00:00
dcodeio/long.js,gh/8678904,https://github.com/dcodeio/long.js.git,ok,18,2026-05-19T11:24:25+00:00
debug-js/debug,gh/2871998,https://github.com/debug-js/debug.git,ok,107,2026-05-19T11:24:26+00:00
definitelytyped/definitelytyped,gh/6093316,https://github.com/definitelytyped/definitelytyped.git,ok,387,2026-05-19T11:24:30+00:00
defunctzombie/node-process,gh/7580644,https://github.com/defunctzombie/node-process.git,ok,15,2026-05-19T11:24:29+00:00
django/asgiref,gh/48501860,https://github.com/django/asgiref.git,ok,106,2026-05-19T11:24:31+00:00
djc/rustc-version-rs,gh/41272773,https://github.com/djc/rustc-version-rs.git,ok,15,2026-05-19T11:24:31+00:00
dmitrysoshnikov/regexp-tree,gh/85459304,https://github.com/dmitrysoshnikov/regexp-tree.git,ok,25,2026-05-19T11:24:33+00:00
docutils/docutils,gh/44840244,https://github.com/docutils/docutils.git,ok,1,2026-07-13T16:59:45+00:00
dominictarr/through,gh/4885140,https://github.com/dominictarr/through.git,ok,10,2026-07-05T22:54:34+00:00
doowb/ansi-colors,gh/47135420,https://github.com/doowb/ansi-colors.git,ok,11,2026-05-19T11:22:36+00:00
douglasdwyer/wasm_sync,gh/668034655,https://github.com/douglasdwyer/wasm_sync.git,ok,1,2026-05-19T11:22:36+00:00
dougwilson/nodejs-depd,gh/20848667,https://github.com/dougwilson/nodejs-depd.git,ok,2,2026-05-19T11:22:37+00:00
dtolnay/anyhow,gh/212936374,https://github.com/dtolnay/anyhow.git,ok,25,2026-05-19T11:22:37+00:00
dtolnay/automod,gh/173074854,https://github.com/dtolnay/automod.git,ok,6,2026-05-19T11:22:38+00:00
