repo,repo_id,year,metric,value,fetched_at
ajv-validator/ajv,gh/35914020,2025,closed_issues,6,
ajv-validator/ajv,gh/35914020,2025,opened_issues,36,
ajv-validator/ajv-formats,gh/281084700,2021,closed_issues,17,
ajv-validator/ajv-formats,gh/281084700,2021,opened_issues,25,
ajv-validator/ajv-formats,gh/281084700,2022,closed_issues,10,
ajv-validator/ajv-formats,gh/281084700,2022,opened_issues,26,
ajv-validator/ajv-formats,gh/281084700,2023,closed_issues,2,
ajv-validator/ajv-formats,gh/281084700,2023,opened_issues,5,
ajv-validator/ajv-formats,gh/281084700,2024,closed_issues,2,
ajv-validator/ajv-formats,gh/281084700,2024,opened_issues,12,
ajv-validator/ajv-formats,gh/281084700,2025,closed_issues,2,
ajv-validator/ajv-formats,gh/281084700,2025,opened_issues,6,
ajv-validator/ajv-keywords,gh/60477053,2021,closed_issues,7,
ajv-validator/ajv-keywords,gh/60477053,2021,opened_issues,14,
ajv-validator/ajv-keywords,gh/60477053,2022,closed_issues,5,
ajv-validator/ajv-keywords,gh/60477053,2022,opened_issues,5,
ajv-validator/ajv-keywords,gh/60477053,2023,closed_issues,1,
ajv-validator/ajv-keywords,gh/60477053,2023,opened_issues,7,
ajv-validator/ajv-keywords,gh/60477053,2024,closed_issues,1,
ajv-validator/ajv-keywords,gh/60477053,2024,opened_issues,2,
ajv-validator/ajv-keywords,gh/60477053,2025,closed_issues,0,
ajv-validator/ajv-keywords,gh/60477053,2025,opened_issues,0,
alexcrichton/filetime,gh/35065114,2021,closed_issues,0,
alexcrichton/filetime,gh/35065114,2021,opened_issues,3,
alexcrichton/filetime,gh/35065114,2022,closed_issues,1,
alexcrichton/filetime,gh/35065114,2022,opened_issues,3,
alexcrichton/filetime,gh/35065114,2023,closed_issues,2,
alexcrichton/filetime,gh/35065114,2023,opened_issues,3,
alexcrichton/filetime,gh/35065114,2024,closed_issues,1,
alexcrichton/filetime,gh/35065114,2024,opened_issues,4,
alexcrichton/filetime,gh/35065114,2025,closed_issues,2,
alexcrichton/filetime,gh/35065114,2025,opened_issues,1,
alexcrichton/tar-rs,,2021,closed_issues,12,
alexcrichton/tar-rs,,2021,opened_issues,14,
alexcrichton/tar-rs,,2022,closed_issues,7,
alexcrichton/tar-rs,,2022,opened_issues,21,
alexcrichton/tar-rs,,2023,closed_issues,4,
alexcrichton/tar-rs,,2023,opened_issues,27,
alexcrichton/tar-rs,,2024,closed_issues,4,
alexcrichton/tar-rs,,2024,opened_issues,12,
alexcrichton/tar-rs,,2025,closed_issues,4,
alexcrichton/tar-rs,,2025,opened_issues,11,
alexei/sprintf.js,gh/9175790,2021,closed_issues,4,
alexei/sprintf.js,gh/9175790,2021,opened_issues,7,
alexei/sprintf.js,gh/9175790,2022,closed_issues,1,
alexei/sprintf.js,gh/9175790,2022,opened_issues,1,
alexei/sprintf.js,gh/9175790,2023,closed_issues,1,
alexei/sprintf.js,gh/9175790,2023,opened_issues,2,
alexei/sprintf.js,gh/9175790,2024,closed_issues,0,
alexei/sprintf.js,gh/9175790,2024,opened_issues,1,
alexei/sprintf.js,gh/9175790,2025,closed_issues,0,
alexei/sprintf.js,gh/9175790,2025,opened_issues,1,
alexeyraspopov/picocolors,gh/410740124,2021,closed_issues,14,
alexeyraspopov/picocolors,gh/410740124,2021,opened_issues,18,
alexeyraspopov/picocolors,gh/410740124,2022,closed_issues,1,
alexeyraspopov/picocolors,gh/410740124,2022,opened_issues,2,
alexeyraspopov/picocolors,gh/410740124,2023,closed_issues,3,
alexeyraspopov/picocolors,gh/410740124,2023,opened_issues,5,
alexeyraspopov/picocolors,gh/410740124,2024,closed_issues,16,
alexeyraspopov/picocolors,gh/410740124,2024,opened_issues,15,
alexeyraspopov/picocolors,gh/410740124,2025,closed_issues,1,
alexeyraspopov/picocolors,gh/410740124,2025,opened_issues,3,
alexhuszagh/rust-lexical,gh/155286170,2021,closed_issues,22,
alexhuszagh/rust-lexical,gh/155286170,2021,opened_issues,16,
alexhuszagh/rust-lexical,gh/155286170,2022,closed_issues,12,
alexhuszagh/rust-lexical,gh/155286170,2022,opened_issues,12,
alexhuszagh/rust-lexical,gh/155286170,2023,closed_issues,0,
alexhuszagh/rust-lexical,gh/155286170,2023,opened_issues,12,
alexhuszagh/rust-lexical,gh/155286170,2024,closed_issues,37,
alexhuszagh/rust-lexical,gh/155286170,2024,opened_issues,27,
alexhuszagh/rust-lexical,gh/155286170,2025,closed_issues,7,
alexhuszagh/rust-lexical,gh/155286170,2025,opened_issues,10,
alexindigo/asynckit,gh/59087459,2021,closed_issues,0,
alexindigo/asynckit,gh/59087459,2021,opened_issues,0,
alexindigo/asynckit,gh/59087459,2022,closed_issues,0,
alexindigo/asynckit,gh/59087459,2022,opened_issues,0,
alexindigo/asynckit,gh/59087459,2023,closed_issues,0,
alexindigo/asynckit,gh/59087459,2023,opened_issues,0,
alexindigo/asynckit,gh/59087459,2024,closed_issues,0,
alexindigo/asynckit,gh/59087459,2024,opened_issues,0,
alexindigo/asynckit,gh/59087459,2025,closed_issues,1,
alexindigo/asynckit,gh/59087459,2025,opened_issues,2,
amanieu/parking_lot,gh/58731560,2021,closed_issues,13,
amanieu/parking_lot,gh/58731560,2021,opened_issues,22,
amanieu/parking_lot,gh/58731560,2022,closed_issues,18,
amanieu/parking_lot,gh/58731560,2022,opened_issues,23,
amanieu/parking_lot,gh/58731560,2023,closed_issues,14,
amanieu/parking_lot,gh/58731560,2023,opened_issues,20,
amanieu/parking_lot,gh/58731560,2024,closed_issues,9,
amanieu/parking_lot,gh/58731560,2024,opened_issues,20,
amanieu/parking_lot,gh/58731560,2025,closed_issues,12,
amanieu/parking_lot,gh/58731560,2025,opened_issues,19,
ampproject/remapping,gh/201307670,2021,closed_issues,5,
ampproject/remapping,gh/201307670,2021,opened_issues,5,
ampproject/remapping,gh/201307670,2022,closed_issues,8,
ampproject/remapping,gh/201307670,2022,opened_issues,8,
ampproject/remapping,gh/201307670,2023,closed_issues,1,
ampproject/remapping,gh/201307670,2023,opened_issues,2,
ampproject/remapping,gh/201307670,2024,closed_issues,4,
ampproject/remapping,gh/201307670,2024,opened_issues,4,
ampproject/remapping,gh/201307670,2025,closed_issues,4,
ampproject/remapping,gh/201307670,2025,opened_issues,2,
andialbrecht/sqlparse,gh/4067434,2021,closed_issues,4,
