login,sponsoring_count,sponsoring_status,fetched_at
lddubeau,0,ok,2026-07-13T16:59:59+00:00
legrandin,0,ok,2026-06-29T23:54:22+00:00
libexpat,0,ok,2026-06-29T23:54:22+00:00
libffi,0,ok,2026-06-29T23:54:22+00:00
libidn,0,ok,2026-05-31T18:21:24+00:00
libjpeg-turbo,0,ok,2026-06-29T23:54:23+00:00
libjxl,0,ok,2026-06-29T23:54:23+00:00
libpixman,0,ok,2026-06-29T23:54:23+00:00
libtiff,0,ok,2026-07-13T16:59:59+00:00
libuv,0,ok,2026-06-29T23:54:23+00:00
linusu,0,ok,2026-06-29T23:54:23+00:00
linux-audit,0,ok,2026-06-29T23:54:23+00:00
linux-pam,0,ok,2026-06-29T23:54:23+00:00
litejs,0,ok,2026-06-29T23:54:23+00:00
ljharb,23,ok,2026-06-29T23:54:23+00:00
lodash,0,ok,2026-06-29T23:54:23+00:00
loganfsmyth,0,ok,2026-06-29T23:54:23+00:00
lokathor,0,ok,2026-06-29T23:54:23+00:00
lovell,0,ok,2026-07-13T16:59:59+00:00
lukeed,1,ok,2026-06-29T23:54:23+00:00
lxml,0,ok,2026-06-29T23:54:24+00:00
lydell,0,ok,2026-06-29T23:54:24+00:00
lz4,0,ok,2026-06-29T23:54:24+00:00
madler,0,ok,2026-06-29T23:54:24+00:00
mafintosh,0,ok,2026-06-29T23:54:24+00:00
marshallpierce,0,ok,2026-06-29T23:54:24+00:00
mathiasbynens,0,ok,2026-06-29T23:54:24+00:00
matklad,1,ok,2026-06-29T23:54:24+00:00
matplotlib,0,ok,2026-06-29T23:54:24+00:00
mcollina,1,ok,2026-06-29T23:54:24+00:00
md,0,ok,2026-07-13T16:59:59+00:00
mdn,0,ok,2026-06-29T23:54:24+00:00
medikoo,6,ok,2026-06-29T23:54:25+00:00
meinersbur,0,ok,2026-06-29T23:54:25+00:00
mhammond,0,ok,2026-06-29T23:54:25+00:00
micheles,0,ok,2026-06-29T23:54:25+00:00
micromark,0,ok,2026-06-29T23:54:25+00:00
micromatch,0,ok,2026-06-29T23:54:25+00:00
microsoft,1,ok,2026-06-29T23:54:25+00:00
minimistjs,0,ok,2026-06-29T23:54:25+00:00
mirror,0,ok,2026-06-29T23:54:25+00:00
mitsuhiko,0,ok,2026-06-29T23:54:25+00:00
mm2,0,ok,2026-06-29T23:54:26+00:00
moment,0,ok,2026-06-29T23:54:26+00:00
more-itertools,0,ok,2026-06-29T23:54:26+00:00
motdotla,0,ok,2026-06-29T23:54:26+00:00
moxystudio,0,ok,2026-06-29T23:54:26+00:00
mozilla,0,ok,2026-06-29T23:54:26+00:00
mpc,0,ok,2026-07-13T16:59:59+00:00
mpfr,0,ok,2026-07-13T16:59:59+00:00
mrabarnett,0,ok,2026-06-29T23:54:26+00:00
mrmlnc,0,ok,2026-06-29T23:54:26+00:00
msgpack,0,ok,2026-06-29T23:54:26+00:00
mui,1,ok,2026-07-13T16:59:59+00:00
multimedia-team,0,ok,2026-07-13T16:59:59+00:00
myrne,0,ok,2026-06-29T23:54:26+00:00
mysticatea,2,ok,2026-06-29T23:54:26+00:00
netflix,0,ok,2026-06-29T23:54:27+00:00
nghttp2,0,ok,2026-06-29T23:54:27+00:00
nicolo-ribaudo,4,ok,2026-06-29T23:54:27+00:00
nlnetlabs,0,ok,2026-06-29T23:54:27+00:00
node-fetch,0,ok,2026-06-29T23:54:27+00:00
nodeca,0,ok,2026-06-29T23:54:27+00:00
nodejs,0,ok,2026-06-29T23:54:27+00:00
nodelib,0,ok,2026-06-29T23:54:27+00:00
npm,0,ok,2026-06-29T23:54:27+00:00
numpy,0,ok,2026-06-29T23:54:27+00:00
nv,1,ok,2026-06-29T23:54:27+00:00
nvzqz,0,ok,2026-06-29T23:54:28+00:00
oauthlib,0,ok,2026-06-29T23:54:28+00:00
octokit,0,ok,2026-06-29T23:54:28+00:00
oozcitak,0,ok,2026-06-29T23:54:28+00:00
open-telemetry,0,ok,2026-06-29T23:54:28+00:00
openssl,0,ok,2026-06-29T23:54:28+00:00
p11-glue,0,ok,2026-06-29T23:54:28+00:00
pallets,0,ok,2026-06-29T23:54:28+00:00
pandas-dev,0,ok,2026-06-29T23:54:28+00:00
paramiko,0,ok,2026-06-29T23:54:28+00:00
paulmillr,0,ok,2026-06-29T23:54:29+00:00
pcre2project,0,ok,2026-06-29T23:54:29+00:00
pest-parser,0,ok,2026-06-29T23:54:29+00:00
peternator7,0,ok,2026-06-29T23:54:19+00:00
petkaantonov,0,ok,2026-06-29T23:54:18+00:00
pexpect,0,ok,2026-06-29T23:54:19+00:00
pillarjs,0,ok,2026-06-29T23:54:19+00:00
pixman,0,ok,2026-07-13T16:59:59+00:00
pkgconf,0,ok,2026-06-29T23:54:19+00:00
pnggroup,0,ok,2026-06-29T23:54:19+00:00
postcss,0,ok,2026-06-29T23:54:19+00:00
prettier,0,ok,2026-06-29T23:54:19+00:00
primus,0,ok,2026-06-29T23:54:19+00:00
proptest-rs,0,ok,2026-06-29T23:54:19+00:00
protobufjs,0,ok,2026-06-29T23:54:19+00:00
protocolbuffers,0,ok,2026-06-29T23:54:19+00:00
psf,0,ok,2026-06-29T23:54:19+00:00
psycopg,0,ok,2026-06-29T23:54:19+00:00
pvorb,0,ok,2026-06-29T23:54:19+00:00
py4j,0,ok,2026-06-29T23:54:20+00:00
pyasn1,0,ok,2026-06-29T23:54:20+00:00
pyca,0,ok,2026-06-29T23:54:20+00:00
pydantic,0,ok,2026-06-29T23:54:20+00:00
pygments,0,ok,2026-06-29T23:54:20+00:00
pypa,0,ok,2026-06-29T23:54:20+00:00
pyparsing,0,ok,2026-06-29T23:54:20+00:00
pytest-dev,0,ok,2026-06-29T23:54:20+00:00
python,0,ok,2026-06-29T23:54:20+00:00
python-attrs,0,ok,2026-06-29T23:54:20+00:00
python-cffi,0,ok,2026-06-29T23:54:20+00:00
python-greenlet,0,ok,2026-06-29T23:54:20+00:00
python-hyper,0,ok,2026-06-29T23:54:20+00:00
