repo,repo_id,gh_sponsorships_in,gh_sponsors_enabled,sponsors_status,fetched_at
es-shims/array-includes,gh/28753032,0,False,ok,2026-06-30T10:25:22+00:00
es-shims/dunder-proto,gh/898274312,0,False,ok,2026-06-30T10:25:22+00:00
es-shims/es-object-atoms,gh/773229339,0,False,ok,2026-06-30T10:25:22+00:00
es-shims/es-set-tostringtag,gh/580683868,0,False,ok,2026-06-30T10:25:22+00:00
es-shims/math-intrinsics,gh/902014040,0,False,ok,2026-06-30T10:25:23+00:00
es-shims/object.values,gh/41723335,0,False,ok,2026-06-30T10:25:23+00:00
es-shims/regexp.prototype.flags,gh/26932422,0,False,ok,2026-06-30T10:25:23+00:00
es-shims/string.prototype.trimend,gh/114682758,0,False,ok,2026-06-30T10:25:23+00:00
es-shims/string.prototype.trimstart,gh/114682105,0,False,ok,2026-06-30T10:25:24+00:00
eslint-community/eslint-utils,gh/568240379,0,False,ok,2026-06-30T10:25:24+00:00
eslint/doctrine,gh/4286644,67,True,ok,2026-07-06T11:10:40+00:00
eslint/eslint,gh/11061773,68,True,ok,2026-06-30T10:25:24+00:00
eslint/js,gh/27620277,68,True,ok,2026-06-30T10:25:24+00:00
eslint/rewrite,gh/791446923,68,True,ok,2026-06-30T10:25:25+00:00
estools/escodegen,gh/3611422,0,False,ok,2026-06-30T10:25:25+00:00
estools/esquery,gh/11412938,0,False,ok,2026-06-30T10:25:25+00:00
estools/esrecurse,gh/27429822,0,False,ok,2026-06-30T10:25:25+00:00
estools/estraverse,gh/6145439,0,False,ok,2026-06-30T10:25:26+00:00
estools/esutils,gh/14677293,0,False,ok,2026-06-30T10:25:26+00:00
ethers-io/ethers.js,gh/63465664,6,True,ok,2026-06-30T10:25:26+00:00
evanw/esbuild,gh/61137153,0,False,ok,2026-06-30T10:25:27+00:00
evanw/node-source-map-support,gh/7682781,0,False,ok,2026-06-30T10:25:27+00:00
eventualbuddha/lines-and-columns,gh/47284288,0,False,ok,2026-06-30T10:25:27+00:00
executablebooks/markdown-it-py,gh/249956697,0,False,ok,2026-06-30T10:25:27+00:00
executablebooks/mdurl,gh/387293763,0,False,ok,2026-06-30T10:25:28+00:00
exodusoss/bytes,gh/885154008,0,False,ok,2026-06-30T10:25:28+00:00
expressjs/body-parser,gh/15669006,0,False,ok,2026-06-30T10:25:28+00:00
expressjs/serve-static,gh/17464338,0,False,ok,2026-06-30T10:25:28+00:00
facebook/create-react-app,gh/63537249,0,False,ok,2026-06-30T10:25:29+00:00
facebook/metro,gh/76504246,0,False,ok,2026-06-30T10:25:29+00:00
facebook/prop-types,gh/87597642,0,False,ok,2026-07-06T11:10:40+00:00
facebook/react,gh/10270250,0,False,ok,2026-06-30T10:25:29+00:00
facebook/regenerator,gh/13346571,0,False,ok,2026-07-06T11:10:41+00:00
facebook/watchman,gh/6930489,0,False,ok,2026-06-30T10:25:29+00:00
facebook/zstd,gh/29759715,0,False,ok,2026-06-30T10:25:30+00:00
facelessuser/soupsieve,gh/160789418,12,True,ok,2026-06-30T10:25:30+00:00
fastify/fast-uri,gh/419317518,13,True,ok,2026-06-30T10:25:30+00:00
faye/websocket-driver-node,gh/9733816,0,False,ok,2026-06-30T10:25:30+00:00
fb55/boolbase,gh/16864585,6,True,ok,2026-06-30T10:25:31+00:00
fb55/css-select,gh/3411063,6,True,ok,2026-06-30T10:25:31+00:00
fb55/css-what,gh/4460687,6,True,ok,2026-06-30T10:25:31+00:00
fb55/domelementtype,gh/6627835,6,True,ok,2026-06-30T10:25:31+00:00
fb55/domhandler,gh/5414232,6,True,ok,2026-06-30T10:25:32+00:00
fb55/domutils,gh/6627949,6,True,ok,2026-06-30T10:25:32+00:00
fb55/entities,gh/3172629,6,True,ok,2026-06-30T10:25:32+00:00
fb55/htmlparser2,gh/2279062,6,True,ok,2026-06-30T10:25:33+00:00
fb55/nth-check,gh/16864923,6,True,ok,2026-06-30T10:25:33+00:00
felixge/node-combined-stream,gh/1787452,0,False,ok,2026-06-30T10:25:33+00:00
felixge/node-delayed-stream,gh/1783893,0,False,ok,2026-06-30T10:25:33+00:00
feross/buffer,gh/14494363,8,True,ok,2026-06-30T10:25:34+00:00
feross/ieee754,gh/15489525,8,True,ok,2026-06-30T10:25:34+00:00
feross/is-buffer,gh/25997846,8,True,ok,2026-06-30T10:25:34+00:00
feross/queue-microtask,gh/207021895,8,True,ok,2026-06-30T10:25:34+00:00
feross/run-parallel,gh/18700638,8,True,ok,2026-06-30T10:25:35+00:00
feross/safe-buffer,gh/49538897,8,True,ok,2026-06-30T10:25:35+00:00
ffmpeg/ffmpeg,gh/1614410,40,True,ok,2026-06-30T10:25:35+00:00
firebase/firebase-js-sdk,gh/89290483,0,False,ok,2026-06-30T10:25:36+00:00
fitzgen/glob-to-regexp,gh/11461122,0,False,ok,2026-07-06T11:10:41+00:00
floatdrop/require-from-string,gh/39301848,0,False,ok,2026-07-06T11:10:41+00:00
floating-ui/floating-ui,gh/54994103,1,True,ok,2026-06-30T10:25:36+00:00
follow-redirects/follow-redirects,gh/6697086,0,False,ok,2026-06-30T10:25:20+00:00
fontconfig/fontconfig,gh/926884194,0,False,ok,2026-07-06T11:10:41+00:00
form-data/form-data,gh/1755793,0,False,ok,2026-06-30T10:25:20+00:00
formatjs/formatjs,gh/19117456,0,False,ok,2026-06-30T10:25:20+00:00
freedesktop-unofficial-mirror/cairo,gh/34372735,0,False,ok,2026-06-30T10:25:20+00:00
freedesktop/xorg-xorgproto,,,,ok,2026-05-31T18:21:23+00:00
freetype/freetype,gh/187000659,0,False,ok,2026-06-30T10:25:21+00:00
frenic/csstype,gh/104001328,0,False,ok,2026-06-30T10:25:21+00:00
frommi/miniz_oxide,gh/96124162,0,False,ok,2026-06-30T10:25:21+00:00
fsevents/fsevents,gh/1402936,0,False,ok,2026-06-30T10:25:21+00:00
fsspec/filesystem_spec,gh/130727736,0,False,ok,2026-06-30T10:25:22+00:00
fsspec/s3fs,gh/53987953,0,False,ok,2026-06-30T10:25:22+00:00
garycourt/uri-js,gh/989080,0,False,ok,2026-06-30T10:25:22+00:00
gcc-mirror/gcc,gh/22711503,0,False,ok,2026-06-30T10:25:22+00:00
getsentry/sentry-javascript,gh/3328572,0,False,ok,2026-06-30T10:25:23+00:00
giampaolo/psutil,gh/20101515,6,True,ok,2026-06-30T10:25:23+00:00
git/git,gh/36502,0,False,ok,2026-06-30T10:25:23+00:00
gitlab-freedesktop-mirrors/libxcb,gh/444023705,0,False,ok,2026-06-30T10:25:23+00:00
gitoxidelabs/gitoxide,gh/136510559,0,False,ok,2026-06-30T10:25:24+00:00
gitpython-developers/gitdb,gh/1126093,0,False,ok,2026-06-30T10:25:24+00:00
gitpython-developers/smmap,gh/1865144,0,False,ok,2026-06-30T10:25:24+00:00
