user_id,login,has_sponsors_listing,status,fetched_at
128223,zzzeek,False,ok,2026-07-05T18:36:57+00:00
130003,agronholm,False,ok,2026-07-05T18:36:54+00:00
130553,vsajip,False,ok,2026-07-05T18:36:53+00:00
132260,loganfsmyth,False,ok,2026-07-05T18:36:58+00:00
134893,dhardy,True,ok,2026-07-05T18:36:56+00:00
137979,tartley,True,ok,2026-07-05T18:37:01+00:00
138943,gweis,False,ok,2026-07-05T18:37:00+00:00
142360,lauriro,True,ok,2026-07-05T18:36:56+00:00
142891,behdad,False,ok,2026-07-05T18:37:00+00:00
144359,birkenfeld,False,ok,2026-07-05T18:37:01+00:00
144427,marijnh,True,ok,2026-07-05T18:37:00+00:00
145979,dstufft,False,ok,2026-07-05T18:36:58+00:00
147214,brson,False,ok,2026-07-05T18:36:51+00:00
150063,jprichardson,False,ok,2026-07-05T18:36:57+00:00
151929,minrk,False,ok,2026-07-05T18:36:52+00:00
155238,nikomatsakis,False,ok,2026-07-05T18:36:54+00:00
156838,ronnypfannschmidt,False,ok,2026-07-05T18:36:53+00:00
157505,liris,False,ok,2026-07-05T18:36:57+00:00
158471,djc,True,ok,2026-07-05T18:36:57+00:00
158859,davidaurelio,False,ok,2026-07-05T18:36:54+00:00
158942,garycourt,False,ok,2026-07-05T18:36:57+00:00
160242,danburkert,False,ok,2026-07-05T18:36:54+00:00
161052,agramfort,False,ok,2026-07-05T18:36:54+00:00
161495,reaperhulk,False,ok,2026-07-05T18:36:51+00:00
162737,joshtriplett,True,ok,2026-07-05T18:36:56+00:00
164050,broofa,True,ok,2026-07-05T18:36:51+00:00
166258,brianloveswords,False,ok,2026-07-05T18:36:51+00:00
169573,smtakeda,False,ok,2026-07-05T18:36:58+00:00
170270,sindresorhus,True,ok,2026-07-05T18:36:57+00:00
172584,fisker,True,ok,2026-07-05T18:36:56+00:00
174850,samn,False,ok,2026-07-05T18:36:53+00:00
176295,jonhoo,True,ok,2026-07-05T18:37:02+00:00
177011,bagder,True,ok,2026-07-05T18:36:58+00:00
183534,pvorb,True,ok,2026-07-05T18:37:02+00:00
188041,oozcitak,True,ok,2026-07-05T18:36:57+00:00
188768,fb55,True,ok,2026-07-05T18:36:55+00:00
189580,linusu,True,ok,2026-07-05T18:36:57+00:00
191719,jviereck,False,ok,2026-07-05T18:36:58+00:00
192891,thlorenz,True,ok,2026-07-05T18:36:51+00:00
194609,bcoe,True,ok,2026-07-05T18:36:59+00:00
196390,kpdecker,False,ok,2026-07-05T18:37:01+00:00
197597,vjeux,False,ok,2026-07-05T18:36:53+00:00
198255,longlho,False,ok,2026-07-05T18:36:58+00:00
199035,mzabriskie,False,ok,2026-07-05T18:36:53+00:00
199429,dvarrazzo,True,ok,2026-07-05T18:36:58+00:00
199592,methane,True,ok,2026-07-05T18:36:51+00:00
199618,mm2,False,ok,2026-07-05T18:36:52+00:00
199813,tacaswell,False,ok,2026-07-05T18:37:01+00:00
203457,eustas,False,ok,2026-07-05T18:37:02+00:00
205036,lgrammel,False,ok,2026-07-05T18:36:57+00:00
205760,kemitchell,False,ok,2026-07-05T18:37:00+00:00
208018,dholth,False,ok,2026-07-05T18:36:56+00:00
208217,gaelvaroquaux,False,ok,2026-07-05T18:36:57+00:00
218257,piscisaureus,False,ok,2026-07-05T18:37:00+00:00
218840,michaelficarra,False,ok,2026-07-05T18:36:51+00:00
219043,jcfr,False,ok,2026-07-05T18:37:00+00:00
219470,benjaminp,False,ok,2026-07-05T18:37:00+00:00
225102,rillian,False,ok,2026-07-05T18:36:52+00:00
232441,akimd,False,ok,2026-07-05T18:36:54+00:00
233706,mblondel,False,ok,2026-07-05T18:36:51+00:00
236356,theskumar,False,ok,2026-07-05T18:36:51+00:00
237182,frenic,False,ok,2026-07-05T18:36:57+00:00
238531,indutny,True,ok,2026-07-05T18:36:56+00:00
240717,madler,False,ok,2026-07-05T18:36:59+00:00
240830,sigmavirus24,False,ok,2026-07-05T18:36:57+00:00
241745,vene,False,ok,2026-07-05T18:36:53+00:00
242750,tseaver,False,ok,2026-07-05T18:36:52+00:00
242954,yangtse,False,ok,2026-07-05T18:36:55+00:00
244010,dmitrysoshnikov,False,ok,2026-07-05T18:36:57+00:00
254565,exarkun,False,ok,2026-07-05T18:36:55+00:00
254880,teoliphant,True,ok,2026-07-05T18:37:02+00:00
264461,tob2,False,ok,2026-07-05T18:36:52+00:00
265902,natevw,False,ok,2026-07-05T18:36:54+00:00
266146,jicama,False,ok,2026-07-05T18:37:01+00:00
266302,gregberge,True,ok,2026-07-05T18:36:59+00:00
266594,hiddentao,False,ok,2026-07-05T18:37:01+00:00
270491,lahmatiy,False,ok,2026-07-05T18:36:55+00:00
275871,bnoordhuis,False,ok,2026-07-05T18:37:02+00:00
277161,quodlibetor,False,ok,2026-07-05T18:36:51+00:00
278509,amanieu,False,ok,2026-07-05T18:36:55+00:00
291301,chalker,False,ok,2026-07-05T18:36:52+00:00
291359,simonsapin,False,ok,2026-07-05T18:36:57+00:00
293473,sandersn,False,ok,2026-07-05T18:36:54+00:00
300067,dy,True,ok,2026-07-05T18:36:58+00:00
300465,seebees,False,ok,2026-07-05T18:36:55+00:00
301846,sdroege,False,ok,2026-07-05T18:36:54+00:00
302469,qulogic,False,ok,2026-07-05T18:36:51+00:00
302715,rumyra,False,ok,2026-07-05T18:36:53+00:00
308610,jaraco,True,ok,2026-07-05T18:36:59+00:00
310393,stebalien,False,ok,2026-07-05T18:36:59+00:00
317464,saghul,False,ok,2026-07-05T18:36:53+00:00
320755,abravalheri,False,ok,2026-07-05T18:32:32+00:00
321463,warrenweckesser,False,ok,2026-07-05T18:36:54+00:00
321534,mmckerns,False,ok,2026-07-05T18:36:52+00:00
321799,tailhook,False,ok,2026-07-05T18:37:01+00:00
323836,lifthrasiir,False,ok,2026-07-05T18:36:57+00:00
326742,philipwalton,False,ok,2026-07-05T18:37:00+00:00
327919,lidavidm,False,ok,2026-07-05T18:36:57+00:00
327925,takluyver,False,ok,2026-07-05T18:37:01+00:00
329591,wesm,True,ok,2026-07-05T18:36:54+00:00
329626,newpavlov,False,ok,2026-07-05T18:36:54+00:00
