repo,repo_id,has_funding_links,has_funding_yml,funding_link_platforms,github,patreon,open_collective,ko_fi,tidelift,community_bridge,liberapay,issuehunt,lfx_crowdfunding,polar,buy_me_a_coffee,thanks_dev,otechie,custom,fetched_at
debug-js/debug,gh/2871998,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
definitelytyped/definitelytyped,gh/6093316,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
defunctzombie/node-process,gh/7580644,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
django/asgiref,gh/48501860,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
djc/rustc-version-rs,gh/41272773,True,True,"github,patreon",djc,dochtman,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dmitrysoshnikov/regexp-tree,gh/85459304,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
docutils/docutils,gh/44840244,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dominictarr/through,gh/4885140,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
doowb/ansi-colors,gh/47135420,True,False,github,"doowb,jonschlinkert",,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
douglasdwyer/wasm_sync,gh/668034655,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dougwilson/nodejs-depd,gh/20848667,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/anyhow,gh/212936374,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/automod,gh/173074854,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/dissimilar,gh/229514821,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/indoc,gh/54252316,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/itoa,gh/61962375,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/no-panic,gh/143469762,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:51+00:00
dtolnay/paste,gh/155652490,True,True,github,dtolnay,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
dtolnay/proc-macro2,gh/91860126,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/quote,gh/67273122,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/ref-cast,gh/106295902,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/rustversion,gh/183990447,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/ryu,gh/142720484,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/semver,gh/22432442,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/syn,gh/67305738,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/target-triple,gh/734167706,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/thiserror,gh/213836768,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/trybuild,gh/184941159,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
dtolnay/unicode-ident,gh/492639579,True,True,github,dtolnay,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
eemeli/yaml,gh/119439276,True,True,"github,tidelift",eemeli,,,,yaml,,,,,,,,,,2026-06-30T14:18:54+00:00
ehmicky/human-signals,gh/214467546,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
eliben/pycparser,gh/10589864,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
emotion-js/emotion,gh/92570536,True,True,open_collective,,,emotion,,,,,,,,,,,,2026-06-30T14:18:54+00:00
enarx/ciborium,gh/313759241,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
encode/httpcore,gh/237210639,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
encode/httpx,gh/179492861,True,True,github,encode,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
epoberezkin/fast-deep-equal,gh/94483360,True,True,"github,tidelift",epoberezkin,,,,fast-deep-equal,,,,,,,,,,2026-06-30T14:18:54+00:00
epoberezkin/fast-json-stable-stringify,gh/108103016,True,True,"github,tidelift",epoberezkin,,,,fast-json-stable-stringify,,,,,,,,,,2026-06-30T14:18:54+00:00
epoberezkin/json-schema-traverse,gh/93333933,True,True,"github,tidelift",epoberezkin,,,,json-schema-traverse,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/array-includes,gh/28753032,True,True,"github,tidelift",ljharb,,,,array-includes,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/dunder-proto,gh/898274312,True,True,"github,tidelift",ljharb,,,,dunder-proto,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/es-object-atoms,gh/773229339,True,True,"github,tidelift",ljharb,,,,es-object,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/es-set-tostringtag,gh/580683868,True,True,"github,tidelift",ljharb,,,,es5-shim,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/math-intrinsics,gh/902014040,True,True,"github,tidelift",ljharb,,,,math-intrinsics,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/object.values,gh/41723335,True,True,"github,tidelift",ljharb,,,,es5-shim,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/regexp.prototype.flags,gh/26932422,True,True,"github,tidelift",ljharb,,,,es5-shim,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/string.prototype.trimend,gh/114682758,True,True,"github,tidelift",ljharb,,,,es5-shim,,,,,,,,,,2026-06-30T14:18:54+00:00
es-shims/string.prototype.trimstart,gh/114682105,True,True,"github,tidelift",ljharb,,,,es5-shim,,,,,,,,,,2026-06-30T14:18:54+00:00
eslint-community/eslint-utils,gh/568240379,True,True,"github,open_collective,tidelift",eslint,,eslint,,eslint,,,,,,,,,,2026-06-30T14:18:54+00:00
eslint/doctrine,gh/4286644,True,True,"github,open_collective,tidelift",eslint,,eslint,,eslint,,,,,,,,,,2026-07-06T11:10:39+00:00
eslint/eslint,gh/11061773,True,True,"github,open_collective,tidelift",eslint,,eslint,,eslint,,,,,,,,,,2026-06-30T14:18:54+00:00
eslint/js,gh/27620277,True,True,"github,open_collective,tidelift",eslint,,eslint,,eslint,,,,,,,,,,2026-06-30T14:18:54+00:00
eslint/rewrite,gh/791446923,True,True,"github,open_collective,tidelift",eslint,,eslint,,eslint,,,,,,,,,,2026-06-30T14:18:54+00:00
estools/escodegen,gh/3611422,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
estools/esquery,gh/11412938,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
estools/esrecurse,gh/27429822,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
estools/estraverse,gh/6145439,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
estools/esutils,gh/14677293,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
ethers-io/ethers.js,gh/63465664,True,True,"github,custom",ethers-io,,,,,,,,,,,,,"https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny-2,https://www.buymeacoffee.com/ricmoo",2026-06-30T14:18:54+00:00
evanw/esbuild,gh/61137153,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
evanw/node-source-map-support,gh/7682781,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
eventualbuddha/lines-and-columns,gh/47284288,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
executablebooks/markdown-it-py,gh/249956697,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
executablebooks/mdurl,gh/387293763,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
exodusoss/bytes,gh/885154008,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
expressjs/body-parser,gh/15669006,True,True,open_collective,,,express,,,,,,,,,,,,2026-06-30T14:18:54+00:00
expressjs/serve-static,gh/17464338,True,True,open_collective,,,express,,,,,,,,,,,,2026-06-30T14:18:54+00:00
facebook/create-react-app,gh/63537249,True,True,open_collective,,,create-react-app,,,,,,,,,,,,2026-06-30T14:18:54+00:00
facebook/metro,gh/76504246,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
facebook/prop-types,gh/87597642,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
facebook/react,gh/10270250,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:54+00:00
