package,license,fetched_at
flac,bsd-3-clause and gpl-2.0-or-later and isc and lgpl-2.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain and (gpl-2.0-or-later or lgpl-2.1-or-later),2026-07-21T21:08:14Z
flann,bsd-3-clause,2026-07-21T21:08:14Z
flex,bsd-2-clause,2026-07-21T21:08:14Z
fltk,lgpl-2.0-only with fltk-exception,2026-07-21T21:08:14Z
fluid-synth,lgpl-2.1-or-later,2026-07-21T21:08:14Z
flyctl,apache-2.0,2026-07-21T21:08:14Z
flyway,apache-2.0,2026-07-21T21:08:14Z
fmt,mit,2026-07-21T21:08:14Z
fnm,gpl-3.0-only,2026-07-21T21:08:14Z
folly,apache-2.0,2026-07-21T21:08:14Z
fontconfig,hpnd-sell-variant and unicode-3.0 and mit-modern-variant and mit and licenseref-homebrew-public-domain,2026-07-21T21:08:14Z
fontforge,gpl-3.0-or-later,2026-07-21T21:08:14Z
freeglut,mit,2026-07-21T21:08:14Z
freeimage,freeimage,2026-07-21T21:08:14Z
freerdp,apache-2.0,2026-07-21T21:08:14Z
freetds,gpl-2.0-or-later,2026-07-21T21:08:14Z
freetype,ftl,2026-07-21T21:08:14Z
freexl,mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later,2026-07-21T21:08:14Z
frei0r,gpl-2.0-or-later,2026-07-21T21:08:14Z
fribidi,gpl-2.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:14Z
fswatch,gpl-3.0-or-later and apache-2.0,2026-07-21T21:08:14Z
fx,mit,2026-07-21T21:08:14Z
fzf,mit,2026-07-21T21:08:14Z
gallery-dl,gpl-2.0-only,2026-07-21T21:08:14Z
game-music-emu,lgpl-2.1-or-later and gpl-2.0-or-later,2026-07-21T21:08:14Z
gauche,bsd-3-clause,2026-07-21T21:08:14Z
gawk,gpl-3.0-or-later,2026-07-21T21:08:14Z
gcc,gpl-3.0-or-later with gcc-exception-3.1,2026-07-21T21:08:14Z
gd,gd,2026-07-21T21:08:14Z
gdal,mit,2026-07-21T21:08:14Z
gdb,gpl-3.0-or-later,2026-07-21T21:08:14Z
gdbm,gpl-3.0-or-later,2026-07-21T21:08:14Z
gdk-pixbuf,lgpl-2.1-or-later,2026-07-21T21:08:14Z
geckodriver,mpl-2.0,2026-07-21T21:08:14Z
gedit,gpl-2.0-or-later,2026-07-21T21:08:14Z
