repo,repo_id,criticality_score,language,license,star_count,created_at,updated_at,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_release_count,updated_issues_count,closed_issues_count,issue_comment_frequency,github_mention_count,depsdev_enabled,checked_at,status,error_reason
boto/s3transfer,gh/49535299,0.50330,Python,Apache License 2.0,234,2016-01-12T23:19:42Z,2026-06-25T22:10:48Z,127,0,48,5,1.5,5,0,0,0,2976,False,2026-06-29T11:51:33+00:00,ok,
cpburnz/python-pathspec,gh/14648551,0.50317,Python,MIT License,228,2013-11-23T19:06:13Z,2026-06-04T03:27:27Z,153,0,30,6,2.31,7,0,0,0,2254,False,2026-06-29T11:59:02+00:00,ok,
expressjs/serve-static,gh/17464338,0.50273,JavaScript,MIT License,1423,2014-03-06T03:06:10Z,2025-12-16T21:12:09Z,149,6,22,8,0.29,2,0,0,0,12130,False,2026-06-29T12:18:29+00:00,ok,
webpack/tapable,gh/7730086,0.50172,JavaScript,MIT License,3864,2013-01-21T10:04:17Z,2026-06-26T16:23:17Z,163,0,39,8,0.94,5,0,0,0,1531,False,2026-06-29T15:29:01+00:00,ok,
nodejs/readable-stream,gh/5187096,0.50167,JavaScript,Other,1048,2012-07-26T02:52:52Z,2025-01-07T09:15:29Z,169,17,56,8,0,7,0,1,0,1173,False,2026-06-29T14:12:13+00:00,ok,
benjaminp/six,gh/77868600,0.50142,Python,MIT License,1021,2010-11-20T21:52:32Z,2026-02-23T02:19:43Z,189,4,68,7,0.19,1,0,0,0,4442,False,2026-06-29T11:24:18+00:00,ok,
rich-harris/magic-string,gh/26143240,0.50091,JavaScript,MIT License,2711,2014-11-03T20:42:31Z,2025-10-24T00:59:07Z,141,8,57,11,0.29,2,0,0,0,1521,False,2026-06-29T14:39:25+00:00,ok,
webpack/watchpack,gh/24119524,0.49917,JavaScript,MIT License,397,2014-09-16T22:00:52Z,2026-06-26T11:36:53Z,143,0,37,7,1.27,3,0,0,0,2474,False,2026-06-29T15:29:07+00:00,ok,
vorner/signal-hook,gh/137260008,0.49877,Rust,Apache License 2.0,854,2018-06-13T19:12:21Z,2026-04-04T08:08:49Z,97,2,37,5,1.13,9,0,0,0,3081,False,2026-06-29T15:28:05+00:00,ok,
sindresorhus/execa,gh/47475908,0.49872,JavaScript,MIT License,7519,2015-12-05T22:57:03Z,2026-01-29T03:54:56Z,128,5,64,6,0.25,1,0,0,0,5630,False,2026-06-29T14:54:52+00:00,ok,
