repo_id,repository_url,class,valid,ecosystem,package,registry_hit,ok,error,critical,critical_via,rank_average,dependent_repos_count,dependent_packages_count,fetched_at
gh/42685794,https://github.com/burntsushi/walkdir,A,True,crates,walkdir,crates.io,True,,True,crates.io,1.9100074989832885,36791,2258,2026-07-06T17:14:41Z
gh/146040682,https://github.com/burntsushi/winapi-util,A,True,crates,winapi-util,crates.io,True,,True,crates.io,5.293482936874546,59492,34,2026-07-06T17:14:41Z
gh/599731435,https://github.com/businho/pytest-ruff,A,True,pypi,pytest-ruff,pypi.org,True,,,,11.079281263274012,3,98,2026-07-06T17:14:41Z
gh/295544240,https://github.com/bytecodealliance/rustix,A,True,crates,rustix,crates.io,True,,True,crates.io,1.763083845215343,36039,159,2026-07-06T17:14:41Z
gh/196445196,https://github.com/bytecodealliance/wasi-rs,A,True,crates,wasi,crates.io,True,,True,crates.io,3.552966564877959,78872,35,2026-07-06T17:14:41Z
gh/571708,https://github.com/c-ares/c-ares,A,True,cpp,c-ares,spack.io,True,,False,conda,4.223982214811727,0,6,2026-07-06T17:14:41Z
gh/29144257,https://github.com/calvinmetcalf/minimalistic-assert,A,True,npm,minimalistic-assert,npmjs.org,True,,True,npmjs.org,2.8037178817376014,1537126,652,2026-07-06T17:14:41Z
gh/36039131,https://github.com/calvinmetcalf/process-nextick-args,A,True,npm,process-nextick-args,npmjs.org,True,,True,npmjs.org,1.9917460711290425,1840796,1469,2026-07-06T17:14:41Z
gh/698041,https://github.com/caolan/async,A,True,npm,async,npmjs.org,True,,True,npmjs.org,0.21717228551071013,926631,36565,2026-07-06T17:14:41Z
gh/26516210,https://github.com/certbot/certbot,A,True,pypi,acme,pypi.org,True,,,,0.2691915599733384,541,84,2026-07-06T17:14:41Z
gh/3060959,https://github.com/certifi/python-certifi,A,True,pypi,certifi,pypi.org,True,,True,pypi.org,1.2121695673997828,415524,3902,2026-07-06T17:14:41Z
gh/12107007,https://github.com/chaijs/type-detect,A,True,npm,type-detect,npmjs.org,True,,True,npmjs.org,1.5263799377498783,1341557,1263,2026-07-06T17:14:41Z
gh/20451415,https://github.com/chalk/ansi-regex,A,True,npm,ansi-regex,npmjs.org,True,,True,npmjs.org,1.2820333798516723,1239008,4054,2026-07-06T17:14:41Z
gh/11803168,https://github.com/chalk/ansi-styles,A,True,npm,ansi-styles,npmjs.org,True,,True,npmjs.org,1.094006928375904,1274606,4466,2026-07-06T17:14:41Z
gh/11855195,https://github.com/chalk/chalk,A,True,npm,chalk,npmjs.org,True,,True,npmjs.org,0.3337372770506304,1291351,130085,2026-07-06T17:14:41Z
gh/43191689,https://github.com/chalk/slice-ansi,A,True,npm,slice-ansi,npmjs.org,True,,True,npmjs.org,1.9542083002662716,3295,1013,2026-07-06T17:14:41Z
gh/15014856,https://github.com/chalk/strip-ansi,A,True,npm,strip-ansi,npmjs.org,True,,True,npmjs.org,1.2569351980461019,2069298,7310,2026-07-06T17:14:41Z
gh/11855007,https://github.com/chalk/supports-color,A,True,npm,supports-color,npmjs.org,True,,True,npmjs.org,1.0920856210166727,5765200,4053,2026-07-06T17:14:41Z
gh/41053676,https://github.com/chalk/wrap-ansi,A,True,npm,wrap-ansi,npmjs.org,True,,True,npmjs.org,1.5463763356114602,4485420,2301,2026-07-06T17:14:41Z
gh/125825141,https://github.com/chalker/safer-buffer,A,True,npm,safer-buffer,npmjs.org,True,,True,npmjs.org,2.030584367611273,2151694,1756,2026-07-06T17:14:41Z
gh/5196969,https://github.com/chardet/chardet,A,True,pypi,chardet,pypi.org,True,,True,pypi.org,1.0258488977580993,284023,1349,2026-07-06T17:14:41Z
gh/18991884,https://github.com/cheeriojs/dom-serializer,A,True,npm,dom-serializer,npmjs.org,True,,True,npmjs.org,1.4096279673854217,3228474,641,2026-07-06T17:14:41Z
gh/73765596,https://github.com/chicoxyzzy/node-releases,A,True,npm,node-releases,npmjs.org,True,,True,npmjs.org,2.1566180014717244,3706114,1539,2026-07-06T17:14:41Z
gh/18210201,https://github.com/chronotope/chrono,A,True,crates,chrono,crates.io,True,,True,crates.io,0.7380268976071426,44592,11374,2026-07-06T17:14:41Z
gh/59320323,https://github.com/chronotope/humantime,A,True,crates,humantime,crates.io,True,,True,crates.io,3.3464506771417355,27749,525,2026-07-06T17:14:41Z
gh/31315121,https://github.com/clap-rs/clap,A,True,crates,clap,crates.io,True,,True,crates.io,0.34391888874000626,49815,17139,2026-07-06T17:14:41Z
gh/753271547,https://github.com/cloudflare/cloudflare-python,A,True,pypi,cloudflare,pypi.org,True,,,,1.539557139942664,206,19,2026-07-06T17:14:41Z
gh/245704608,https://github.com/colinhacks/zod,A,True,npm,zod,npmjs.org,True,,True,npmjs.org,0.3397517124256592,122785,6111,2026-07-06T17:14:41Z
gh/27038309,https://github.com/colorjs/color-name,A,True,npm,color-name,npmjs.org,True,,True,npmjs.org,1.5763983230148229,1252925,2520,2026-07-06T17:14:41Z
gh/37886228,https://github.com/comex/rust-shlex,A,True,crates,shlex,crates.io,True,,True,crates.io,4.737641369939655,12814,208,2026-07-06T17:14:41Z
gh/5444800,https://github.com/component/escape-html,A,True,npm,escape-html,npmjs.org,True,,True,npmjs.org,1.0241013666914545,2500873,3043,2026-07-06T17:14:41Z
gh/114743189,https://github.com/component/toidentifier,A,True,npm,toidentifier,npmjs.org,True,,True,npmjs.org,2.950861681069229,4368444,1502,2026-07-06T17:14:41Z
gh/21946092,https://github.com/composefs/tar-rs,A,True,crates,tar,crates.io,True,,True,crates.io,2.0094454278534335,16082,928,2026-07-06T17:14:41Z
gh/51575745,https://github.com/conventional-changelog/commitlint,A,True,npm,@commitlint/types,npmjs.org,True,,,,0.454448068114569,64080,260,2026-07-06T17:14:41Z
gh/15639771,https://github.com/conventional-changelog/conventional-changelog,A,True,npm,conventional-commits-parser,npmjs.org,True,,True,npmjs.org,0.4976739968099599,183305,638,2026-07-06T17:14:41Z
gh/45750507,https://github.com/cosmiconfig/cosmiconfig,A,True,npm,cosmiconfig,npmjs.org,True,,True,npmjs.org,0.7025344228314173,3498872,3392,2026-07-06T17:14:41Z
gh/138421996,https://github.com/coveragepy/coveragepy,A,True,pypi,coverage,pypi.org,True,,True,pypi.org,0.9181222300276164,142083,5864,2026-07-06T17:14:41Z
gh/14648551,https://github.com/cpburnz/python-pathspec,A,True,pypi,pathspec,pypi.org,True,,True,pypi.org,2.6806637968086737,70325,442,2026-07-06T17:14:41Z
gh/608018848,https://github.com/crate-py/rpds,A,True,pypi,rpds-py,pypi.org,True,,True,pypi.org,5.81763746002283,13009,120,2026-07-06T17:14:41Z
gh/1081104682,https://github.com/criterion-rs/criterion.rs,A,True,crates,criterion,crates.io,True,,True,crates.io,0.8944712041392507,10499,5450,2026-07-06T17:14:41Z
gh/35566048,https://github.com/crossbeam-rs/crossbeam,A,True,crates,crossbeam-utils,crates.io,True,,True,crates.io,0.624014142283217,51154,414,2026-07-06T17:14:41Z
gh/42766912,https://github.com/css-modules/icss-utils,A,True,npm,icss-utils,npmjs.org,True,,True,npmjs.org,2.2045238885030334,2763117,449,2026-07-06T17:14:41Z
gh/33943153,https://github.com/cssnano/cssnano,A,True,npm,cssnano-utils,npmjs.org,True,,True,npmjs.org,0.6189576533954145,924804,176,2026-07-06T17:14:41Z
gh/219192307,https://github.com/csstools/postcss-plugins,A,True,npm,@csstools/utilities,npmjs.org,True,,True,npm,41.088716473234314,0,0,2026-07-06T17:14:41Z
gh/67236461,https://github.com/csstree/csstree,A,True,npm,css-tree,npmjs.org,True,,True,npmjs.org,0.8645728035081225,2569508,820,2026-07-06T17:14:41Z
gh/569041,https://github.com/curl/curl,A,True,cpp,curl,spack.io,True,,True,conda,0.29873558427122415,0,98,2026-07-06T17:14:41Z
gh/135481335,https://github.com/cuviper/autocfg,A,True,crates,autocfg,crates.io,True,,True,crates.io,4.310034768013428,92236,107,2026-07-06T17:14:41Z
gh/19330466,https://github.com/cyan4973/xxhash,A,True,cpp,xxhash,spack.io,True,,,,3.626511046269279,0,5,2026-07-06T17:14:41Z
gh/2097803,https://github.com/daaku/nodejs-makeerror,A,True,npm,makeerror,npmjs.org,True,,True,npmjs.org,2.8497525147265947,1401481,979,2026-07-06T17:14:41Z
gh/2171213,https://github.com/daaku/nodejs-tmpl,A,True,npm,tmpl,npmjs.org,True,,True,npmjs.org,2.0373245698033267,1401565,1004,2026-07-06T17:14:41Z
gh/26876372,https://github.com/dateutil/dateutil,A,True,pypi,python-dateutil,pypi.org,True,,True,pypi.org,0.8660319230432966,338574,6070,2026-07-06T17:14:41Z
gh/90668463,https://github.com/davidhalter/parso,A,True,pypi,parso,pypi.org,True,,True,pypi.org,1.5993925243072813,87232,254,2026-07-06T17:14:41Z
gh/90781457,https://github.com/davisjam/safe-regex,A,True,npm,safe-regex,npmjs.org,True,,True,npmjs.org,1.7668068383146043,3777495,1070,2026-07-06T17:14:41Z
gh/15649752,https://github.com/dchest/tweetnacl-js,A,True,npm,tweetnacl,npmjs.org,True,,True,npmjs.org,0.6727725506645449,923630,2661,2026-07-06T17:14:41Z
gh/8678904,https://github.com/dcodeio/long.js,A,True,npm,@xtuc/long,npmjs.org,True,,True,npmjs.org,1.1331783452157251,1612951,10,2026-07-06T17:14:41Z
gh/2871998,https://github.com/debug-js/debug,A,True,npm,debug,npmjs.org,True,,True,npmjs.org,0.3803468695548369,1419208,46672,2026-07-06T17:14:41Z
gh/6093316,https://github.com/definitelytyped/definitelytyped,A,True,npm,@types/node,npmjs.org,True,,True,npmjs.org,0.09833923962000805,1060374,257481,2026-07-06T17:11:17Z
gh/7580644,https://github.com/defunctzombie/node-process,A,True,npm,process,npmjs.org,True,,True,npmjs.org,1.393455235625317,951523,5072,2026-07-06T17:14:41Z
gh/48501860,https://github.com/django/asgiref,A,True,pypi,asgiref,pypi.org,True,,True,pypi.org,1.2798197137356393,146015,307,2026-07-06T17:14:41Z
gh/41272773,https://github.com/djc/rustc-version-rs,A,True,crates,rustc_version,crates.io,True,,True,crates.io,4.851771664186596,43436,705,2026-07-06T17:14:41Z
gh/85459304,https://github.com/dmitrysoshnikov/regexp-tree,A,True,npm,regexp-tree,npmjs.org,True,,False,npmjs.org,1.3841271103331827,551948,72,2026-07-06T17:14:41Z
