name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
x11perf,x11perf,x.org,https://gitlab.freedesktop.org/xorg/test/x11perf,gitlab-freedesktop-mirrors/x11perf,,,X11 server performance test program,2026-07-05T17:43:27+00:00
xauth,xauth,x.org,https://gitlab.freedesktop.org/xorg/app/xauth,gitlab-freedesktop-mirrors/xauth,,,X authority file utility,2026-07-05T17:43:27+00:00
xbacklight,xbacklight,x.org,https://gitlab.freedesktop.org/xorg/app/xbacklight,gitlab-freedesktop-mirrors/xbacklight,,,Utility to adjust backlight brightness using RandR extension,2026-07-05T17:43:27+00:00
xbiff,xbiff,x.org,https://gitlab.freedesktop.org/xorg/app/xbiff,gitlab-freedesktop-mirrors/xbiff,,,xbiff provides graphical notification of new e-mail.,2026-07-05T17:43:27+00:00
xcalc,xcalc,x.org,https://gitlab.freedesktop.org/xorg/app/xcalc,gitlab-freedesktop-mirrors/xcalc,,,Scientific calculator X11 client that can emulate a TI-30 or an HP-10C,2026-07-05T17:43:27+00:00
xcb-demo,xcb-demo,x.org,https://gitlab.freedesktop.org/xorg/app/xcb-demo,gitlab-freedesktop-mirrors/xcb-demo,,,A collection of demo programs that use the XCB library.,2026-07-05T17:43:27+00:00
xcb-util-m4,xcb-util-m4,x.org,https://gitlab.freedesktop.org/xorg/util/xcb-util-m4,gitlab-freedesktop-mirrors/xcb-util-m4,,,GNU autoconf macros shared across XCB projects,2026-07-05T17:43:27+00:00
xcbproto,xcbproto,x.org,https://gitlab.freedesktop.org/xorg/proto/xcbproto,gitlab-freedesktop-mirrors/xcbproto,,,XML-XCB protocol descriptions used by libxcb for the X11 protocol & extensions,2026-07-05T17:43:27+00:00
xclipboard,xclipboard,x.org,https://gitlab.freedesktop.org/xorg/app/xclipboard,gitlab-freedesktop-mirrors/xclipboard,,,X clipboard management clients,2026-07-05T17:43:27+00:00
xclock,xclock,x.org,https://gitlab.freedesktop.org/xorg/app/xclock,gitlab-freedesktop-mirrors/xclock,,,analog / digital clock for X,2026-07-05T17:43:27+00:00
xcmsdb,xcmsdb,x.org,https://gitlab.freedesktop.org/xorg/app/xcmsdb,gitlab-freedesktop-mirrors/xcmsdb,,,Device Color Characterization utility for X Color Management System,2026-07-05T17:43:27+00:00
xcompmgr,xcompmgr,x.org,https://gitlab.freedesktop.org/xorg/app/xcompmgr,gitlab-freedesktop-mirrors/xcompmgr,,,sample X compositing manager,2026-07-05T17:43:27+00:00
xconsole,xconsole,x.org,https://gitlab.freedesktop.org/xorg/app/xconsole,gitlab-freedesktop-mirrors/xconsole,,,displays /dev/console messages in an X window,2026-07-05T17:43:27+00:00
xcursorgen,xcursorgen,x.org,https://gitlab.freedesktop.org/xorg/app/xcursorgen,gitlab-freedesktop-mirrors/xcursorgen,,,prepares X11 cursor sets for use with libXcursor,2026-07-05T17:43:27+00:00
xditview,xditview,x.org,https://gitlab.freedesktop.org/xorg/app/xditview,gitlab-freedesktop-mirrors/xditview,,,display ditroff output in an X window,2026-07-05T17:43:27+00:00
xdm,xdm,x.org,https://gitlab.freedesktop.org/xorg/app/xdm,gitlab-freedesktop-mirrors/xdm,,,"X Display Manager with support for XDMCP, host chooser",2026-07-05T17:43:27+00:00
xdpyinfo,xdpyinfo,x.org,https://gitlab.freedesktop.org/xorg/app/xdpyinfo,gitlab-freedesktop-mirrors/xdpyinfo,,,display information utility for X,2026-07-05T17:43:27+00:00
