name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
Cpio,cpio,gnu.org,https://www.gnu.org/software/cpio/,,,,"GNU cpio copies files into or out of cpio or tar archives. Indeed, many formats are supported, including legacy formats. The format is determined automatically by the program and is handled appropriat",2026-07-05T16:57:24+00:00
Cppi,cppi,gnu.org,https://www.gnu.org/software/cppi/,,,,"GNU Cppi processes C source code files to properly indent the preprocessor directives to reflect their nesting. It also performs other standardizations, such as correcting the number of spaces between",2026-07-05T16:57:24+00:00
CSSC,cssc,gnu.org,https://www.gnu.org/software/cssc/,,,,GNU CSSC provides a replacement for the legacy Unix source code control system SCCS. This allows old code still under that system to be accessed and migrated on modern systems.,2026-07-05T16:57:24+00:00
Cursynth,cursynth,gnu.org,https://www.gnu.org/software/cursynth/,,,,GNU cursynth is a polyphonic synthesizer that runs graphically in the terminal. It is built on a full-featured subtractive synthesis engine. Notes and parameter changes may be entered via MIDI or the ,2026-07-05T16:57:24+00:00
Dap,dap,gnu.org,https://www.gnu.org/software/dap/,,,,"GNU Dap is a statistics and graphics package. It can read programs written for the proprietary statistics system SAS. Its syntax is similar to, but simpler than C, making performing most tasks relativ",2026-07-05T16:57:24+00:00
Datamash,datamash,gnu.org,https://www.gnu.org/software/datamash/,,,,"GNU Datamash is a command-line program which performs basic numeric, textual, and statistical operations on input textual data files. GNU Datamash is designed to work within standard pipelines without",2026-07-05T16:57:24+00:00
Dc,dc,gnu.org,https://www.gnu.org/software/dc/,,,,See bc.,2026-07-05T16:57:24+00:00
DDD,ddd,gnu.org,https://www.gnu.org/software/ddd/,,,,"GNU DDD, the Data Display Debugger, is a graphical front-end for command-line debuggers. Many back-end debuggers are supported, notably the GNU debugger, GDB. In addition to usual debugging features s",2026-07-05T16:57:24+00:00
ddrescue,ddrescue,gnu.org,https://www.gnu.org/software/ddrescue/,,,,"GNU ddrescue is a fully automated data recovery tool. It copies data from one file to another, working to rescue data in case of read errors. The program also includes a tool for manipulating its log ",2026-07-05T16:57:24+00:00
DejaGnu,dejagnu,gnu.org,https://www.gnu.org/software/dejagnu/,,,,"DejaGnu is a framework for testing software. In effect, it serves as a front-end for all tests written for a program. Thus, each program can have multiple test suites, which are then all managed by a ",2026-07-05T16:57:24+00:00
Denemo,denemo,gnu.org,https://www.gnu.org/software/denemo/,,,,"GNU Denemo is a music notation editor that provides a convenient interface to the powerful music engraving program Lilypond. Music can be typed in using the computer keyboard, played in using a MIDI k",2026-07-05T16:57:24+00:00
Dia,dia,gnu.org,https://www.gnu.org/software/dia/,,,,Dia is a GNU program for drawing diagrams. It is a versatile diagramming tool with a modular design that allows development of custom shape packages for drawing various kinds of diagrams by writing XM,2026-07-05T16:57:24+00:00
Dico,dico,gnu.org,https://www.gnu.org/software/dico/,,,,"GNU Dico implements a flexible dictionary server and client according to RFC 2229 (DICT Server). It is able to access any database available, regardless of format, thanks to its modular structure. New",2026-07-05T16:57:24+00:00
Diction,diction,gnu.org,https://www.gnu.org/software/diction/,,,,"A package providing two classic Unix commands, style and diction. Diction is used to identify wordy and commonly misused phrases in a body of text. Style instead analyzes surface aspects of a written ",2026-07-05T16:57:24+00:00
Diffutils,diffutils,gnu.org,https://www.gnu.org/software/diffutils/,,,,"GNU Diffutils is a package containing tools for finding the differences between files. The diff command is used to show how two files differ, while cmp shows the offsets and line numbers where they di",2026-07-05T16:57:24+00:00
Direvent,direvent,gnu.org,https://www.gnu.org/software/direvent/,,,,"A daemon that monitors directories for events, such as creating, deleting or modifying files. It can monitor different sets of directories for different events. When an event is detected, direvent cal",2026-07-05T16:57:24+00:00
Dominion,dominion,gnu.org,https://www.gnu.org/software/dominion/,,,,"GNU Dominion is a multi-player world simulation game. In it, each player rules a nation and must maintain their nation in the face of competition from the other players. Players must make political, e",2026-07-05T16:57:24+00:00
Dr. Geo,dr-geo,gnu.org,https://www.gnu.org/software/dr-geo/,,,,GNU Dr. Geo is a program for designing and manipulating interactive geometric sketches.,2026-07-05T16:57:24+00:00
Easejs,easejs,gnu.org,https://www.gnu.org/software/easejs/,,,,"ease.js is a classical object-oriented framework for JavaScript, intended to eliminate boilerplate code and ease the transition to JavaScript from other object-oriented languages.",2026-07-05T16:57:24+00:00
Ed,ed,gnu.org,https://www.gnu.org/software/ed/,,,,"Ed is a line-oriented text editor: rather than offering an overview of a document, ed performs editing one line at a time. It can be executed both interactively and via shell scripts. Its method of co",2026-07-05T16:57:24+00:00
EDMA,edma,gnu.org,https://www.gnu.org/software/edma/,,,,"GNU EDMA is a development environment that combines ideas from both object-oriented programming and component-based systems. It is used to build modular, evolving applications as well as reusable comp",2026-07-05T16:57:24+00:00
