repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
browserslist/update-db,gh/505548145,3.6,2026-04-20,MIT,7,,,2026-05-03T19:09:50+00:00
burntsushi/aho-corasick,gh/37290678,4.7,2026-04-20,non-standard,8,,,2026-05-03T19:09:50+00:00
burntsushi/jiff,gh/759017108,,,non-standard,43,,,2026-05-03T19:09:50+00:00
burntsushi/memchr,gh/37290652,,,non-standard,32,,,2026-05-03T19:09:51+00:00
burntsushi/quickcheck,gh/17559913,5,2026-04-20,non-standard,31,,,2026-05-03T19:09:51+00:00
burntsushi/same-file,gh/78375612,3,2026-04-20,non-standard,7,,,2026-05-03T19:09:51+00:00
burntsushi/termcolor,gh/141345580,3.1,2026-04-20,non-standard,16,,,2026-05-03T19:09:52+00:00
burntsushi/ucd-generate,gh/123997498,3.2,2026-04-20,Apache-2.0,9,,,2026-05-03T19:09:52+00:00
burntsushi/walkdir,gh/42685794,4,2026-04-20,non-standard,47,,,2026-05-03T19:10:08+00:00
burntsushi/winapi-util,gh/146040682,4,2026-04-20,non-standard,6,,,2026-05-03T19:10:08+00:00
businho/pytest-ruff,gh/599731435,,,MIT,3,,,2026-05-03T19:10:08+00:00
bytecodealliance/rustix,gh/295544240,5.1,2026-04-20,non-standard,110,,,2026-05-03T19:10:08+00:00
bytecodealliance/wasi-rs,gh/196445196,,,Apache-2.0,6,,,2026-05-03T19:10:09+00:00
c-ares/c-ares,gh/571708,7.2,2026-04-20,MIT,62,passing,115,2026-05-03T19:10:09+00:00
calvinmetcalf/minimalistic-assert,gh/29144257,2.5,2026-04-20,non-standard,1,,,2026-05-03T19:10:09+00:00
calvinmetcalf/process-nextick-args,gh/36039131,2.3,2026-04-20,MIT,2,,,2026-05-03T19:10:09+00:00
caolan/async,gh/698041,4.1,2026-04-20,MIT,24,,,2026-05-03T19:10:10+00:00
certbot/certbot,gh/26516210,8.1,2026-04-20,non-standard,190,,,2026-05-03T19:10:10+00:00
certifi/python-certifi,gh/3060959,6.6,2026-04-20,non-standard,2,,,2026-05-03T19:10:10+00:00
chaijs/type-detect,gh/12107007,4.1,2026-04-20,MIT,8,,,2026-05-03T19:10:10+00:00
chalk/ansi-regex,gh/20451415,3.8,2026-04-20,MIT,1,,,2026-05-03T19:10:11+00:00
chalk/ansi-styles,gh/11803168,3.9,2026-04-20,MIT,0,,,2026-05-03T19:10:11+00:00
chalk/chalk,gh/11855195,3.8,2026-04-20,MIT,5,,,2026-05-03T19:10:11+00:00
chalk/slice-ansi,gh/43191689,4.3,2026-04-20,MIT,0,,,2026-05-03T19:10:11+00:00
chalk/strip-ansi,gh/15014856,4,2026-04-20,MIT,0,,,2026-05-03T19:10:12+00:00
