repo,repo_id,packages_queried,fetched_at
babel/babel,24560307,"npm:@babel/helper-plugin-utils,npm:@babel/types,npm:@babel/helper-validator-identifier,npm:@babel/helper-string-parser,npm:@babel/traverse,npm:@babel/parser,npm:@babel/code-frame,npm:@babel/runtime,npm:@babel/template,npm:@babel/helper-annotate-as-pure,npm:@babel/generator,npm:@babel/helper-create-regexp-features-plugin,npm:@babel/helper-module-imports,npm:@babel/helper-module-transforms,npm:@babel/helper-create-class-features-plugin,npm:@babel/helper-skip-transparent-expression-wrappers,npm:@babel/core,npm:@babel/helper-compilation-targets,npm:@babel/compat-data,npm:babel-runtime,npm:@babel/helper-validator-option,npm:@babel/helper-member-expression-to-functions,npm:@babel/helper-replace-supers,npm:@babel/helper-optimise-call-expression,npm:@babel/helper-globals,npm:@babel/helpers,npm:@babel/highlight,npm:@babel/plugin-syntax-jsx,npm:@babel/helper-remap-async-to-generator,npm:@babel/plugin-syntax-nullish-coalescing-operator,npm:@babel/plugin-syntax-numeric-separator,npm:@babel/plugin-syntax-optional-catch-binding,npm:@babel/helper-wrap-function,npm:@babel/plugin-syntax-object-rest-spread,npm:@babel/plugin-syntax-optional-chaining,npm:@babel/plugin-transform-react-jsx,npm:@babel/plugin-transform-parameters,npm:@babel/plugin-syntax-async-generators,npm:@babel/plugin-transform-destructuring,npm:@babel/plugin-transform-modules-commonjs,npm:@babel/plugin-syntax-typescript,npm:@babel/plugin-syntax-class-properties,npm:@babel/plugin-syntax-top-level-await,npm:@babel/plugin-syntax-json-strings,npm:@babel/preset-env,npm:@babel/plugin-transform-dotall-regex,npm:@babel/plugin-syntax-logical-assignment-operators,npm:@babel/helper-environment-visitor,npm:@babel/plugin-transform-classes,npm:@babel/plugin-transform-block-scoping,npm:@babel/plugin-transform-for-of,npm:@babel/plugin-transform-spread,npm:@babel/plugin-transform-arrow-functions,npm:@babel/plugin-transform-computed-properties,npm:@babel/plugin-transform-template-literals,npm:@babel/plugin-transform-literals,npm:@babel/plugin-transform-function-name,npm:@babel/plugin-transform-shorthand-properties,npm:@babel/plugin-transform-block-scoped-functions,npm:@babel/plugin-transform-object-super,npm:@babel/plugin-transform-async-to-generator,npm:@babel/plugin-transform-property-literals,npm:@babel/plugin-transform-member-expression-literals,npm:@babel/plugin-transform-regenerator,npm:@babel/plugin-transform-modules-systemjs,npm:@babel/plugin-transform-unicode-regex,npm:@babel/plugin-syntax-private-property-in-object,npm:@babel/plugin-transform-sticky-regex,npm:@babel/plugin-transform-modules-amd,npm:@babel/plugin-transform-named-capturing-groups-regex,npm:@babel/plugin-transform-exponentiation-operator,npm:@babel/plugin-syntax-import-meta,npm:@babel/plugin-transform-typeof-symbol,npm:@babel/plugin-transform-modules-umd,npm:@babel/plugin-transform-duplicate-keys,npm:@babel/plugin-transform-new-target,npm:@babel/plugin-transform-optional-chaining,npm:@babel/plugin-transform-reserved-words,npm:babel-types,npm:@babel/plugin-transform-unicode-escapes,npm:@babel/plugin-proposal-object-rest-spread,npm:@babel/plugin-syntax-import-attributes,npm:@babel/plugin-syntax-export-namespace-from,npm:@babel/plugin-syntax-bigint,npm:@babel/plugin-proposal-class-properties,npm:@babel/plugin-transform-typescript,npm:@babel/plugin-transform-react-display-name,npm:@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,npm:@babel/plugin-syntax-flow,npm:@babel/plugin-syntax-class-static-block,npm:@babel/plugin-proposal-unicode-property-regex,npm:@babel/plugin-syntax-dynamic-import,npm:@babel/plugin-proposal-optional-chaining,npm:@babel/plugin-proposal-nullish-coalescing-operator,npm:@babel/preset-typescript,npm:@babel/plugin-transform-runtime,npm:@babel/plugin-transform-private-methods,npm:@babel/plugin-transform-nullish-coalescing-operator,npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,npm:@babel/plugin-transform-async-generator-functions,npm:@babel/plugin-transform-class-properties,npm:@babel/plugin-proposal-numeric-separator,npm:@babel/preset-react,npm:@babel/runtime-corejs3,npm:@babel/plugin-transform-object-rest-spread,npm:@babel/plugin-transform-private-property-in-object,npm:@babel/plugin-transform-logical-assignment-operators,npm:@babel/plugin-transform-numeric-separator,npm:@babel/plugin-transform-optional-catch-binding,npm:@babel/plugin-transform-export-namespace-from,npm:@babel/plugin-transform-class-static-block,npm:@babel/plugin-proposal-async-generator-functions,npm:@babel/plugin-transform-json-strings,npm:@babel/plugin-transform-dynamic-import,npm:@babel/plugin-transform-unicode-sets-regex,npm:@babel/plugin-transform-unicode-property-regex,npm:@babel/plugin-transform-react-jsx-development,npm:@babel/plugin-transform-react-pure-annotations,npm:@babel/plugin-proposal-optional-catch-binding,npm:@babel/plugin-proposal-private-methods,npm:@babel/plugin-syntax-import-assertions,npm:@babel/plugin-transform-flow-strip-types,npm:@babel/plugin-syntax-decorators,npm:@babel/plugin-bugfix-firefox-class-in-computed-class-key,npm:@babel/plugin-proposal-export-namespace-from,npm:@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,npm:babel-template,npm:@babel/plugin-proposal-decorators,npm:@babel/plugin-syntax-unicode-sets-regex,npm:@babel/plugin-transform-duplicate-named-capturing-groups-regex,npm:@babel/plugin-bugfix-safari-class-field-initializer-scope,npm:babel-traverse,npm:@babel/plugin-transform-react-jsx-source,npm:@babel/plugin-transform-react-jsx-self,npm:@babel/register,npm:babel-core,npm:babel-code-frame,npm:@babel/plugin-transform-regexp-modifiers,npm:@babel/plugin-transform-react-constant-elements,npm:@babel/eslint-parser,npm:babel-messages,npm:@babel/preset-flow,npm:babel-plugin-syntax-jsx,npm:babel-plugin-syntax-trailing-function-commas,npm:@babel/plugin-transform-explicit-resource-management,npm:@babel/plugin-proposal-export-default-from,npm:babel-plugin-syntax-object-rest-spread,npm:@babel/plugin-syntax-export-default-from,npm:babel-helper-function-name,npm:babel-generator,npm:babel-plugin-transform-es2015-modules-commonjs,npm:babel-plugin-transform-strict-mode,npm:babel-helper-get-function-arity,npm:babel-helper-regex,npm:@babel/cli,npm:babel-helper-hoist-variables,npm:babel-helper-replace-supers,npm:babel-plugin-transform-object-rest-spread,npm:babel-register,npm:babel-helpers,npm:babel-helper-optimise-call-expression,npm:babel-plugin-transform-es2015-modules-amd,npm:@babel/polyfill,npm:babel-helper-call-delegate,npm:babel-helper-explode-assignable-expression,npm:babel-plugin-syntax-async-functions,npm:babel-polyfill,npm:babel-helper-define-map,npm:babel-helper-builder-binary-assignment-operator-visitor,npm:babel-plugin-syntax-exponentiation-operator,npm:babel-helper-remap-async-to-generator,npm:babel-plugin-transform-es2015-block-scoping,npm:babel-plugin-transform-es2015-parameters,npm:babel-plugin-transform-es2015-destructuring,npm:babel-plugin-transform-es2015-function-name,npm:babel-plugin-check-es2015-constants,npm:babel-plugin-transform-es2015-spread,npm:babel-plugin-transform-regenerator,npm:babel-plugin-transform-es2015-classes,npm:babel-plugin-transform-es2015-arrow-functions,npm:babel-plugin-transform-es2015-template-literals,npm:babel-plugin-transform-es2015-shorthand-properties,npm:babel-plugin-transform-es2015-computed-properties,npm:babel-plugin-transform-es2015-for-of,npm:babel-plugin-transform-es2015-unicode-regex,npm:babel-plugin-transform-es2015-sticky-regex,npm:babel-plugin-transform-es2015-literals,npm:babel-plugin-transform-es2015-object-super,npm:babel-plugin-transform-es2015-block-scoped-functions,npm:babel-plugin-transform-es2015-typeof-symbol,npm:babel-plugin-transform-es2015-modules-systemjs,npm:babel-plugin-transform-es2015-duplicate-keys,npm:babel-plugin-transform-es2015-modules-umd,npm:babel-plugin-transform-exponentiation-operator,npm:babel-plugin-transform-async-to-generator,npm:babel-plugin-syntax-class-properties,npm:babel-plugin-transform-class-properties,npm:babel-plugin-syntax-dynamic-import,npm:@babel/plugin-transform-object-assign,npm:@babel/runtime-corejs2,npm:@babel/standalone,npm:babel-preset-es2015",2026-05-18T01:15:08+00:00
babel/babel-polyfills,190579283,"npm:@babel/helper-define-polyfill-provider,npm:babel-plugin-polyfill-corejs3,npm:babel-plugin-polyfill-regenerator,npm:babel-plugin-polyfill-corejs2",2026-05-18T01:11:49+00:00
babel/minify,55723051,"npm:babel-helper-evaluate-path,npm:babel-helper-is-void-0,npm:babel-helper-mark-eval-scopes,npm:babel-helper-flip-expressions,npm:babel-plugin-transform-remove-console,npm:babel-helper-remove-or-void,npm:babel-helper-to-multiple-sequence-expressions,npm:babel-helper-is-nodes-equiv,npm:babel-plugin-minify-dead-code-elimination,npm:babel-plugin-minify-guarded-expressions,npm:babel-plugin-minify-mangle-names,npm:babel-plugin-minify-replace,npm:babel-plugin-minify-simplify,npm:babel-plugin-minify-constant-folding,npm:babel-plugin-transform-regexp-constructors,npm:babel-plugin-minify-numeric-literals,npm:babel-plugin-minify-flip-comparisons,npm:babel-plugin-minify-type-constructors,npm:babel-plugin-minify-infinity,npm:babel-plugin-transform-inline-consecutive-adds,npm:babel-plugin-transform-remove-undefined,npm:babel-plugin-minify-builtins,npm:babel-plugin-transform-undefined-to-void,npm:babel-plugin-transform-remove-debugger,npm:babel-plugin-transform-merge-sibling-variables,npm:babel-plugin-transform-member-expression-literals,npm:babel-plugin-transform-property-literals,npm:babel-plugin-transform-simplify-comparison-operators,npm:babel-plugin-transform-minify-booleans,npm:babel-preset-minify",2026-06-28T18:01:07+00:00
bdwgc/bdwgc,2109456,Debian:boehm-gc,2026-05-18T01:11:48+00:00
beatgammit/base64-js,2853282,npm:base64-js,2026-05-18T01:11:49+00:00
benjaminp/six,77868600,PyPI:six,2026-05-18T01:11:50+00:00
besser82/libxcrypt,35503965,Debian:libxcrypt,2026-05-18T01:11:50+00:00
bincode-org/bincode,24130045,"crates.io:bincode,crates.io:bincode_derive",2026-05-03T18:55:54+00:00
bitflags/bitflags,29287955,crates.io:bitflags,2026-05-18T01:11:51+00:00
blakeembrey/array-flatten,17789771,npm:array-flatten,2026-05-18T01:11:51+00:00
