spdx_id,spdx_id_canonical,name,source,is_deprecated,reference,osi_url,fetched_at
artistic-1.0,Artistic-1.0,Artistic License 1.0,osi,False,https://spdx.org/licenses/Artistic-1.0.html,https://opensource.org/license/Artistic-1.0,2026-07-06T15:43:02Z
artistic-1.0-cl8,Artistic-1.0-cl8,Artistic License 1.0 w/clause 8,osi,False,https://spdx.org/licenses/Artistic-1.0-cl8.html,https://opensource.org/license/Artistic-1.0,2026-07-06T15:43:02Z
artistic-1.0-perl,Artistic-1.0-Perl,Artistic License 1.0 (Perl),osi,False,https://spdx.org/licenses/Artistic-1.0-Perl.html,,2026-07-06T15:43:02Z
artistic-2.0,Artistic-2.0,Artistic License 2.0,osi,False,https://spdx.org/licenses/Artistic-2.0.html,https://opensource.org/license/Artistic-2.0,2026-07-06T15:43:02Z
bittorrent-1.1,BitTorrent-1.1,BitTorrent Open Source License v1.1,fsf,False,https://spdx.org/licenses/BitTorrent-1.1.html,,2026-07-06T15:43:02Z
blessing,blessing,SQLite Blessing,extras,False,https://spdx.org/licenses/blessing.html,,2026-07-06T15:43:02Z
blueoak-1.0.0,BlueOak-1.0.0,Blue Oak Model License 1.0.0,osi,False,https://spdx.org/licenses/BlueOak-1.0.0.html,,2026-07-06T15:43:02Z
bsd-1-clause,BSD-1-Clause,BSD 1-Clause License,osi,False,https://spdx.org/licenses/BSD-1-Clause.html,,2026-07-06T15:43:02Z
bsd-2-clause,BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",osi,False,https://spdx.org/licenses/BSD-2-Clause.html,https://opensource.org/license/BSD-2-Clause,2026-07-06T15:43:02Z
bsd-2-clause-freebsd,BSD-2-Clause-FreeBSD,BSD 2-Clause FreeBSD License,fsf,True,https://spdx.org/licenses/BSD-2-Clause-FreeBSD.html,,2026-07-06T15:43:02Z
bsd-2-clause-netbsd,BSD-2-Clause-NetBSD,BSD 2-Clause NetBSD License,fsf,True,https://spdx.org/licenses/BSD-2-Clause-NetBSD.html,,2026-07-06T15:43:02Z
bsd-2-clause-patent,BSD-2-Clause-Patent,BSD-2-Clause Plus Patent License,osi,False,https://spdx.org/licenses/BSD-2-Clause-Patent.html,https://opensource.org/license/BSD-2-Clause-Patent,2026-07-06T15:43:02Z
bsd-3-clause,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",osi,False,https://spdx.org/licenses/BSD-3-Clause.html,https://opensource.org/license/BSD-3-Clause,2026-07-06T15:43:02Z
bsd-3-clause-clear,BSD-3-Clause-Clear,BSD 3-Clause Clear License,fsf,False,https://spdx.org/licenses/BSD-3-Clause-Clear.html,,2026-07-06T15:43:02Z
