repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
thkukuk/rpcsvc-proto,15,5726,3430,1021,17.8,15.0,2.1,70335,2026-04-27T14:02:28Z
webpack/sass-loader,50,5683,2405,307,5.4,14.9,2.1,69781,2026-03-12T21:05:25Z
soul-ailab/soulx-flashtalk,22,5682,4029,666,11.7,14.9,2.1,69768,2026-03-12T21:05:25Z
joshuakgoldberg/ts-api-utils,55,5675,3715,638,11.2,14.9,2.1,69678,2026-04-27T14:02:28Z
netease-youdao/emotivoice,59,5653,4116,900,15.9,14.8,2.1,69394,2026-03-12T21:05:25Z
lfz/dsb2017,36,5617,2334,963,17.1,14.7,2.1,68930,2026-03-12T21:05:25Z
mishoo/uglifyjs-old,112,5612,4555,1084,19.3,14.7,2.1,68866,2026-03-12T21:05:25Z
probberechts/soccerdata,25,5606,3378,109,1.9,14.7,2.1,68789,2026-03-12T21:05:25Z
elementalui/elemental,62,5555,3029,220,4.0,14.5,2.1,68132,2026-03-12T21:05:25Z
rich-harris/magic-string,27,5541,2857,767,13.8,14.5,2.1,67951,2026-04-27T14:02:28Z
node-fetch/node-fetch,24,5532,3430,426,7.7,14.5,2.1,67835,2026-04-27T14:02:28Z
npm/node-semver,123,5505,3911,471,8.6,14.4,2.1,67488,2026-04-27T14:02:28Z
acornjs/acorn-jsx,6,5497,2182,176,3.2,14.4,2.1,67385,2026-04-27T14:02:28Z
enarx/ciborium,27,5478,3575,448,8.2,14.3,2.1,67140,2026-04-27T14:02:28Z
amsul/pickadate.js,109,5445,3724,783,14.4,14.2,2.1,66716,2026-03-12T21:05:25Z
lokathor/bytemuck,30,5443,4348,696,12.8,14.2,2.1,66690,2026-04-27T14:02:28Z
kijai/comfyui-segment-anything-2,26,5434,4791,535,9.8,14.2,2.1,66574,2026-03-12T21:05:25Z
postcss/postcss-selector-parser,56,5418,3453,464,8.6,14.1,2.1,66368,2026-04-27T14:02:28Z
rust-random/rngs,44,5382,3735,375,7.0,14.1,2.1,65905,2026-04-27T14:02:28Z
randy3k/radian,35,5308,4747,460,8.7,13.8,2.0,64954,2026-03-12T21:05:25Z
rust-lang/flate2-rs,50,5298,3324,341,6.4,13.8,2.0,64826,2026-04-27T14:02:28Z
squeezerio/squeezer,111,5295,3409,344,6.5,13.8,2.0,64787,2026-03-12T21:05:25Z
daniele77/cli,59,5267,3217,456,8.7,13.7,2.0,64428,2026-03-12T21:05:25Z
marshallpierce/rust-base64,30,5259,4126,404,7.7,13.7,2.0,64325,2026-04-27T14:02:28Z
o2sh/onefetch,49,5234,3333,288,5.5,13.6,2.0,64004,2026-03-12T17:30:11Z
mediabrain-sjtu/ming,39,5191,3984,1135,21.9,13.5,2.0,63452,2026-03-12T17:29:19Z
bennylope/django-organizations,96,5167,2763,117,2.3,13.5,2.0,63144,2026-03-12T21:05:25Z
piqnt/stage.js,53,5155,3603,899,17.4,13.4,2.0,62990,2026-03-12T21:05:25Z
frol/flask-restplus-server-example,104,5149,3649,433,8.4,13.4,2.0,62913,2026-03-12T21:05:25Z
indutny/bn.js,11,5126,3887,518,10.1,13.3,2.0,62618,2026-04-27T14:02:28Z
containers/bubblewrap,13,5117,3899,1599,31.2,13.3,2.0,62502,2026-03-12T21:05:25Z
peternator7/strum,49,5096,3499,366,7.2,13.3,2.0,62233,2026-04-27T14:02:28Z
