repo,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
pygments/pygments,2025,1468,79998,54756,134754,648,pygments/lexers/_lilypond_builtins.py,5764,27.0,2026-05-03T17:22:01Z
kjd/idna,2025,142,91426,38543,129969,23,tests/test_idna_uts46.py,75524,0.8,2026-05-03T17:22:01Z
lxml/lxml,2025,1088,61136,58364,119500,132,src/lxml/tests/test_etree.py,13084,24.5,2026-05-03T17:22:01Z
micromark/micromark,2025,316,60401,52065,112466,417,test/io/flow/html.js,3425,1.9,2026-05-03T17:22:01Z
giampaolo/psutil,2025,725,56253,54434,110687,289,psutil/tests/test_linux.py,5383,21.1,2026-05-03T17:22:01Z
facebook/zstd,2025,2056,70606,39517,110123,311,lib/compress/zstd_compress.c,12946,25.4,2026-05-03T17:22:01Z
coveragepy/coveragepy,2025,2648,61307,48224,109531,223,tests/test_process.py,3835,13.1,2026-05-03T17:22:01Z
chronotope/chrono,2025,996,59697,45213,104910,77,src/format/parse.rs,8662,6.1,2026-05-03T17:22:01Z
axios/axios,2025,809,55546,44234,99780,197,dist/axios.js,32951,11.0,2026-05-03T17:22:01Z
rustcrypto/hashes,2025,331,52292,45196,97488,291,fsb/src/pi.rs,34054,2.5,2026-05-03T17:22:01Z
freetype/freetype,2025,1510,59125,38139,97264,503,src/gzip/crc32.h,10318,18.8,2026-05-03T22:57:48Z
serde-rs/serde,2025,1005,48389,47163,95552,206,serde_derive/src/de.rs,6233,6.9,2026-05-03T17:22:01Z
rustcrypto/utils,2025,890,49848,44880,94728,278,hybrid-array/src/lib.rs,3468,2.0,2026-05-03T17:22:01Z
webmproject/libwebp,2025,806,54361,39517,93878,252,sharpyuv/sharpyuv_risk_table.c,12420,6.3,2026-05-03T17:22:01Z
boto/botocore,2025,3919,62963,29113,92076,277,tests/functional/test_s3.py,6239,180.9,2026-05-03T17:22:01Z
google/brotli,2025,316,57335,34145,91480,196,c/enc/static_dict_lut.c,11898,49.0,2026-05-03T17:22:01Z
servo/rust-url,2025,211,38889,50639,89528,34,idna/src/uts46_mapping_table.rs,71729,2.0,2026-05-03T17:22:01Z
ardatan/whatwg-node,2025,2900,51280,37522,88802,229,e2e/deno/lib.deno.d.ts,30756,11.5,2026-05-03T17:22:01Z
dtolnay/syn,2025,1753,48492,38251,86743,135,src/gen/debug.rs,7605,8.4,2026-05-03T17:22:01Z
pytest-dev/pytest,2025,2812,57329,29149,86478,276,src/_pytest/fixtures.py,3798,15.7,2026-05-03T17:22:01Z
streamich/memfs,2025,1085,53322,31127,84449,331,src/volume.ts,7550,5.9,2026-05-03T17:22:01Z
