github_repo,metric,2021,2022,2023,2024,2025,2021-2025
ish-app/ish,commits,135,159,72,61,3,430
ish-app/ish,first_date,2021-01-10,2022-01-02,2023-01-15,2024-01-07,2025-01-05,2021-01-10
ish-app/ish,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
freerdp/freerdp,bus_factor,1,1,1,1,1,1
freerdp/freerdp,hhi,6120,5896,6916,8382,8884,7575
freerdp/freerdp,contributors,22,20,17,20,17,41
freerdp/freerdp,bots,0,0,0,0,0,0
freerdp/freerdp,commits,681,1070,1120,2190,1661,6722
freerdp/freerdp,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
freerdp/freerdp,last_date,2021-12-25,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
softethervpn/softethervpn,bus_factor,2,1,2,2,3,3
softethervpn/softethervpn,hhi,2328,3514,2465,2648,1598,1474
softethervpn/softethervpn,contributors,15,11,11,14,11,41
softethervpn/softethervpn,bots,1,1,1,1,1,1
softethervpn/softethervpn,commits,178,37,85,63,47,410
softethervpn/softethervpn,first_date,2021-01-31,2022-01-02,2023-01-01,2024-02-18,2025-01-05,2021-01-31
softethervpn/softethervpn,last_date,2022-01-01,2022-12-31,2023-12-02,2024-12-21,2025-12-27,2025-12-27
taosdata/tdengine,bus_factor,5,6,6,6,7,7
taosdata/tdengine,hhi,804,758,851,671,544,574
taosdata/tdengine,contributors,37,49,49,54,55,90
taosdata/tdengine,bots,1,1,1,1,3,3
taosdata/tdengine,commits,8824,25614,13190,12741,8658,69027
taosdata/tdengine,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
taosdata/tdengine,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
openresty/lua-nginx-module,bus_factor,2,2,2,2,1,2
openresty/lua-nginx-module,hhi,1755,2358,2395,2033,3628,2058
openresty/lua-nginx-module,contributors,14,25,17,24,11,60
openresty/lua-nginx-module,bots,0,0,0,0,0,0
openresty/lua-nginx-module,commits,70,84,67,65,59,345
openresty/lua-nginx-module,first_date,2021-01-10,2022-01-02,2023-01-08,2024-01-14,2025-01-12,2021-01-10
openresty/lua-nginx-module,last_date,2022-01-01,2022-12-31,2023-12-30,2024-12-07,2026-01-03,2026-01-03
gojue/ecapture,bus_factor,,1,1,1,1,1
gojue/ecapture,hhi,,8485,8215,5456,4230,7164
gojue/ecapture,contributors,0,14,13,19,12,52
gojue/ecapture,bots,0,1,1,1,1,2
gojue/ecapture,commits,0,465,170,197,107,939
gojue/ecapture,first_date,,2022-03-13,2023-01-01,2024-01-21,2025-01-05,2022-03-13
gojue/ecapture,last_date,,2022-12-31,2024-01-06,2025-01-04,2025-12-27,2025-12-27
jonas/tig,bus_factor,1,1,1,1,1,1
jonas/tig,hhi,4906,8024,4970,8168,7837,6448
jonas/tig,contributors,10,7,7,5,4,28
jonas/tig,bots,0,0,0,0,0,0
jonas/tig,commits,71,57,26,41,34,229
jonas/tig,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
jonas/tig,last_date,2021-12-18,2022-12-31,2023-11-04,2024-12-07,2026-01-03,2026-01-03
redcanaryco/atomic-red-team,bus_factor,3,3,3,2,2,3
redcanaryco/atomic-red-team,hhi,1476,1875,1351,1925,2413,1442
redcanaryco/atomic-red-team,contributors,33,39,40,24,14,79
redcanaryco/atomic-red-team,bots,1,1,1,1,1,1
redcanaryco/atomic-red-team,commits,391,645,476,365,145,2022
redcanaryco/atomic-red-team,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-14,2025-01-05,2021-01-03
redcanaryco/atomic-red-team,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2025-12-20,2025-12-20
lz4/lz4,bus_factor,2,1,1,1,1,1
lz4/lz4,hhi,2889,4310,5034,7555,6827,4736
lz4/lz4,contributors,11,13,17,10,8,43
lz4/lz4,bots,0,1,1,1,1,1
lz4/lz4,commits,77,176,197,174,79,703
lz4/lz4,first_date,2021-01-03,2022-01-23,2023-01-08,2024-01-14,2025-01-12,2021-01-03
lz4/lz4,last_date,2021-12-18,2022-12-24,2024-01-06,2024-12-28,2025-12-20,2025-12-20
pbatard/rufus,bus_factor,1,1,1,1,1,1
pbatard/rufus,hhi,6864,9535,6367,5376,7036,6824
pbatard/rufus,contributors,18,2,26,30,13,53
pbatard/rufus,bots,0,1,1,0,1,1
pbatard/rufus,commits,110,84,128,108,86,516
pbatard/rufus,first_date,2021-01-03,2022-01-02,2023-01-08,2024-01-07,2025-01-19,2021-01-03
pbatard/rufus,last_date,2021-12-18,2022-12-17,2023-12-02,2024-12-14,2026-01-03,2026-01-03
mpv-player/mpv,bus_factor,4,4,2,3,3,3
mpv-player/mpv,hhi,1102,992,1521,1743,1750,1189
mpv-player/mpv,contributors,28,34,33,34,26,61
mpv-player/mpv,bots,0,0,0,0,0,0
mpv-player/mpv,commits,426,516,1469,1930,935,5276
mpv-player/mpv,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
mpv-player/mpv,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
openwall/john,bus_factor,1,2,1,1,1,2
openwall/john,hhi,4092,2939,4358,4534,4518,3328
openwall/john,contributors,13,9,6,14,11,35
openwall/john,bots,0,0,0,0,0,0
openwall/john,commits,288,251,154,294,393,1380
openwall/john,first_date,2021-01-03,2022-01-09,2023-01-15,2024-01-07,2025-01-05,2021-01-03
openwall/john,last_date,2022-01-01,2022-12-24,2024-01-06,2025-01-04,2026-01-03,2026-01-03
arendst/tasmota,bus_factor,1,1,2,2,2,2
arendst/tasmota,hhi,3950,3644,2270,2889,2826,3181
arendst/tasmota,contributors,5,22,28,26,20,43
arendst/tasmota,bots,0,0,0,0,0,0
arendst/tasmota,commits,2753,1939,1335,1409,906,8342
arendst/tasmota,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
arendst/tasmota,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
wazuh/wazuh,bus_factor,9,6,8,7,9,12
wazuh/wazuh,hhi,463,630,493,623,418,355
wazuh/wazuh,contributors,38,43,50,40,40,75
wazuh/wazuh,bots,0,0,0,0,0,0
wazuh/wazuh,commits,3979,2168,3871,3383,5185,18586
wazuh/wazuh,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
wazuh/wazuh,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
jqlang/jq,bus_factor,1,2,2,2,1,2
jqlang/jq,hhi,4438,2800,1952,2181,4009,1888
jqlang/jq,contributors,4,4,38,11,29,67
jqlang/jq,bots,0,0,2,1,2,2
jqlang/jq,commits,13,5,303,54,94,469
jqlang/jq,first_date,2021-01-24,2022-01-02,2023-02-26,2024-01-07,2025-01-19,2021-01-24
jqlang/jq,last_date,2021-10-30,2022-04-09,2023-12-30,2025-01-04,2025-12-20,2025-12-20
existentialaudio/blackhole,bus_factor,1,1,2,1,1,1
existentialaudio/blackhole,hhi,7870,4242,3260,10000,4062,4268
existentialaudio/blackhole,contributors,4,6,5,1,3,12
existentialaudio/blackhole,bots,0,0,0,0,0,0
existentialaudio/blackhole,commits,26,85,33,10,8,162
existentialaudio/blackhole,first_date,2021-01-03,2022-01-23,2023-01-01,2024-02-25,2025-02-02,2021-01-03
existentialaudio/blackhole,last_date,2021-12-11,2022-12-10,2023-11-11,2024-11-23,2025-12-20,2025-12-20
doctorwkt/acwj,bus_factor,1,1,1,,,1
doctorwkt/acwj,hhi,10000,9524,9334,,,9179
doctorwkt/acwj,contributors,1,2,2,0,0,4
doctorwkt/acwj,bots,0,0,0,0,0,0
doctorwkt/acwj,commits,1,41,29,0,0,71
doctorwkt/acwj,first_date,2021-12-05,2022-12-04,2023-01-01,,,2021-12-05
doctorwkt/acwj,last_date,2021-12-11,2022-12-31,2023-12-09,,,2023-12-09
karpathy/llama2.c,bus_factor,,,2,2,,2
karpathy/llama2.c,hhi,,,2278,2500,,2225
karpathy/llama2.c,contributors,0,0,83,4,0,87
karpathy/llama2.c,bots,0,0,0,0,0,0
karpathy/llama2.c,commits,0,0,338,4,0,342
karpathy/llama2.c,first_date,,,2023-07-16,2024-01-21,,2023-07-16
karpathy/llama2.c,last_date,,,2023-12-23,2024-05-18,,2024-05-18
acidanthera/opencorepkg,bus_factor,3,3,3,1,2,3
acidanthera/opencorepkg,hhi,1751,1766,1847,3712,1874,1519
acidanthera/opencorepkg,contributors,30,23,19,20,12,60
acidanthera/opencorepkg,bots,0,0,0,0,0,0
acidanthera/opencorepkg,commits,915,466,341,143,77,1942
acidanthera/opencorepkg,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-19,2021-01-03
acidanthera/opencorepkg,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2025-12-20,2025-12-20
h2o/h2o,bus_factor,1,1,1,1,1,1
h2o/h2o,hhi,4152,4018,5858,5755,7125,4533
h2o/h2o,contributors,19,16,17,11,6,35
h2o/h2o,bots,0,0,0,0,0,0
h2o/h2o,commits,1672,1169,605,466,237,4149
h2o/h2o,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
h2o/h2o,last_date,2022-01-01,2022-12-24,2024-01-06,2024-12-21,2025-12-06,2025-12-06
bilibili/ijkplayer,bus_factor,1,,,,,1
bilibili/ijkplayer,hhi,10000,,,,,10000
bilibili/ijkplayer,contributors,1,0,0,0,0,1
bilibili/ijkplayer,bots,0,0,0,0,0,0
bilibili/ijkplayer,commits,8,0,0,0,0,8
bilibili/ijkplayer,first_date,2021-04-18,,,,,2021-04-18
bilibili/ijkplayer,last_date,2021-04-24,,,,,2021-04-24
videolan/vlc,bus_factor,5,5,3,3,3,4
videolan/vlc,hhi,867,1000,1468,1620,1720,1099
videolan/vlc,contributors,34,31,26,25,28,44
videolan/vlc,bots,0,0,0,0,0,0
videolan/vlc,commits,2697,3412,1702,4152,2863,14826
videolan/vlc,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
videolan/vlc,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
qemu/qemu,bus_factor,4,6,5,4,5,5
qemu/qemu,hhi,898,812,905,842,847,795
qemu/qemu,contributors,65,68,70,63,60,83
qemu/qemu,bots,0,0,0,0,0,0
qemu/qemu,commits,6489,5547,6693,5902,5578,30209
qemu/qemu,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
qemu/qemu,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
radareorg/radare2,bus_factor,2,1,1,1,1,1
radareorg/radare2,hhi,2842,3781,5431,3972,4243,3838
radareorg/radare2,contributors,29,21,18,18,16,41
radareorg/radare2,bots,0,0,0,0,1,1
radareorg/radare2,commits,1733,2323,1681,1480,1417,8634
radareorg/radare2,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
radareorg/radare2,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
mozilla-ai/llamafile,bus_factor,,,1,1,2,1
mozilla-ai/llamafile,hhi,,,5784,7484,1913,6022
mozilla-ai/llamafile,contributors,0,0,24,36,16,63
mozilla-ai/llamafile,bots,0,0,0,0,0,0
mozilla-ai/llamafile,commits,0,0,217,502,56,775
mozilla-ai/llamafile,first_date,,,2023-11-05,2024-01-07,2025-01-05,2023-11-05
mozilla-ai/llamafile,last_date,,,2024-01-06,2025-01-04,2025-11-08,2025-11-08
nothings/stb,bus_factor,1,1,1,1,2,1
nothings/stb,hhi,5247,10000,10000,4141,4215,3984
nothings/stb,contributors,18,1,1,3,3,21
nothings/stb,bots,0,0,0,0,0,0
nothings/stb,commits,136,4,14,16,11,181
nothings/stb,first_date,2021-01-24,2022-02-20,2023-01-22,2024-02-04,2025-02-23,2021-01-24
nothings/stb,last_date,2021-10-16,2022-02-26,2023-05-06,2024-11-09,2025-10-25,2025-10-25
sandboxie-plus/sandboxie,bus_factor,2,1,2,2,2,2
sandboxie-plus/sandboxie,hhi,2900,3152,2907,2068,2039,2287
sandboxie-plus/sandboxie,contributors,34,38,29,26,37,94
sandboxie-plus/sandboxie,bots,0,2,2,2,2,2
sandboxie-plus/sandboxie,commits,866,1158,1216,1232,819,5291
sandboxie-plus/sandboxie,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-12,2021-01-03
sandboxie-plus/sandboxie,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
libretro/retroarch,bus_factor,1,1,2,2,2,2
libretro/retroarch,hhi,5382,4138,2933,2309,2323,1956
libretro/retroarch,contributors,39,37,26,25,31,56
libretro/retroarch,bots,0,0,0,0,0,0
libretro/retroarch,commits,2481,1378,1157,788,1341,7145
libretro/retroarch,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
libretro/retroarch,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
tencent/wcdb,bus_factor,1,1,1,1,1,1
tencent/wcdb,hhi,9710,8882,8862,8979,6869,8787
tencent/wcdb,contributors,2,2,3,5,13,15
tencent/wcdb,bots,0,0,0,0,0,0
tencent/wcdb,commits,68,185,876,170,81,1380
tencent/wcdb,first_date,2021-05-30,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-05-30
tencent/wcdb,last_date,2022-01-01,2022-12-31,2024-01-06,2024-12-28,2026-01-03,2026-01-03
lvgl/lvgl,bus_factor,1,2,1,3,4,2
lvgl/lvgl,hhi,5045,2175,2999,1175,1039,2061
lvgl/lvgl,contributors,25,28,37,54,50,85
lvgl/lvgl,bots,2,0,1,1,2,3
