github_repo,metric,2021,2022,2023,2024,2025,2021-2025
wivrn/wivrn,last_date,,2022-12-24,2024-01-06,2025-01-04,2026-01-03,2026-01-03
libmx3/mx3,bus_factor,,,,,,
libmx3/mx3,hhi,,,,,,
libmx3/mx3,contributors,0,0,0,0,0,0
libmx3/mx3,bots,0,0,0,0,0,0
libmx3/mx3,commits,0,0,0,0,0,0
libmx3/mx3,first_date,,,,,,
libmx3/mx3,last_date,,,,,,
mit-pdos/xv6-public,bus_factor,,,,,,
mit-pdos/xv6-public,hhi,,,,,,
mit-pdos/xv6-public,contributors,0,0,0,0,0,0
mit-pdos/xv6-public,bots,0,0,0,0,0,0
mit-pdos/xv6-public,commits,0,0,0,0,0,0
mit-pdos/xv6-public,first_date,,,,,,
mit-pdos/xv6-public,last_date,,,,,,
barry-ran/qtscrcpy,bus_factor,1,1,1,1,2,1
barry-ran/qtscrcpy,hhi,5465,6739,10000,5148,2948,5169
barry-ran/qtscrcpy,contributors,8,5,1,4,9,22
barry-ran/qtscrcpy,bots,0,0,0,0,0,0
barry-ran/qtscrcpy,commits,44,98,3,13,33,191
barry-ran/qtscrcpy,first_date,2021-02-28,2022-01-09,2023-02-19,2024-04-07,2025-01-05,2021-02-28
barry-ran/qtscrcpy,last_date,2021-12-04,2022-11-05,2023-03-04,2024-12-28,2025-11-08,2025-11-08
facebook/redex,bus_factor,2,2,3,2,3,3
facebook/redex,hhi,1872,1791,1679,2203,1554,1213
facebook/redex,contributors,21,24,23,19,17,52
facebook/redex,bots,0,0,0,0,0,0
facebook/redex,commits,886,660,583,497,900,3526
facebook/redex,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
facebook/redex,last_date,2022-01-01,2022-12-24,2024-01-06,2025-01-04,2026-01-03,2026-01-03
microsoft/windowsappsdk,bus_factor,4,4,3,4,6,7
microsoft/windowsappsdk,hhi,884,866,1492,1095,645,683
microsoft/windowsappsdk,contributors,38,40,21,29,35,87
microsoft/windowsappsdk,bots,1,2,1,2,1,2
microsoft/windowsappsdk,commits,405,542,182,234,277,1640
microsoft/windowsappsdk,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
microsoft/windowsappsdk,last_date,2021-12-25,2022-12-31,2024-01-06,2025-01-04,2025-12-27,2025-12-27
yarrick/pingfs,bus_factor,,,,,,
yarrick/pingfs,hhi,,,,,,
yarrick/pingfs,contributors,0,0,0,0,0,0
yarrick/pingfs,bots,0,0,0,0,0,0
yarrick/pingfs,commits,0,0,0,0,0,0
yarrick/pingfs,first_date,,,,,,
yarrick/pingfs,last_date,,,,,,
include-what-you-use/include-what-you-use,bus_factor,1,1,1,1,2,1
include-what-you-use/include-what-you-use,hhi,3722,5223,4192,3891,3879,4043
include-what-you-use/include-what-you-use,contributors,9,12,8,15,10,40
include-what-you-use/include-what-you-use,bots,0,0,0,0,0,0
include-what-you-use/include-what-you-use,commits,60,159,213,147,143,722
include-what-you-use/include-what-you-use,first_date,2021-01-17,2022-01-09,2023-01-01,2024-01-07,2025-01-19,2021-01-17
include-what-you-use/include-what-you-use,last_date,2021-12-11,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
nvidia/stdexec,bus_factor,2,2,1,1,1,1
nvidia/stdexec,hhi,2920,2664,3603,5098,4207,3091
nvidia/stdexec,contributors,14,22,25,28,26,73
nvidia/stdexec,bots,0,0,0,0,0,0
nvidia/stdexec,commits,385,459,551,319,250,1964
nvidia/stdexec,first_date,2021-05-09,2022-01-02,2023-01-01,2024-01-07,2025-01-12,2021-05-09
nvidia/stdexec,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
vxunderground/vx-api,bus_factor,,1,1,,,1
vxunderground/vx-api,hhi,,8740,8951,,,8750
vxunderground/vx-api,contributors,0,8,2,0,0,9
vxunderground/vx-api,bots,0,0,0,0,0,0
vxunderground/vx-api,commits,0,289,18,0,0,307
vxunderground/vx-api,first_date,,2022-06-12,2023-02-26,,,2022-06-12
vxunderground/vx-api,last_date,,2022-12-31,2023-04-29,,,2023-04-29
acm-clan/algorithm-stone,bus_factor,1,1,1,,,1
acm-clan/algorithm-stone,hhi,5325,10000,10000,,,5397
acm-clan/algorithm-stone,contributors,4,1,1,0,0,4
acm-clan/algorithm-stone,bots,0,0,0,0,0,0
acm-clan/algorithm-stone,commits,508,12,1,0,0,521
acm-clan/algorithm-stone,first_date,2021-02-14,2022-01-02,2023-01-01,,,2021-02-14
acm-clan/algorithm-stone,last_date,2022-01-01,2022-12-10,2023-01-07,,,2023-01-07
reimunotmoe/ydotool,bus_factor,3,2,1,1,1,2
reimunotmoe/ydotool,hhi,1700,2535,6116,3516,5556,1942
reimunotmoe/ydotool,contributors,7,11,5,7,2,26
reimunotmoe/ydotool,bots,0,0,0,0,0,0
reimunotmoe/ydotool,commits,20,24,22,16,3,85
reimunotmoe/ydotool,first_date,2021-01-03,2022-01-09,2023-01-01,2024-01-28,2025-09-21,2021-01-03
reimunotmoe/ydotool,last_date,2021-12-25,2022-10-15,2023-10-21,2024-08-24,2025-12-27,2025-12-27
stefankueng/grepwin,bus_factor,1,1,1,1,1,1
stefankueng/grepwin,hhi,8406,7210,5250,4472,5617,5518
stefankueng/grepwin,contributors,8,5,9,7,6,18
stefankueng/grepwin,bots,0,0,0,0,0,0
stefankueng/grepwin,commits,131,77,60,171,37,476
stefankueng/grepwin,first_date,2021-01-03,2022-02-06,2023-01-01,2024-01-28,2025-01-05,2021-01-03
stefankueng/grepwin,last_date,2022-01-01,2022-12-31,2023-12-30,2024-11-23,2025-11-29,2025-11-29
koide3/direct_visual_lidar_calibration,bus_factor,,1,1,1,1,1
koide3/direct_visual_lidar_calibration,hhi,,10000,10000,6622,5000,9034
koide3/direct_visual_lidar_calibration,contributors,0,1,1,3,2,4
koide3/direct_visual_lidar_calibration,bots,0,0,0,0,0,0
koide3/direct_visual_lidar_calibration,commits,0,26,37,15,2,80
koide3/direct_visual_lidar_calibration,first_date,,2022-08-21,2023-01-15,2024-02-11,2025-03-30,2022-08-21
koide3/direct_visual_lidar_calibration,last_date,,2022-12-31,2023-07-29,2024-11-09,2025-12-06,2025-12-06
gulrak/filesystem,bus_factor,1,1,1,1,1,1
gulrak/filesystem,hhi,5955,3000,3840,3400,8828,4895
gulrak/filesystem,contributors,7,7,8,4,2,23
gulrak/filesystem,bots,0,0,0,0,0,0
gulrak/filesystem,commits,84,20,31,10,16,161
gulrak/filesystem,first_date,2021-01-17,2022-02-06,2023-01-08,2024-02-18,2025-01-19,2021-01-17
gulrak/filesystem,last_date,2021-11-27,2022-08-20,2023-12-23,2025-01-04,2026-01-03,2026-01-03
irontec/sngrep,bus_factor,1,1,2,1,1,1
irontec/sngrep,hhi,5800,4308,2675,6800,3909,3921
irontec/sngrep,contributors,5,7,10,2,6,24
irontec/sngrep,bots,0,0,0,0,0,0
irontec/sngrep,commits,20,34,27,10,27,118
irontec/sngrep,first_date,2021-01-31,2022-01-16,2023-01-08,2024-03-31,2025-05-25,2021-01-31
irontec/sngrep,last_date,2021-11-27,2022-12-10,2023-12-23,2024-07-27,2025-12-13,2025-12-13
github/securitylab,bus_factor,2,2,1,1,2,2
github/securitylab,hhi,1904,2687,4012,3265,2292,1781
github/securitylab,contributors,10,7,4,5,6,16
github/securitylab,bots,0,0,0,0,0,0
github/securitylab,commits,91,19,18,14,24,166
github/securitylab,first_date,2021-01-17,2022-01-16,2023-01-15,2024-03-10,2025-05-18,2021-01-17
github/securitylab,last_date,2021-12-18,2022-12-03,2023-10-28,2024-12-14,2025-12-06,2025-12-06
microsoft/wslg,bus_factor,4,1,1,2,1,2
microsoft/wslg,hhi,1053,6085,4450,3878,7551,2618
microsoft/wslg,contributors,25,10,7,3,2,38
microsoft/wslg,bots,0,0,0,0,0,0
microsoft/wslg,commits,71,49,20,7,7,154
microsoft/wslg,first_date,2021-04-11,2022-01-02,2023-01-08,2024-03-31,2025-02-16,2021-04-11
microsoft/wslg,last_date,2021-12-25,2022-12-31,2024-01-06,2024-09-14,2025-10-04,2025-10-04
s3fs-fuse/s3fs-fuse,bus_factor,1,2,1,1,1,1
s3fs-fuse/s3fs-fuse,hhi,3910,3554,4452,4902,4678,4191
s3fs-fuse/s3fs-fuse,contributors,14,9,12,9,5,36
s3fs-fuse/s3fs-fuse,bots,0,0,0,0,0,0
s3fs-fuse/s3fs-fuse,commits,175,148,176,156,106,761
s3fs-fuse/s3fs-fuse,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-21,2025-01-12,2021-01-03
s3fs-fuse/s3fs-fuse,last_date,2021-12-18,2022-12-10,2023-12-23,2025-01-04,2025-12-20,2025-12-20
tencent/gameaisdk,bus_factor,1,,,,,1
tencent/gameaisdk,hhi,10000,,,,,10000
tencent/gameaisdk,contributors,1,0,0,0,0,1
tencent/gameaisdk,bots,0,0,0,0,0,0
tencent/gameaisdk,commits,2,0,0,0,0,2
tencent/gameaisdk,first_date,2021-01-17,,,,,2021-01-17
tencent/gameaisdk,last_date,2021-05-22,,,,,2021-05-22
sergiusthebest/plog,bus_factor,1,1,1,1,1,1
sergiusthebest/plog,hhi,6860,10000,5713,6600,6327,7277
sergiusthebest/plog,contributors,3,1,6,3,4,13
sergiusthebest/plog,bots,0,0,0,0,0,0
sergiusthebest/plog,commits,11,35,31,10,14,101
sergiusthebest/plog,first_date,2021-01-03,2022-02-06,2023-01-01,2024-03-10,2025-01-12,2021-01-03
sergiusthebest/plog,last_date,2021-06-19,2022-12-17,2023-11-18,2024-12-14,2025-11-15,2025-11-15
vcdevel/vc,bus_factor,2,1,2,1,,1
vcdevel/vc,hhi,2489,6522,3061,5556,,3401
vcdevel/vc,contributors,9,5,4,2,0,14
vcdevel/vc,bots,0,0,0,0,0,0
vcdevel/vc,commits,30,35,7,3,0,75
vcdevel/vc,first_date,2021-01-03,2022-03-13,2023-09-24,2024-02-04,,2021-01-03
vcdevel/vc,last_date,2021-11-13,2022-12-10,2023-10-28,2024-06-08,,2024-06-08
spacemeowx2/switch-lan-play,bus_factor,2,1,1,1,,2
spacemeowx2/switch-lan-play,hhi,3333,5000,10000,10000,,1875
spacemeowx2/switch-lan-play,contributors,3,2,1,1,0,6
spacemeowx2/switch-lan-play,bots,0,0,0,0,0,0
spacemeowx2/switch-lan-play,commits,3,2,2,1,0,8
spacemeowx2/switch-lan-play,first_date,2021-04-25,2022-02-06,2023-03-26,2024-01-07,,2021-04-25
spacemeowx2/switch-lan-play,last_date,2021-06-05,2022-07-02,2023-04-22,2024-01-13,,2024-01-13
python-greenlet/greenlet,bus_factor,1,1,1,1,1,1
python-greenlet/greenlet,hhi,8814,6416,7361,4795,5765,7243
python-greenlet/greenlet,contributors,8,10,7,9,10,34
python-greenlet/greenlet,bots,0,0,0,1,1,1
python-greenlet/greenlet,commits,243,64,96,69,61,533
python-greenlet/greenlet,first_date,2021-01-03,2022-01-09,2023-01-15,2024-02-11,2025-04-06,2021-01-03
python-greenlet/greenlet,last_date,2021-12-25,2022-11-19,2023-12-23,2024-12-07,2025-12-13,2025-12-13
renderkit/ospray,bus_factor,1,2,1,1,,1
renderkit/ospray,hhi,3119,3180,4362,5999,,3890
renderkit/ospray,contributors,15,9,12,6,0,21
renderkit/ospray,bots,0,0,0,0,0,0
renderkit/ospray,commits,173,70,182,104,0,529
renderkit/ospray,first_date,2021-01-10,2022-01-09,2023-01-01,2024-01-07,,2021-01-10
renderkit/ospray,last_date,2021-12-25,2022-12-17,2023-12-23,2024-10-12,,2024-10-12
redasmorg/redasm,bus_factor,1,1,1,1,,1
redasmorg/redasm,hhi,10000,10000,10000,3889,,9735
redasmorg/redasm,contributors,1,1,1,3,0,3
redasmorg/redasm,bots,0,0,0,0,0,0
redasmorg/redasm,commits,201,16,1,6,0,224
redasmorg/redasm,first_date,2021-01-03,2022-03-27,2023-09-03,2024-02-18,,2021-01-03
redasmorg/redasm,last_date,2021-12-04,2022-04-16,2023-09-09,2024-11-02,,2024-11-02
dltcollab/sse2neon,bus_factor,2,1,2,2,1,2
dltcollab/sse2neon,hhi,3231,4097,2408,1891,6883,2845
dltcollab/sse2neon,contributors,16,14,11,10,12,44
dltcollab/sse2neon,bots,0,0,0,0,0,0
dltcollab/sse2neon,commits,275,135,50,29,127,616
dltcollab/sse2neon,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
dltcollab/sse2neon,last_date,2022-01-01,2022-12-31,2024-01-06,2024-12-28,2026-01-03,2026-01-03
yangyangwithgnu/hardseed,bus_factor,,,,,,
yangyangwithgnu/hardseed,hhi,,,,,,
yangyangwithgnu/hardseed,contributors,0,0,0,0,0,0
yangyangwithgnu/hardseed,bots,0,0,0,0,0,0
yangyangwithgnu/hardseed,commits,0,0,0,0,0,0
yangyangwithgnu/hardseed,first_date,,,,,,
yangyangwithgnu/hardseed,last_date,,,,,,
fastbuild/fastbuild,bus_factor,1,1,1,1,1,1
fastbuild/fastbuild,hhi,6210,7894,7529,10000,5537,7229
fastbuild/fastbuild,contributors,17,9,10,1,4,32
fastbuild/fastbuild,bots,0,0,0,0,0,0
fastbuild/fastbuild,commits,111,124,157,8,11,411
fastbuild/fastbuild,first_date,2021-01-03,2022-01-09,2023-01-01,2024-01-28,2025-01-12,2021-01-03
fastbuild/fastbuild,last_date,2022-01-01,2022-12-31,2024-01-06,2024-04-27,2025-11-29,2025-11-29
openalpr/openalpr,bus_factor,,,,,,
openalpr/openalpr,hhi,,,,,,
openalpr/openalpr,contributors,0,0,0,0,0,0
openalpr/openalpr,bots,0,0,0,0,0,0
openalpr/openalpr,commits,0,0,0,0,0,0
openalpr/openalpr,first_date,,,,,,
openalpr/openalpr,last_date,,,,,,
green7ea/blog,bus_factor,,,,,,
green7ea/blog,hhi,,,,,,
green7ea/blog,contributors,0,0,0,0,0,0
green7ea/blog,bots,0,0,0,0,0,0
green7ea/blog,commits,0,0,0,0,0,0
green7ea/blog,first_date,,,,,,
green7ea/blog,last_date,,,,,,
csmith-project/csmith,bus_factor,1,,1,,,2
csmith-project/csmith,hhi,3889,,3750,,,2000
csmith-project/csmith,contributors,3,0,3,0,0,6
csmith-project/csmith,bots,0,0,0,0,0,0
csmith-project/csmith,commits,6,0,4,0,0,10
csmith-project/csmith,first_date,2021-01-03,,2023-01-08,,,2021-01-03
csmith-project/csmith,last_date,2021-02-27,,2023-11-04,,,2023-11-04
tencent/tnn,bus_factor,5,4,2,,,5
tencent/tnn,hhi,893,1078,2212,,,820
tencent/tnn,contributors,38,26,13,0,0,53
tencent/tnn,bots,0,0,1,0,0,1
tencent/tnn,commits,1117,205,58,0,0,1380
tencent/tnn,first_date,2021-01-03,2022-01-02,2023-01-01,,2025-03-23,2021-01-03
tencent/tnn,last_date,2022-01-01,2022-12-24,2023-09-30,,2025-03-29,2025-03-29
jpbarrette/curlpp,bus_factor,2,1,2,1,1,3
jpbarrette/curlpp,hhi,2346,5000,2800,10000,10000,1429
jpbarrette/curlpp,contributors,5,2,4,1,1,10
jpbarrette/curlpp,bots,0,0,0,0,0,0
jpbarrette/curlpp,commits,9,4,5,2,1,21
jpbarrette/curlpp,first_date,2021-04-11,2022-05-08,2023-01-22,2024-09-08,2025-06-22,2021-04-11
jpbarrette/curlpp,last_date,2021-12-04,2022-11-26,2023-12-09,2024-09-14,2025-06-28,2025-06-28
mrousavy/react-native-multithreading,bus_factor,1,1,,,,1
mrousavy/react-native-multithreading,hhi,9142,10000,,,,9151
mrousavy/react-native-multithreading,contributors,3,1,0,0,0,3
mrousavy/react-native-multithreading,bots,0,0,0,0,0,0
mrousavy/react-native-multithreading,commits,179,2,0,0,0,181
mrousavy/react-native-multithreading,first_date,2021-03-14,2022-01-30,,,,2021-03-14
mrousavy/react-native-multithreading,last_date,2021-09-18,2022-02-05,,,,2022-02-05
ompl/ompl,bus_factor,1,5,2,3,2,3
ompl/ompl,hhi,5276,1001,1998,1395,2095,1254
ompl/ompl,contributors,6,19,25,16,22,62
ompl/ompl,bots,0,0,0,0,1,1
ompl/ompl,commits,31,33,73,42,278,457
ompl/ompl,first_date,2021-01-10,2022-01-02,2023-01-01,2024-01-14,2025-01-05,2021-01-10
ompl/ompl,last_date,2022-01-01,2022-12-24,2023-12-16,2025-01-04,2026-01-03,2026-01-03
kevmo314/scuda,bus_factor,,,,1,1,1
kevmo314/scuda,hhi,,,,5678,3884,5352
kevmo314/scuda,contributors,0,0,0,3,5,6
kevmo314/scuda,bots,0,0,0,0,0,0
kevmo314/scuda,commits,0,0,0,126,22,148
kevmo314/scuda,first_date,,,,2024-08-25,2025-01-05,2024-08-25
kevmo314/scuda,last_date,,,,2025-01-04,2025-06-21,2025-06-21
pmq20/ruby-packer,bus_factor,1,,,,,1
pmq20/ruby-packer,hhi,10000,,,,,10000
pmq20/ruby-packer,contributors,1,0,0,0,0,1
pmq20/ruby-packer,bots,0,0,0,0,0,0
pmq20/ruby-packer,commits,3,0,0,0,0,3
pmq20/ruby-packer,first_date,2021-01-03,,,,,2021-01-03
pmq20/ruby-packer,last_date,2021-01-09,,,,,2021-01-09
alibaba/graph-learn,bus_factor,1,2,2,1,1,2
alibaba/graph-learn,hhi,3755,3036,2650,5556,10000,2345
alibaba/graph-learn,contributors,4,7,8,2,1,13
alibaba/graph-learn,bots,0,1,1,0,0,1
alibaba/graph-learn,commits,71,49,20,3,1,144
alibaba/graph-learn,first_date,2021-01-03,2022-01-16,2023-01-08,2024-01-14,2025-06-29,2021-01-03
alibaba/graph-learn,last_date,2022-01-01,2022-12-31,2023-09-23,2024-07-06,2025-07-05,2025-07-05
nasa/astrobee,bus_factor,2,2,2,2,1,2
nasa/astrobee,hhi,2448,2078,2344,2751,5556,2041
nasa/astrobee,contributors,14,14,8,8,2,20
nasa/astrobee,bots,0,0,0,0,0,0
nasa/astrobee,commits,209,159,46,35,3,452
nasa/astrobee,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-14,2025-09-28,2021-01-03
nasa/astrobee,last_date,2022-01-01,2022-12-24,2023-11-18,2024-07-06,2025-12-06,2025-12-06
0voice/introduce_c-cpp_manual,bus_factor,1,,,1,,1
0voice/introduce_c-cpp_manual,hhi,9726,,,10000,,9467
0voice/introduce_c-cpp_manual,contributors,2,0,0,1,0,2
0voice/introduce_c-cpp_manual,bots,0,0,0,0,0,0
0voice/introduce_c-cpp_manual,commits,72,0,0,1,0,73
0voice/introduce_c-cpp_manual,first_date,2021-12-05,,,2024-05-19,,2021-12-05
0voice/introduce_c-cpp_manual,last_date,2021-12-18,,,2024-05-25,,2024-05-25
hluk/copyq,bus_factor,1,1,1,1,1,1
hluk/copyq,hhi,6517,5664,7887,4207,6979,6139
hluk/copyq,contributors,23,23,10,20,16,47
hluk/copyq,bots,0,0,1,1,1,1
hluk/copyq,commits,314,171,115,182,247,1029
hluk/copyq,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-26,2021-01-03
hluk/copyq,last_date,2022-01-01,2022-12-03,2024-01-06,2024-12-28,2026-01-03,2026-01-03
niedev/rtranslator,bus_factor,1,1,1,1,1,1
niedev/rtranslator,hhi,5703,10000,10000,6732,8528,6730
niedev/rtranslator,contributors,2,1,1,8,2,10
niedev/rtranslator,bots,0,0,0,0,0,0
niedev/rtranslator,commits,32,8,1,108,25,174
niedev/rtranslator,first_date,2021-01-17,2022-02-06,2023-12-10,2024-06-09,2025-01-12,2021-01-17
niedev/rtranslator,last_date,2021-09-18,2022-10-15,2023-12-16,2024-11-23,2025-11-29,2025-11-29
calcprogrammer1/openrgb,bus_factor,2,2,2,1,1,1
calcprogrammer1/openrgb,hhi,2660,2158,1854,5363,3740,2895
calcprogrammer1/openrgb,contributors,28,36,35,31,36,90
calcprogrammer1/openrgb,bots,0,0,0,0,0,0
calcprogrammer1/openrgb,commits,625,513,435,714,496,2783
calcprogrammer1/openrgb,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
calcprogrammer1/openrgb,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
ttimo/doom3.gpl,bus_factor,,,,,,
ttimo/doom3.gpl,hhi,,,,,,
ttimo/doom3.gpl,contributors,0,0,0,0,0,0
ttimo/doom3.gpl,bots,0,0,0,0,0,0
ttimo/doom3.gpl,commits,0,0,0,0,0,0
ttimo/doom3.gpl,first_date,,,,,,
ttimo/doom3.gpl,last_date,,,,,,
nokiatech/heif,bus_factor,,,,,,
nokiatech/heif,hhi,,,,,,
nokiatech/heif,contributors,0,0,0,0,0,0
nokiatech/heif,bots,0,0,0,0,0,0
nokiatech/heif,commits,0,0,0,0,0,0
nokiatech/heif,first_date,,,,,,
nokiatech/heif,last_date,,,,,,
andersbakken/rtags,bus_factor,1,1,1,1,1,1
andersbakken/rtags,hhi,8292,8472,7551,5833,9575,8443
andersbakken/rtags,contributors,4,2,2,4,2,8
andersbakken/rtags,bots,0,0,0,0,0,0
andersbakken/rtags,commits,33,12,7,12,46,110
andersbakken/rtags,first_date,2021-02-07,2022-06-12,2023-01-15,2024-03-10,2025-02-02,2021-02-07
andersbakken/rtags,last_date,2021-10-02,2022-11-12,2023-12-16,2024-11-30,2026-01-03,2026-01-03
cppcon/cppcon2016,bus_factor,,,,,,
cppcon/cppcon2016,hhi,,,,,,
cppcon/cppcon2016,contributors,0,0,0,0,0,0
cppcon/cppcon2016,bots,0,0,0,0,0,0
cppcon/cppcon2016,commits,0,0,0,0,0,0
cppcon/cppcon2016,first_date,,,,,,
cppcon/cppcon2016,last_date,,,,,,
linuxmint/nemo,bus_factor,1,2,1,1,1,1
linuxmint/nemo,hhi,4421,2658,5170,3936,5318,4213
linuxmint/nemo,contributors,14,12,13,13,8,41
linuxmint/nemo,bots,0,0,0,0,0,0
linuxmint/nemo,commits,131,66,108,101,70,476
linuxmint/nemo,first_date,2021-01-03,2022-01-09,2023-01-01,2024-01-21,2025-01-19,2021-01-03
linuxmint/nemo,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2025-12-27,2025-12-27
andrivet/advobfuscator,bus_factor,,,,,1,1
andrivet/advobfuscator,hhi,,,,,8893,8893
andrivet/advobfuscator,contributors,0,0,0,0,2,2
andrivet/advobfuscator,bots,0,0,0,0,0,0
andrivet/advobfuscator,commits,0,0,0,0,17,17
andrivet/advobfuscator,first_date,,,,,2025-06-29,2025-06-29
andrivet/advobfuscator,last_date,,,,,2025-12-27,2025-12-27
ideawu/icomet,bus_factor,,,,,,
ideawu/icomet,hhi,,,,,,
ideawu/icomet,contributors,0,0,0,0,0,0
ideawu/icomet,bots,0,0,0,0,0,0
ideawu/icomet,commits,0,0,0,0,0,0
ideawu/icomet,first_date,,,,,,
ideawu/icomet,last_date,,,,,,
shahjalalshohag/code-library,bus_factor,1,1,1,1,1,1
shahjalalshohag/code-library,hhi,9955,9445,8162,9176,7449,9604
shahjalalshohag/code-library,contributors,2,2,3,5,3,11
shahjalalshohag/code-library,bots,0,0,0,0,0,0
shahjalalshohag/code-library,commits,443,35,40,118,14,650
shahjalalshohag/code-library,first_date,2021-01-31,2022-01-09,2023-01-15,2024-01-21,2025-01-05,2021-01-31
shahjalalshohag/code-library,last_date,2021-12-25,2022-12-17,2024-01-06,2024-11-02,2025-11-01,2025-11-01
sisong/hdiffpatch,bus_factor,1,1,1,1,1,1
sisong/hdiffpatch,hhi,9787,10000,7808,10000,9406,8029
sisong/hdiffpatch,contributors,2,1,3,1,4,6
sisong/hdiffpatch,bots,0,0,0,0,0,0
sisong/hdiffpatch,commits,93,180,89,40,99,501
sisong/hdiffpatch,first_date,2021-01-03,2022-02-06,2023-02-19,2024-01-07,2025-03-16,2021-01-03
sisong/hdiffpatch,last_date,2021-12-25,2022-12-31,2024-01-06,2024-12-28,2025-09-20,2025-09-20
schellingb/dosbox-pure,bus_factor,1,1,1,1,1,1
schellingb/dosbox-pure,hhi,9096,9671,9798,9222,9857,9473
schellingb/dosbox-pure,contributors,6,3,2,3,2,11
schellingb/dosbox-pure,bots,0,0,0,0,0,0
schellingb/dosbox-pure,commits,129,120,98,223,139,709
schellingb/dosbox-pure,first_date,2021-01-03,2022-01-02,2023-04-09,2024-05-12,2025-01-12,2021-01-03
schellingb/dosbox-pure,last_date,2022-01-01,2022-11-12,2023-12-30,2025-01-04,2025-12-06,2025-12-06
cryptonomex/graphene,bus_factor,,,,,,
cryptonomex/graphene,hhi,,,,,,
cryptonomex/graphene,contributors,0,0,0,0,0,0
cryptonomex/graphene,bots,0,0,0,0,0,0
cryptonomex/graphene,commits,0,0,0,0,0,0
cryptonomex/graphene,first_date,,,,,,
cryptonomex/graphene,last_date,,,,,,
ttttupup/wxhelper,bus_factor,,1,1,1,1,1
ttttupup/wxhelper,hhi,,10000,8105,6250,5000,7613
ttttupup/wxhelper,contributors,0,1,3,2,2,6
ttttupup/wxhelper,bots,0,0,0,0,0,0
ttttupup/wxhelper,commits,0,1,171,4,2,178
ttttupup/wxhelper,first_date,,2022-12-18,2023-01-01,2024-02-18,2025-01-12,2022-12-18
ttttupup/wxhelper,last_date,,2022-12-24,2023-11-18,2024-08-03,2025-04-26,2025-04-26
squirrel/squirrel.windows,bus_factor,1,1,1,1,,2
squirrel/squirrel.windows,hhi,4380,3571,6250,10000,,2200
squirrel/squirrel.windows,contributors,3,7,2,1,0,12
squirrel/squirrel.windows,bots,0,0,0,0,0,0
squirrel/squirrel.windows,commits,11,14,4,1,0,30
squirrel/squirrel.windows,first_date,2021-06-06,2022-01-30,2023-07-23,2024-01-07,,2021-06-06
squirrel/squirrel.windows,last_date,2021-12-11,2022-11-12,2023-08-05,2024-01-13,,2024-01-13
fritzing/fritzing-app,bus_factor,1,1,1,1,1,1
fritzing/fritzing-app,hhi,8360,7849,5861,6834,9460,6555
fritzing/fritzing-app,contributors,5,3,7,5,2,10
fritzing/fritzing-app,bots,0,0,0,0,0,0
fritzing/fritzing-app,commits,1113,141,248,117,36,1655
fritzing/fritzing-app,first_date,2021-01-17,2022-01-02,2023-01-15,2024-01-28,2025-01-05,2021-01-17
fritzing/fritzing-app,last_date,2022-01-01,2022-12-24,2024-01-06,2025-01-04,2025-07-12,2025-07-12
mihailris/voxelcore,bus_factor,1,1,1,1,1,1
mihailris/voxelcore,hhi,7396,6107,6351,7318,7605,7246
mihailris/voxelcore,contributors,2,4,12,30,24,49
mihailris/voxelcore,bots,0,0,0,0,0,0
mihailris/voxelcore,commits,13,102,437,2661,1339,4552
mihailris/voxelcore,first_date,2021-04-25,2022-02-27,2023-07-30,2024-01-07,2025-01-05,2021-04-25
mihailris/voxelcore,last_date,2021-09-18,2022-12-10,2024-01-06,2025-01-04,2026-01-03,2026-01-03
rurban/smhasher,bus_factor,1,1,1,1,1,1
rurban/smhasher,hhi,5959,8428,3248,3837,8698,4613
rurban/smhasher,contributors,8,4,6,7,4,23
rurban/smhasher,bots,0,0,0,0,0,0
rurban/smhasher,commits,129,60,72,73,44,378
rurban/smhasher,first_date,2021-01-10,2022-01-23,2023-04-09,2024-01-07,2025-01-12,2021-01-10
rurban/smhasher,last_date,2021-11-27,2022-12-17,2023-10-28,2024-12-21,2025-12-06,2025-12-06
chobits/ngx_http_proxy_connect_module,bus_factor,1,1,1,1,,1
chobits/ngx_http_proxy_connect_module,hhi,10000,9429,10000,10000,,8496
chobits/ngx_http_proxy_connect_module,contributors,1,2,1,1,0,3
chobits/ngx_http_proxy_connect_module,bots,0,0,0,0,0,0
chobits/ngx_http_proxy_connect_module,commits,4,34,20,4,0,62
chobits/ngx_http_proxy_connect_module,first_date,2021-07-18,2022-07-10,2023-02-05,2024-03-17,,2021-07-18
