repo,repo_id,status,n_contributors,fetched_at
csstree/csstree,67236461,ok,27,2026-05-19T11:24:13+00:00
curl/curl,569041,ok,411,2026-05-19T11:17:23+00:00
cuviper/autocfg,135481335,ok,10,2026-05-19T11:24:14+00:00
cyan4973/xxhash,19330466,ok,114,2026-05-19T11:24:15+00:00
daaku/nodejs-makeerror,2097803,ok,2,2026-05-19T11:24:16+00:00
daaku/nodejs-tmpl,2171213,ok,4,2026-05-19T11:24:17+00:00
dateutil/dateutil,26876372,ok,107,2026-05-19T11:24:19+00:00
davidhalter/parso,90668463,ok,49,2026-05-19T11:24:20+00:00
davisjam/safe-regex,90781457,ok,6,2026-05-19T11:24:21+00:00
dchest/tweetnacl-js,15649752,ok,15,2026-05-19T11:24:23+00:00
dcodeio/long.js,8678904,ok,18,2026-05-19T11:24:25+00:00
debug-js/debug,2871998,ok,107,2026-05-19T11:24:26+00:00
definitelytyped/definitelytyped,6093316,ok,387,2026-05-19T11:24:30+00:00
defunctzombie/node-process,7580644,ok,15,2026-05-19T11:24:29+00:00
django/asgiref,48501860,ok,106,2026-05-19T11:24:31+00:00
djc/rustc-version-rs,41272773,ok,15,2026-05-19T11:24:31+00:00
dmitrysoshnikov/regexp-tree,85459304,ok,25,2026-05-19T11:24:33+00:00
doowb/ansi-colors,47135420,ok,11,2026-05-19T11:22:36+00:00
douglasdwyer/wasm_sync,668034655,ok,1,2026-05-19T11:22:36+00:00
dougwilson/nodejs-depd,20848667,ok,2,2026-05-19T11:22:37+00:00
dtolnay/anyhow,212936374,ok,25,2026-05-19T11:22:37+00:00
dtolnay/automod,173074854,ok,6,2026-05-19T11:22:38+00:00
dtolnay/dissimilar,229514821,ok,3,2026-05-19T11:22:39+00:00
dtolnay/indoc,54252316,ok,7,2026-05-19T11:22:40+00:00
dtolnay/itoa,61962375,ok,14,2026-05-19T11:22:41+00:00
dtolnay/no-panic,143469762,ok,2,2026-05-19T11:22:41+00:00
dtolnay/proc-macro2,91860126,ok,30,2026-05-19T11:22:43+00:00
dtolnay/quote,67273122,ok,26,2026-05-19T11:22:44+00:00
dtolnay/ref-cast,106295902,ok,4,2026-05-19T11:22:45+00:00
dtolnay/rustversion,183990447,ok,3,2026-05-19T11:22:46+00:00
dtolnay/ryu,142720484,ok,6,2026-05-19T11:22:47+00:00
dtolnay/semver,22432442,ok,64,2026-05-19T11:22:47+00:00
dtolnay/syn,67305738,ok,102,2026-05-19T11:22:49+00:00
dtolnay/target-triple,734167706,ok,1,2026-05-19T11:22:49+00:00
dtolnay/thiserror,213836768,ok,21,2026-05-19T11:22:50+00:00
dtolnay/trybuild,184941159,ok,26,2026-05-19T11:22:51+00:00
dtolnay/unicode-ident,492639579,ok,5,2026-05-19T11:22:53+00:00
eemeli/yaml,119439276,ok,33,2026-05-19T11:22:54+00:00
ehmicky/human-signals,214467546,ok,5,2026-05-19T11:22:54+00:00
eliben/pycparser,10589864,ok,79,2026-05-19T11:22:56+00:00
emotion-js/emotion,92570536,ok,304,2026-05-19T11:22:58+00:00
encode/httpcore,237210639,ok,55,2026-05-19T11:22:58+00:00
encode/httpx,179492861,ok,231,2026-05-19T11:23:01+00:00
