repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
siduck/chadwm,21,5042,3951,1403,27.8,13.1,2.0,61541,2026-03-12T23:06:08Z
iliane5/meridian,69,5034,4144,448,8.9,13.1,2.0,61438,2026-03-12T21:05:25Z
reorg/pg_repack,9,5034,3827,964,19.1,13.1,2.0,61438,2026-03-12T21:05:25Z
lrsjng/h5ai,75,5026,3430,580,11.5,13.1,2.0,61336,2026-03-12T17:29:19Z
rexanwong/text-behind-image,65,4994,3335,163,3.3,13.0,2.0,60926,2026-03-12T21:05:25Z
romrider/apexcharts-card,17,4983,3491,973,19.5,13.0,2.0,60785,2026-03-12T21:05:25Z
node-formidable/formidable,69,4887,3156,263,5.4,12.7,1.9,59556,2026-03-12T21:05:25Z
manu354/cryptocurrency-arbitrage,8,4874,3183,395,8.1,12.7,1.9,59390,2026-03-12T17:40:22Z
ianstormtaylor/superstruct,259,4799,2233,205,4.3,12.5,1.9,58430,2026-03-12T21:05:25Z
openstack/openstack-ansible,23,4779,4106,460,9.6,12.4,1.9,58175,2026-03-12T21:05:25Z
opengs/uashield,91,4758,3363,352,7.4,12.3,1.9,57906,2026-03-12T21:05:25Z
dmlc/ps-lite,35,4749,4573,827,17.4,12.3,1.9,57791,2026-03-12T21:05:25Z
thunlp/openke,59,4730,2384,782,16.5,12.3,1.9,57549,2026-03-12T17:28:05Z
vueuse/motion,104,4697,3156,318,6.8,12.2,1.9,57127,2026-03-12T21:05:25Z
layout-parser/layout-parser,46,4689,3563,331,7.1,12.2,1.9,57025,2026-03-12T17:30:11Z
stackblitz-labs/pkg.pr.new,66,4673,3294,309,6.6,12.1,1.9,56821,2026-03-12T21:53:44Z
crazycodeboy/githubpopular,46,4573,2510,259,5.7,11.8,1.9,55545,2026-03-12T22:31:48Z
insanum/gcalcli,28,4571,3873,776,17.0,11.8,1.9,55519,2026-03-12T17:30:11Z
ipid/unlock-music,66,4546,3297,670,14.7,11.8,1.8,55200,2026-03-12T17:40:22Z
riba2534/tcp-ip-networknote,96,4526,1459,675,14.9,11.7,1.8,54945,2026-03-12T21:05:25Z
tristen/tablesort,25,4501,3485,921,20.5,11.6,1.8,54627,2026-03-12T21:05:25Z
liujuntao123/smart-mermaid,42,4487,2998,502,11.2,11.6,1.8,54448,2026-03-12T21:05:25Z
facebookresearch/xlm,29,4398,4264,1193,27.1,11.4,1.8,53315,2026-03-12T21:05:25Z
jazzband/djangorestframework-simplejwt,53,4331,2947,283,6.5,11.2,1.8,52462,2026-03-12T17:28:05Z
enlighterjs/enlighterjs,98,4328,2224,122,2.8,11.2,1.8,52424,2026-03-12T21:05:25Z
finnhvman/matter,21,4230,1250,116,2.7,10.9,1.8,51179,2026-03-12T22:27:36Z
spookylukey/django-htmx-patterns,27,4218,3317,995,23.6,10.9,1.8,51026,2026-03-12T21:05:25Z
