"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"gir1.2-avahi-0.6","","","","","","",""
"gir1.2-ayatanaappindicator3-0.1","","","","","","",""
"gir1.2-ayatanaido3-0.4","","","","","","",""
"gir1.2-babl-0.1","","","","","","",""
"gir1.2-babl-0.1-dev","","","","","","",""
"gir1.2-blockdev-3.0","","","","","","",""
"gir1.2-brasero-3.1","","","","","","",""
"gir1.2-cairo-1.0","","","","","","",""
"gir1.2-cairo-1.0-dev","","","","","","",""
"gir1.2-caja-2.0","","","","","","",""
"gir1.2-camel-1.2","","","","","","",""
"gir1.2-caribou-1.0","","","","","","",""
"gir1.2-champlain-0.12","","","","","","",""
"gir1.2-cheese-3.0","","","","","","",""
"gir1.2-cinnamondesktop-3.0","","","","","","",""
"gir1.2-cloudproviders-0.3.0","","","","","","",""
"gir1.2-cmenu-3.0","","","","","","",""
"gir1.2-colord-1.0","","","","","","",""
"gir1.2-colordgtk-1.0","","","","","","",""
"gir1.2-colorhug-1.0","","","","","","",""
"gir1.2-cvc-1.0","","","","","","",""
"gir1.2-dbus-1.0-dev","","","","","","",""
"gir1.2-dbusmenu-glib-0.4","","","","","","",""
"gir1.2-dbusmenu-gtk3-0.4","","","","","","",""
"gir1.2-dee-1.0","","","","","","",""
"gir1.2-dex-1","","","","","","",""
"gir1.2-dmap-4.0","","","","","","",""
"gir1.2-ebackend-1.2","","","","","","",""
"gir1.2-ebook-1.2","","","","","","",""
"gir1.2-ebookcontacts-1.2","","","","","","",""
"gir1.2-ebookcontacts-1.2-dev","","","","","","",""
"gir1.2-ecal-2.0","","","","","","",""
"gir1.2-edatabook-1.2","","","","","","",""
"gir1.2-edatacal-2.0","","","","","","",""
"gir1.2-edataserver-1.2","","","","","","",""
"gir1.2-edataserver-1.2-dev","","","","","","",""
"gir1.2-edataserverui-1.2","","","","","","",""
"gir1.2-edataserverui4-1.0","","","","","","",""
"gir1.2-flatpak-1.0","","","","","","",""
"gir1.2-folks-0.7","","","","","","",""
"gir1.2-freedesktop","","","","","","",""
"gir1.2-freetype2-2.0-dev","","","","","","",""
"gir1.2-fwupd-2.0","","","","","","",""
"gir1.2-garcon-1.0","","","","","","",""
"gir1.2-garcongtk-1.0","","","","","","",""
"gir1.2-gcab-1.0","","","","","","",""
"gir1.2-gck-1","","","","","","",""
"gir1.2-gck-2","","","","","","",""
"gir1.2-gcr-3","","","","","","",""
"gir1.2-gcr-4","","","","","","",""
"gir1.2-gdata-0.0","","","","","","",""
"gir1.2-gdesktopenums-3.0","","","","","","",""
"gir1.2-gdesktopenums-3.0-dev","","","","","","",""
"gir1.2-gdk-3.0","","","","","","",""
"gir1.2-gdk-3.0-dev","","","","","","",""
"gir1.2-gdk-4.0-dev","","","","","","",""
"gir1.2-gdkpixbuf-2.0","","","","","","",""
"gir1.2-gdkpixbuf-2.0-dev","","","","","","",""
"gir1.2-gdm-1.0","","","","","","",""
"gir1.2-gee-0.8","","","","","","",""
"gir1.2-gee-0.8-dev","","","","","","",""
"gir1.2-gegl-0.4","","","","","","",""
"gir1.2-geoclue-2.0","","","","","","",""
"gir1.2-geocodeglib-2.0","","","","","","",""
"gir1.2-gepub-0.7","","","","","","",""
"gir1.2-ges-1.0","","","","","","",""
"gir1.2-gexiv2-0.10","","","","","","",""
"gir1.2-gfls-1","","","","","","",""
"gir1.2-ggit-1.0","","","","","","",""
"gir1.2-gio-2.0","","","","","","",""
"gir1.2-gio-2.0-dev","","","","","","",""
"gir1.2-girepository-2.0","","","","","","",""
"gir1.2-girepository-3.0","","","","","","",""
"gir1.2-gkbd-3.0","","","","","","",""
"gir1.2-gl-1.0","","","","","","",""
"gir1.2-gladeui-2.0","","","","","","",""
"gir1.2-glib-2.0","","","","","","",""
"gir1.2-gmenu-3.0","","","","","","",""
"gir1.2-gmodule-2.0-dev","","","","","","",""
"gir1.2-gnomeautoar-0.1","","","","","","",""
"gir1.2-gnomeautoargtk-0.1","","","","","","",""
"gir1.2-gnomebg-4.0","","","","","","",""
"gir1.2-gnomebluetooth-3.0","","","","","","",""
"gir1.2-gnomedesktop-3.0","","","","","","",""
"gir1.2-gnomedesktop-4.0","","","","","","",""
"gir1.2-gnomerr-4.0","","","","","","",""
"gir1.2-goa-1.0","","","","","","",""
"gir1.2-goa-1.0-dev","","","","","","",""
"gir1.2-gobject-2.0","","","","","","",""
"gir1.2-gobject-2.0-dev","","","","","","",""
"gir1.2-gom-1.0","","","","","","",""
"gir1.2-graphene-1.0","","","","","","",""
"gir1.2-graphene-1.0-dev","","","","","","",""
"gir1.2-grilo-0.3","","","","","","",""
"gir1.2-gsf-1","","","","","","",""
"gir1.2-gsk-4.0-dev","","","","","","",""
"gir1.2-gsound-1.0","","","","","","",""
"gir1.2-gspell-1","","","","","","",""
"gir1.2-gssdp-1.6","","","","","","",""
"gir1.2-gssdp-1.6-dev","","","","","","",""
"gir1.2-gst-1.0-dev","","","","","","",""
"gir1.2-gst-plugins-bad-1.0","","","","","","",""
"gir1.2-gst-plugins-base-1.0","","","","","","",""
"gir1.2-gstbase-1.0-dev","","","","","","",""
"gir1.2-gstreamer-1.0","","","","","","",""
"gir1.2-gtk-2.0","","","","","","",""
"gir1.2-gtk-3.0","","","","","","",""
"gir1.2-gtk-3.0-dev","","","","","","",""
"gir1.2-gtk-4.0","","","","","","",""
"gir1.2-gtk-4.0-dev","","","","","","",""
"gir1.2-gtk-vnc-2.0","","","","","","",""
"gir1.2-gtkchamplain-0.12","","","","","","",""
"gir1.2-gtklayershell-0.1","","","","","","",""
"gir1.2-gtksource-3.0","","","","","","",""
"gir1.2-gtksource-300","","","","","","",""
"gir1.2-gtksource-300-dev","","","","","","",""
"gir1.2-gtksource-4","","","","","","",""
"gir1.2-gtksource-5","","","","","","",""
"gir1.2-gtkspell3-3.0","","","","","","",""
"gir1.2-gtop-2.0","","","","","","",""
"gir1.2-gudev-1.0","","","","","","",""
"gir1.2-gupnp-1.6","","","","","","",""
"gir1.2-gupnp-av-1.0","","","","","","",""
"gir1.2-gupnpdlna-2.0","","","","","","",""
"gir1.2-gupnpigd-1.6","","","","","","",""
"gir1.2-gusb-1.0","","","","","","",""
"gir1.2-gweather-4.0","","","","","","",""
"gir1.2-gxps-0.1","","","","","","",""
"gir1.2-handy-1","","","","","","",""
"gir1.2-harfbuzz-0.0","","","","","","",""
"gir1.2-ical-3.0","","","","","","",""
