"package","dependency","type"
"nemo","gir1.2-nemo-3.0","declared"
"nemo","glib2.0","declared"
"nemo","glibc","declared"
"nemo","gtk+3.0","declared"
"nemo","pango1.0","declared"
"hwloc","glibc","declared"
"hwloc","level-zero","declared"
"hwloc","libpciaccess","declared"
"hwloc","libtool","declared"
"hwloc","libx11","declared"
"hwloc","libxml2","declared"
"hwloc","libxnvctrl","declared"
"hwloc","numactl","declared"
"hwloc","ocl-icd","declared"
"hwloc","systemd","declared"
"source-highlight","boost-defaults","declared"
"source-highlight","gcc-14","declared"
"source-highlight","glibc","declared"
"icu","gcc-14","declared"
"icu","glibc","declared"
"babeltrace","elfutils","declared"
"babeltrace","glib2.0","declared"
"babeltrace","glibc","declared"
"babeltrace","python3-defaults","declared"
"babeltrace","util-linux","declared"
"libmcrypt","glibc","declared"
"xfce4-xkb-plugin","cairo","declared"
"xfce4-xkb-plugin","garcon","declared"
"xfce4-xkb-plugin","gdk-pixbuf","declared"
"xfce4-xkb-plugin","glib2.0","declared"
"xfce4-xkb-plugin","glibc","declared"
"xfce4-xkb-plugin","gtk+3.0","declared"
"xfce4-xkb-plugin","libnotify","declared"
"xfce4-xkb-plugin","librsvg","declared"
"xfce4-xkb-plugin","libwnck3","declared"
"xfce4-xkb-plugin","libx11","declared"
"xfce4-xkb-plugin","libxfce4ui","declared"
"xfce4-xkb-plugin","libxfce4util","declared"
"xfce4-xkb-plugin","libxklavier","declared"
"xfce4-xkb-plugin","pango1.0","declared"
"xfce4-xkb-plugin","xfce4-panel","declared"
"xfce4-xkb-plugin","xfconf","declared"
"netcat-openbsd","glibc","declared"
"netcat-openbsd","libbsd","declared"
"libiec61883","glibc","declared"
"libiec61883","libraw1394","declared"
"cjson","glibc","declared"
"kdbusaddons","gcc-14","declared"
"kdbusaddons","glibc","declared"
"kdbusaddons","qtbase-opensource-src","declared"
"kdbusaddons","qtx11extras-opensource-src","declared"
"libraw","gcc-14","declared"
"libraw","glibc","declared"
"libraw","lcms2","declared"
"libraw","libjpeg-turbo","declared"
"modemmanager-qt","gcc-14","declared"
