"package","github_repo","git","eco_guess","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class"
"dconf","","","","139116","126695","120131","134583","146283","167890","True","True","False","0.00065648","B"
"lz4","lz4/lz4","https://github.com/lz4/lz4.git","","212800","179360","184604","204981","231816","263243","True","True","True","0.00065592","B"
"tiff","","","","72450","12170","12990","42342","127248","167501","True","True","False","0.00064847","B"
"tar","","","","230127","207368","204736","222319","243429","272786","True","True","False","0.00064735","B"
"libraw1394","","","","124201","111741","105666","120026","131485","152090","True","True","False","0.00064680","B"
"nghttp2","","","","210664","177164","182435","202755","229727","261243","True","True","False","0.00064671","B"
"base-passwd","","","","230115","207349","204726","222300","243422","272778","True","True","False","0.00064544","B"
"fribidi","","","","165046","146279","143740","159646","176459","199109","True","True","False","0.00064427","B"
"nspr","","","","152824","139954","134868","149473","159728","180100","True","True","False","0.00064346","B"
"shared-mime-info","","","","0","0","0","0","0","0","False","False","False","0.00063992","B"
"pciutils","","","","228559","205908","203063","220726","241903","271198","True","True","False","0.00063178","B"
"pulseaudio","","","","134016","123225","115817","129807","140433","160799","True","True","False","0.00062731","B"
"sysvinit","slicer69/sysvinit","https://github.com/slicer69/sysvinit.git","","230102","207333","204712","222288","243413","272767","True","True","False","0.00062610","B"
"libpsl","rockdaboot/libpsl","https://github.com/rockdaboot/libpsl.git","","192261","178009","183477","203836","219918","176069","True","True","True","0.00062301","B"
"lmdb","","","","187935","142717","157596","181251","212804","245310","True","True","False","0.00062057","B"
"newt","","https://pagure.io/newt","","229580","206914","204201","221771","242881","272135","True","True","False","0.00061836","B"
"texinfo","","","","40953","55831","44376","40840","33070","30651","True","True","False","0.00061812","B"
"gstreamer1.0","","","","136124","120426","116587","131970","145619","166018","True","True","False","0.00061617","B"
"libxrandr","","","","157731","149824","140039","153083","162568","183142","True","True","False","0.00061424","B"
"libedit","","","","230020","207200","204623","222226","243374","272681","True","True","False","0.00061182","B"
"json-c","json-c/json-c","https://github.com/json-c/json-c.git","","150500","58863","112989","145687","197909","237056","True","True","True","0.00061011","B"
"gnupg2","","","","228528","207352","204724","222307","243431","264829","True","True","False","0.00060764","B"
"libsemanage","","","","227595","203435","201840","219784","241624","271294","True","True","False","0.00060712","B"
"apt","","","","230119","207345","204725","222305","243427","272795","True","True","False","0.00060605","B"
"khronos-opencl-headers","","","","3728","3711","3341","3477","3793","4322","False","True","False","0.00060552","B"
"khronos-opencl-clhpp","KhronosGroup/OpenCL-CLHPP","https://github.com/khronosgroup/opencl-clhpp.git","","3442","3040","3020","3235","3673","4246","False","True","False","0.00060543","B"
"json-glib","","","","131588","120065","115434","129679","136983","155783","True","True","False","0.00060399","B"
"libnftnl","","https://git.netfilter.org/libnftnl","","193733","144721","162127","186569","220729","254523","True","True","False","0.00060235","B"
"libpython3-stdlib","","","","0","0","0","0","0","0","False","False","False","0.00060211","B"
"python3.13-minimal","","","","0","0","0","0","0","0","False","False","False","0.00060211","B"
"qtdeclarative-opensource-src","","","","67395","55086","52150","61352","77162","91229","True","True","False","0.00059714","B"
"openssh","","","","229442","206807","204180","221684","242746","271797","True","True","False","0.00059661","B"
"groff","","","","220542","199883","196111","213095","232663","260959","True","True","False","0.00059435","B"
"discover-data","","","","208875","197379","194746","212371","232463","207417","True","True","False","0.00059366","B"
"libxaw","","","","138437","128968","120644","134321","143914","164338","True","True","False","0.00059195","B"
"libpipeline","","","","218719","197815","194188","211292","231037","259267","True","True","False","0.00058992","B"
"rtmpdump","","","","220113","193765","194220","212854","236127","263599","True","True","False","0.00058761","B"
"dbus-python","","","","142986","126698","123518","138433","152286","173999","True","True","False","0.00058427","B"
"libssh2","","","","206863","202317","200555","218357","229314","183772","True","True","False","0.00058335","B"
"gpm","","","","198964","181151","174692","190274","211451","237254","True","True","False","0.00058228","B"
"nss","","","","152599","139739","134673","149258","159428","179901","True","True","False","0.00057756","B"
"kbd","","","","223811","200857","198482","216114","237153","266452","True","True","False","0.00057650","B"
"iptables","","","","216656","200745","183896","204368","231400","262873","True","True","False","0.00057638","B"
"avahi","","","","180663","169546","162036","175897","187306","208531","True","True","False","0.00057127","B"
"policykit-1","polkit-org/polkit","https://github.com/polkit-org/polkit.git","","145186","131522","125500","140331","153827","174751","True","True","False","0.00056882","B"
"libnetfilter-conntrack","","","","191619","180043","170232","184841","199285","223695","True","True","False","0.00056646","B"
"cpio","","","","229930","207189","204578","222116","243233","272534","True","True","False","0.00056257","B"
"console-setup","","","","224099","201170","198664","216266","237559","266837","True","True","False","0.00056211","B"
"iputils","iputils/iputils","https://github.com/iputils/iputils.git","","229537","206796","204198","221830","242694","272169","True","True","False","0.00056162","B"
"xorg-server","","","","110987","101830","93926","107482","116401","135300","True","True","False","0.00056156","B"
"net-tools","","","","121147","124557","119985","119945","119939","121310","True","True","False","0.00056073","B"
"logrotate","logrotate/logrotate","https://github.com/logrotate/logrotate.git","","229888","207192","204515","222103","243174","272456","True","True","False","0.00055963","C"
"linux-base","","","","228622","205360","203122","220832","242205","271593","True","True","False","0.00055939","C"
"coreutils","","","","230128","207367","204742","222317","243427","272788","True","True","False","0.00055906","C"
"sed","","","","230119","207363","204737","222308","243417","272773","True","True","False","0.00055904","C"
"findutils","","","","230114","207353","204726","222304","243419","272770","True","True","False","0.00055903","C"
"hostname","","","","230111","207350","204725","222301","243416","272767","True","True","False","0.00055902","C"
"grep","","","","230112","207355","204725","222297","243416","272767","True","True","False","0.00055902","C"
"gzip","","","","230111","207353","204723","222300","243415","272767","True","True","False","0.00055902","C"
"bash","","","","230075","207302","204685","222274","243389","272726","True","True","False","0.00055893","C"
"mawk","","","","229643","206948","204317","221789","242923","272239","True","True","False","0.00055788","C"
"dash","","","","229387","206218","203898","221584","242909","272330","True","True","False","0.00055726","C"
"diffutils","","","","229327","206128","203826","221529","242862","272291","True","True","False","0.00055711","C"
"klibc","","https://git.kernel.org/cgit/libs/klibc/klibc.git","","229162","206343","203853","221436","242500","271682","True","True","False","0.00055671","C"
"libxslt","","https://gitlab.gnome.org/gnome/libxslt.git","","175873","160688","157250","172578","184514","204336","True","True","False","0.00055670","C"
"vim","","","","228765","206063","203415","220980","242173","271197","True","True","False","0.00055575","C"
"less","","","","228662","205176","203103","220835","242327","271873","True","True","False","0.00055550","C"
"pixman","","","","169887","160322","150914","164535","176410","197257","True","True","False","0.00055464","C"
"grub2","","","","227233","204555","201630","219427","240685","269870","True","True","False","0.00055203","C"
"man-db","","","","217497","197464","193349","210215","229300","257159","True","True","False","0.00055128","C"
"wget","","","","226288","204554","201512","218361","239120","267897","True","True","False","0.00054973","C"
"ifupdown","","","","225715","205118","201596","218586","237587","265692","True","True","False","0.00054834","C"
"nano","","","","225439","202760","200002","217691","238726","268017","True","True","False","0.00054767","C"
"libxpm","","","","178004","160524","157988","173842","188216","209452","True","True","False","0.00054467","C"
"libdatrie","","","","165991","155389","146942","160732","173076","193817","True","True","False","0.00054245","C"
"xauth","","","","221023","197626","194856","212822","235092","264723","True","True","False","0.00053868","C"
"liblockfile","miquels/liblockfile","https://github.com/miquels/liblockfile.git","","210447","187357","184817","202048","224247","253770","True","True","False","0.00053679","C"
"lsof","lsof-org/lsof","https://github.com/lsof-org/lsof.git","","217759","196227","192959","210070","230500","259042","True","True","False","0.00053546","C"
"libxinerama","","","","156864","149833","139891","152751","160726","181123","True","True","False","0.00052899","C"
"bind9","","","","217032","196589","193242","209682","228966","256683","True","True","False","0.00052725","C"
"isc-dhcp","","","","214832","203575","200996","218417","238146","213030","True","True","False","0.00052589","C"
"uchardet","","","","185869","139934","155436","179031","211207","243739","True","True","False","0.00052372","C"
"libsamplerate","","","","129809","117737","111244","125680","136970","157418","True","True","False","0.00052125","C"
"libestr","","","","163557","194313","192942","185510","130855","114169","True","True","False","0.00052057","C"
"libxtst","","","","148777","141258","131669","144460","152531","173970","True","True","False","0.00052053","C"
"jbigkit","","","","189333","171669","168523","184492","199952","222030","True","True","False","0.00051968","C"
"argon2","P-H-C/phc-winner-argon2","https://github.com/p-h-c/phc-winner-argon2.git","","191973","147477","163888","187971","221054","239476","True","True","False","0.00051824","C"
"traceroute","","","","212243","192746","188134","204446","224007","251882","True","True","False","0.00051561","C"
"protobuf-c","protobuf-c/protobuf-c","https://github.com/protobuf-c/protobuf-c.git","","190335","148576","160754","183213","213456","245678","True","True","True","0.00051516","C"
"libvorbis","","","","140320","130186","122323","136130","146324","166639","True","True","False","0.00051393","C"
"libxkbcommon","","","","134555","120578","115334","130120","142142","164602","True","True","False","0.00051371","C"
"psmisc","","","","180663","172031","164277","176101","185436","205471","True","True","False","0.00051045","C"
"discover","","","","208818","197324","194682","212322","232412","207350","True","True","False","0.00050729","C"
"netcat","","","","208311","190170","184673","200870","219366","246476","True","True","False","0.00050606","C"
"fuse","libfuse/libfuse","https://github.com/libfuse/libfuse.git","","208234","203082","201196","218996","230608","187289","True","True","True","0.00050587","C"
"numactl","numactl/numactl","https://github.com/numactl/numactl.git","","168649","142280","135846","153429","190058","221634","True","True","True","0.00050577","C"
"cryptsetup","","https://gitlab.com/cryptsetup/cryptsetup.git","","191360","144930","162147","186570","220585","242570","True","True","False","0.00050137","C"
"gst-plugins-base1.0","","","","120212","107549","102024","116439","127493","147556","True","True","False","0.00049929","C"
"lzo2","","","","137979","119986","117151","131336","148307","173119","True","True","False","0.00049917","C"
"libxcursor","","","","154746","145910","136574","149759","160262","181226","True","True","False","0.00049869","C"
"patch","","","","162752","148199","145074","154542","172556","193391","True","True","False","0.00049817","C"
"libfastjson","rsyslog/libfastjson","https://github.com/rsyslog/libfastjson.git","","153078","177061","180718","174986","124040","108586","True","True","False","0.00049511","C"
"ghostscript","","","","132195","113861","116454","130466","140675","159520","True","True","False","0.00049479","C"
"xft","","","","142936","133952","124592","138046","148622","169468","True","True","False","0.00049348","C"
"libthai","","","","166331","155910","147334","161066","173329","194019","True","True","False","0.00049107","C"
"libcurl3-gnutls","","","","202088","197660","195588","213388","224499","179308","True","True","False","0.00049094","C"
