repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
1g4-mirror/libunistring,gh/1165671691,13515,11218,965,8.6,113,2.46,39,140,3.04,25,2025,67.97,72.09,57.93,60.04,63.88
7rulnik/source-map-js,gh/330043541,7956,5709,504,8.83,593,1.5,38,818,2.07,29,2024,62.68,62.9,57.51,64.27,63.47
acornjs/acorn,gh/5932749,202344,136537,13508,9.89,13697,2.28,148,16541,2.76,77,2025,92.71,91.86,82.56,82.98,87.71
acornjs/acorn-jsx,gh/22187098,5683,5497,176,3.2,227,4.73,52,196,4.08,20,2022,58.46,51.48,64.06,52.11,55.19
agronholm/anyio,gh/145337588,25385,18814,2325,12.36,2030,0.99,43,3382,1.69,21,2025,76.96,80.44,60.25,54.02,64.48
agronholm/exceptiongroup,gh/447694800,3207,2499,523,20.93,555,3.12,73,508,2.99,36,2025,51.9,63.42,70.51,68.6,59.67
ai/nanoid,gh/99401299,857,663,82,12.37,49,0.65,9,116,1.55,7,2025,35.94,41.65,28.54,26.11,30.63
aio-libs-abandoned/async-timeout,gh/67703198,690,531,81,15.25,27,0.4,4,89,1.31,5,2025,33.09,41.44,16.7,18.6,24.81
aio-libs/aiobotocore,gh/36618494,20475,16115,1402,8.7,1260,1.27,32,1945,1.97,20,2025,74.21,75.69,53.59,52.11,62.19
aio-libs/aiohttp,gh/13258039,87972,66837,5530,8.27,5391,0.89,161,9816,1.62,92,2025,86.05,86.36,83.93,85.62,85.83
aio-libs/aiosignal,gh/205007356,653,329,32,9.73,18,0.69,13,37,1.42,8,2025,32.03,30.13,35.94,29.7,30.84
aio-libs/frozenlist,gh/204197530,1646,1062,85,8.00,31,0.28,5,126,1.38,5,2025,43.76,41.86,19.03,18.6,28.53
aio-libs/multidict,gh/51206425,16654,13446,2267,16.86,2300,2.31,59,2464,2.55,29,2025,71.46,80.02,66.81,64.27,67.77
aio-libs/propcache,gh/866565706,2076,1280,104,8.12,50,0.42,5,164,1.44,5,2025,47.46,44.29,19.03,18.6,29.71
aio-libs/yarl,gh/64756820,10405,7711,673,8.73,909,0.92,59,1558,1.59,38,2025,65.75,67.44,66.81,69.77,67.73
ajv-validator/ajv,gh/35914020,26567,23033,1934,8.4,1816,0.87,133,3529,1.69,65,2024,77.06,78.96,80.76,80.13,78.58
ajv-validator/ajv-formats,gh/281084700,674,606,19,3.14,20,0.53,6,56,1.47,7,2024,32.45,23.57,22.41,26.11,29.11
ajv-validator/ajv-keywords,gh/60477053,1976,1703,109,6.4,114,0.6,31,278,1.47,18,2022,46.19,44.82,52.75,50.0,48.06
alexei/sprintf.js,gh/9175790,542,495,0,0,8,0.17,7,51,1.09,4,2023,29.7,3.81,25.16,14.9,21.04
alexeyraspopov/picocolors,gh/410740124,752,663,12,1.81,6,0.09,2,73,1.07,2,2024,33.72,19.45,8.99,6.34,14.62
alexhuszagh/rust-lexical,gh/155286170,75422,48641,3693,7.59,3261,1.35,110,4674,1.94,61,2025,85.1,83.72,78.54,78.96,81.97
alexindigo/asynckit,gh/59087459,4944,3704,137,3.70,233,0.43,10,739,1.37,7,2025,56.87,48.31,30.13,26.11,38.53
amanieu/parking_lot,gh/58731560,15269,10138,1196,11.8,1046,1.4,30,1550,2.07,17,2025,70.08,74.42,51.9,48.84,58.50
andialbrecht/sqlparse,gh/4067434,7927,5954,533,8.95,751,1.43,50,1067,2.03,28,2025,62.47,63.74,63.53,63.32,62.89
andrewrk/node-pend,gh/11836813,192,178,11,6.18,10,0.29,5,43,1.23,6,2014,17.55,18.6,19.03,22.52,19.88
andyperlitch/jsbn,gh/9710533,1841,1529,441,28.84,370,3.16,37,401,3.43,25,2020,45.24,61.21,56.98,60.04,52.12
angular/angular-cli,gh/36891867,390196,334608,51480,15.39,11993,1.15,107,19496,1.87,69,2025,95.03,96.83,77.7,81.18,87.83
annotated-types/annotated-types,gh/487934134,751,564,29,5.14,29,0.76,6,65,1.71,6,2025,33.62,28.44,22.41,22.52,27.52
antonk52/lilconfig,gh/238967485,2611,2042,72,3.53,201,1.06,83,278,1.46,29,2025,49.58,40.17,72.94,64.27,56.45
apache/airflow,gh/33884891,1286426,933176,57892,6.2,53224,1.2,484,84335,1.92,98,2025,98.41,97.04,94.19,86.58,92.31
apache/arrow,gh/51905353,1181129,850760,66085,7.77,65175,1.19,387,105384,1.93,181,2025,98.1,97.78,93.23,92.07,95.04
apache/arrow-rs,gh/358917250,405336,299628,16049,5.36,26626,1.75,355,32876,2.16,138,2025,95.35,92.81,92.6,89.75,92.51
ardatan/graphql-tools,gh/54432168,61108,53446,3660,6.85,3628,1.03,213,5937,1.69,87,2025,83.62,83.62,87.1,84.99,84.30
ardatan/whatwg-node,gh/429511342,13599,12233,1495,12.22,1286,0.94,47,2381,1.75,30,2025,68.39,76.32,61.95,65.22,66.79
assert-rs/snapbox,gh/424722460,12374,9986,847,8.48,1269,2.1,59,1367,2.27,31,2025,67.55,70.61,66.81,66.07,66.81
astanin/python-tabulate,gh/205875548,8482,7196,473,6.57,595,1.47,86,881,2.18,74,2025,63.42,62.16,73.36,82.56,72.36
astral-sh/ruff,gh/523043277,842386,613615,55374,9.02,52683,1.17,1599,59953,2.22,485,2025,97.36,96.93,98.2,97.04,97.20
auth0/node-jwa,gh/8116861,930,766,38,4.96,33,0.34,7,130,1.34,8,2025,37.42,32.88,25.16,29.7,33.34
autotools-mirror/autoconf,gh/47662429,4159,2598,398,15.32,210,2.69,15,284,3.74,16,2025,54.76,60.36,38.9,46.3,50.35
autotools-mirror/gettext,gh/47662595,551411,429329,74950,17.46,96991,14.74,3496,67660,10.28,669,2025,96.41,98.1,98.94,97.57,96.99
autotools-mirror/libtool,gh/47662711,6882,4314,807,18.71,973,6.4,106,797,5.24,59,2025,61.21,69.56,77.48,78.33,69.24
autotools-mirror/m4,gh/66880383,8683,6048,1244,20.57,1234,7.35,77,1242,7.39,65,2025,63.74,74.84,71.46,80.13,71.47
aws/aws-cli,gh/6780767,109804,83115,4193,5.04,4572,0.68,69,10256,1.52,55,2025,88.05,84.04,70.08,77.27,82.48
aws/aws-sdk-js-crypto-helpers,gh/149673986,2793,2322,94,4.05,116,0.48,21,320,1.32,6,2025,50.11,42.92,45.14,22.52,33.59
aws/aws-sdk-js-v3,gh/87228090,7263086,3263406,41782,1.28,89331,0.82,157,163244,1.46,188,2025,99.47,96.3,83.4,92.71,96.03
axios/axios,gh/23088740,18873,14353,1030,7.18,1485,0.72,101,3274,1.59,78,2025,73.15,73.15,76.43,83.4,78.11
azure/azure-sdk-for-js,gh/108311273,6986797,4999903,149057,2.98,180231,0.91,201,357480,1.81,116,2025,99.37,98.84,86.58,88.16,93.60
azure/azure-sdk-for-python,gh/4127088,12442793,9780108,601121,6.15,178315,2.66,399,979462,2.94,175,2025,99.68,99.68,93.45,91.86,95.69
azure/msrest-for-python,gh/71186468,14957,9575,843,8.8,235,0.53,21,1351,1.92,29,2022,69.87,70.4,45.14,64.27,67.01
azuread/microsoft-authentication-library-for-python,gh/67243113,13559,10437,1141,10.93,1117,1.81,50,1645,2.53,31,2025,68.18,74.0,63.53,66.07,67.12
babel/babel,gh/24560307,331758,282678,29209,10.33,22471,0.75,261,49814,1.61,188,2025,94.4,95.35,89.32,92.71,93.55
babel/babel-polyfills,gh/190579283,56060,51550,1151,2.23,615,0.28,69,5527,1.93,328,2025,83.4,74.1,70.08,96.19,89.57
bdwgc/bdwgc,gh/2109456,64814,44395,10415,23.46,6986,5.27,321,7080,5.34,213,2025,84.14,90.8,91.75,93.66,88.77
beatgammit/base64-js,gh/2853282,344,286,30,10.49,66,1.78,11,88,2.38,7,2024,24.1,28.86,31.61,26.11,25.08
benjaminp/six,gh/77868600,2332,1763,134,7.6,190,1.02,31,310,1.66,17,2025,48.84,47.89,52.75,48.84,48.84
besser82/libxcrypt,gh/35503965,30028,22649,2093,9.24,2073,5,100,1995,4.82,73,2025,78.01,79.81,76.11,82.24,80.10
bincode-org/bincode,gh/24130045,0,0,0,0,0,0,0,0,0,0,2025,0.21,3.81,3.07,0.53,1.00
bitflags/bitflags,gh/29287955,7246,4923,172,3.49,156,0.48,18,464,1.41,11,2025,61.84,51.16,42.39,37.84,48.37
blakeembrey/array-flatten,gh/17789771,443,363,34,9.37,40,1.29,5,53,1.71,4,2023,26.85,31.08,19.03,14.9,20.00
blakeembrey/change-case,gh/9440238,1224,1069,72,6.74,114,2.15,51,127,2.4,24,2025,39.96,40.17,63.85,59.09,48.59
bluss/bencher,gh/65987276,1697,1327,99,7.46,76,1.03,12,148,2,11,2018,44.29,43.23,33.72,37.84,40.94
boto/boto3,gh/24774658,21266,16213,539,3.32,713,0.62,34,1685,1.47,12,2025,74.63,63.95,55.29,39.85,54.53
boto/botocore,gh/6670942,105655,83190,4865,5.85,5373,0.81,31,10805,1.63,22,2025,87.74,85.31,52.75,56.45,70.38
boto/s3transfer,gh/49535299,21999,16075,951,5.92,814,0.5,17,2273,1.4,10,2025,75.16,71.78,41.01,35.41,51.59
brianc/node-postgres,gh/991475,19763,16568,1022,6.17,1040,0.42,41,3440,1.37,48,2025,74.1,73.04,59.3,74.84,74.47
broofa/mime,gh/534940,1879,1699,59,3.47,90,2.37,37,91,2.39,14,2025,45.77,37.63,56.98,43.66,44.70
broofa/node-int64,gh/1208666,388,215,37,17.21,40,2,14,50,2.5,9,2019,25.48,32.45,37.42,32.98,28.99
browserify/events,gh/1649251,2287,1554,161,10.36,151,0.95,23,277,1.74,17,2021,48.41,50.32,47.36,48.84,48.62
browserify/node-util,gh/14568009,3200,2506,203,8.1,229,0.57,37,590,1.46,31,2022,51.8,53.7,56.98,66.07,58.50
browserify/randombytes,gh/29300004,132,97,16,16.49,14,0.7,8,31,1.55,6,2023,13.11,22.41,26.85,22.52,17.18
browserify/resolve,gh/1915099,3831,3185,383,12.03,418,1,32,782,1.86,22,2025,54.02,59.73,53.59,56.45,55.22
browserslist/browserslist,gh/27971466,5524,4834,371,7.67,482,0.91,151,858,1.63,83,2025,58.25,59.3,82.88,84.25,70.05
browserslist/caniuse-lite,gh/80221890,2011,1801,102,5.66,99,0.92,27,188,1.74,22,2025,46.72,43.97,49.79,56.45,51.36
browserslist/update-db,gh/505548145,819,712,64,8.99,60,0.98,16,106,1.74,12,2025,34.99,38.37,39.64,39.85,37.34
burntsushi/aho-corasick,gh/37290678,22230,12432,1012,8.14,1367,1.58,67,1744,2.01,32,2025,75.37,72.83,69.66,66.7,70.90
burntsushi/jiff,gh/759017108,123974,68907,4574,6.64,5525,1.41,108,8233,2.11,41,2025,89.32,84.67,77.91,71.14,79.71
burntsushi/memchr,gh/37290652,69297,43812,3569,8.15,3412,1.11,158,5611,1.83,136,2025,84.46,83.4,83.51,89.64,87.01
burntsushi/quickcheck,gh/17559913,2855,2397,164,6.84,80,0.53,6,232,1.55,6,2025,50.53,50.42,22.41,22.52,33.73
burntsushi/same-file,gh/78375612,950,466,35,7.51,25,0.36,7,96,1.37,5,2025,37.63,31.61,25.16,18.6,26.46
burntsushi/termcolor,gh/141345580,2856,1982,194,9.79,186,0.83,36,378,1.68,17,2024,50.63,52.85,56.03,48.84,49.73
burntsushi/ucd-generate,gh/123997498,62256,60099,732,1.22,1190,2.8,62,1303,3.07,31,2024,83.72,68.6,67.97,66.07,74.37
burntsushi/walkdir,gh/42685794,3528,2174,137,6.3,198,1.26,20,302,1.92,15,2024,53.17,48.31,44.61,45.03,48.93
burntsushi/winapi-util,gh/146040682,1015,582,56,9.62,26,0.34,3,101,1.31,4,2025,38.37,36.68,13.0,14.9,23.91
businho/pytest-ruff,gh/599731435,379,281,34,12.10,25,0.83,3,53,1.83,4,2025,25.16,31.08,13.0,14.9,19.36
bytecodealliance/rustix,gh/295544240,87336,61352,2485,4.05,2691,0.8,171,5292,1.58,74,2025,85.94,81.08,84.88,82.56,84.23
bytecodealliance/wasi-rs,gh/196445196,41551,36448,1238,3.40,387,0.26,13,2452,1.66,28,2025,80.76,74.74,35.94,63.32,71.51
c-ares/c-ares,gh/571708,65368,44762,8526,19.05,7366,4.14,100,7808,4.38,65,2025,84.25,89.22,76.11,80.13,82.16
calvinmetcalf/minimalistic-assert,gh/29144257,11,9,5,55.56,4,2,2,6,3,3,2018,0.53,11.21,8.99,10.15,2.32
calvinmetcalf/process-nextick-args,gh/36039131,81,75,6,8,4,0.36,4,18,1.64,8,2019,8.67,12.79,16.7,29.7,16.05
caolan/async,gh/698041,37684,19660,1751,8.91,2203,0.54,74,5989,1.48,52,2025,79.49,77.91,70.82,76.53,78.00
certbot/certbot,gh/26516210,73975,52984,4731,8.93,5046,1.15,40,8372,1.91,24,2025,84.99,85.1,58.35,59.09,70.87
certifi/python-certifi,gh/3060959,180,110,8,7.27,2,0.25,1,10,1.25,2,2025,17.02,15.64,6.24,6.34,10.39
chaijs/type-detect,gh/12107007,1364,925,149,16.11,54,0.29,37,225,1.21,24,2021,41.12,49.26,56.98,59.09,49.29
chalk/ansi-regex,gh/20451415,527,441,23,5.22,19,0.63,4,48,1.6,4,2025,29.18,25.48,16.7,14.9,20.85
chalk/ansi-styles,gh/11803168,484,385,25,6.49,17,0.68,6,39,1.56,5,2025,28.01,26.85,22.41,18.6,22.83
chalk/chalk,gh/11855195,1265,984,108,10.98,122,1.47,47,178,2.14,38,2025,40.06,44.61,61.95,69.77,52.87
chalk/slice-ansi,gh/43191689,278,213,30,14.08,45,1.61,17,56,2,10,2025,21.56,28.86,41.01,35.41,27.63
chalk/strip-ansi,gh/15014856,36,25,1,4.00,1,0.17,1,7,1.17,2,2025,3.91,4.97,6.24,6.34,4.98
chalk/supports-color,gh/11855007,688,561,55,9.80,64,0.93,47,122,1.77,38,2025,32.98,36.26,61.95,69.77,47.97
chalk/wrap-ansi,gh/41053676,400,298,53,17.79,72,1.85,49,90,2.31,37,2025,25.9,35.84,62.9,69.24,42.35
chalker/safer-buffer,gh/125825141,541,478,81,16.95,85,0.78,15,163,1.5,8,2020,29.6,41.44,38.9,29.7,29.65
chardet/chardet,gh/5196969,296091,292582,611,0.21,948,5.1,162,797,4.28,90,2025,93.76,65.43,84.04,85.41,89.49
cheeriojs/dom-serializer,gh/18991884,650,556,0,0.00,1,0.02,1,48,1.02,2,2025,31.92,3.81,6.24,6.34,14.23
chicoxyzzy/node-releases,gh/73765596,31,26,2,7.69,2,0.33,2,8,1.33,3,2025,2.01,6.87,8.99,10.15,4.52
chronotope/chrono,gh/18210201,34490,20404,1471,7.21,1277,0.94,46,2622,1.92,46,2025,78.86,76.11,61.31,73.89,76.33
chronotope/humantime,gh/59320323,1847,1467,152,10.36,27,0.63,10,70,1.63,9,2025,45.56,49.47,30.13,32.98,38.76
clap-rs/clap,gh/31315121,82196,60212,3179,5.28,3646,1.25,221,5240,1.8,81,2025,85.62,82.66,87.53,84.04,84.83
cloudflare/cloudflare-python,gh/753271547,975077,691587,31498,4.55,7491,0.23,57,43577,1.22,39,2025,97.67,95.45,65.96,70.3,82.86
colinhacks/zod,gh/245704608,70510,57552,4150,7.21,4570,0.78,332,9192,1.57,148,2025,84.67,83.93,92.07,90.06,87.32
colorjs/color-name,gh/27038309,177,172,1,0.58,0,0,0,0,0,0,2025,16.7,4.97,3.07,0.53,2.98
comex/rust-shlex,gh/37886228,1537,1132,136,12.01,112,2.07,17,130,2.41,11,2024,42.92,47.99,41.01,37.84,40.30
component/escape-html,gh/5444800,323,259,2,0.77,0,0,0,68,1,1,2019,23.26,6.87,3.07,3.17,8.59
component/toidentifier,gh/114743189,116,73,6,8.22,2,0.2,1,12,1.2,2,2021,11.31,12.79,6.24,6.34,8.47
composefs/tar-rs,gh/21946092,7950,5710,576,10.09,668,1.82,102,794,2.16,50,2025,62.58,64.59,76.64,75.79,68.87
conventional-changelog/commitlint,gh/51575745,19287,16352,783,4.79,807,0.49,25,2402,1.47,21,2025,73.57,69.24,48.1,54.02,63.04
conventional-changelog/conventional-changelog,gh/15639771,21305,18102,829,4.58,728,0.77,39,1525,1.62,27,2025,74.74,70.19,57.93,62.47,68.33
cosmiconfig/cosmiconfig,gh/45750507,7426,6146,165,2.68,203,0.26,19,931,1.19,13,2023,61.95,50.63,43.76,42.18,51.12
coveragepy/coveragepy,gh/138421996,51465,39244,2940,7.49,4088,1.64,119,5252,2.12,44,2025,82.98,82.03,79.6,72.52,77.57
cpburnz/python-pathspec,gh/14648551,15379,10047,718,7.15,872,1.23,94,1261,1.78,38,2025,70.3,68.39,74.84,69.77,70.03
cpython-team/python3-defaults,gl/debian-27547,1441,1178,236,20.03,366,6.1,28,356,5.93,21,2025,41.97,54.86,50.32,54.02,47.62
crate-py/rpds,gh/608018848,3164,2454,230,9.37,515,1.73,26,638,2.4,22,2025,51.59,54.65,48.84,56.45,53.97
criterion-rs/criterion.rs,gh/1081104682,16708,12717,906,7.12,844,1.29,20,1410,2.15,17,2025,71.67,71.04,44.61,48.84,59.16
crossbeam-rs/crossbeam,gh/35566048,44558,29842,3445,11.54,4859,2.59,83,4412,2.36,29,2025,81.61,82.88,72.94,64.27,72.42
css-modules/icss-utils,gh/42766912,663,589,25,4.24,15,0.28,6,67,1.26,7,2021,32.24,26.85,22.41,26.11,29.01
cssnano/cssnano,gh/33943153,26873,21635,1157,5.35,1559,1.54,93,2372,2.34,26,2025,77.27,74.31,74.52,60.89,68.59
csstools/postcss-plugins,gh/219192307,93022,76635,8097,10.57,19754,3.02,407,22470,3.43,322,2025,86.58,89.01,93.55,95.98,91.16
csstree/csstree,gh/67236461,19432,15350,1711,11.15,2548,1.87,178,3342,2.45,81,2025,73.89,77.59,85.2,84.04,78.80
curl/curl,gh/569041,315586,220690,41225,18.68,48759,8.14,610,40143,6.72,248,2025,94.19,96.19,95.77,94.71,94.45
cuviper/autocfg,gh/135481335,1425,889,75,8.44,61,0.73,8,138,1.64,7,2025,41.75,40.49,26.85,26.11,33.02
cyan4973/xxhash,gh/19330466,63689,55764,1695,3.04,1364,2.9,88,1427,3.02,62,2025,83.93,77.48,73.68,79.18,81.52
daaku/nodejs-makeerror,gh/2097803,248,188,18,9.57,20,0.95,15,38,1.81,13,2021,20.82,22.83,38.9,42.18,29.63
daaku/nodejs-tmpl,gh/2171213,25,23,0,0,0,0,0,2,1,1,2021,1.27,3.81,3.07,3.17,2.01
dateutil/dateutil,gh/26876372,18978,14234,1504,10.57,2258,1.56,205,2795,1.94,96,2025,73.26,76.43,86.79,86.36,79.54
davidhalter/parso,gh/90668463,16709,12437,1788,14.38,2560,2.78,180,2418,2.59,75,2025,71.78,78.12,85.31,82.77,77.08
davisjam/safe-regex,gh/90781457,524,368,19,5.16,33,0.89,10,64,1.73,11,2020,29.07,23.57,30.13,37.84,33.17
dchest/tweetnacl-js,gh/15649752,23914,23058,601,2.61,975,1.62,23,1405,2.34,16,2025,76.64,65.01,47.36,46.3,59.57
dcodeio/long.js,gh/8678904,3715,2638,200,7.58,243,1.93,45,319,2.53,30,2025,53.59,53.38,60.78,65.22,59.12
debian/ca-certificates,gl/debian-2995,225,118,36,30.51,0,0,0,0,0,0,2025,19.66,31.92,3.07,0.53,3.23
debian/gdbm,gl/debian-32157,40111,31968,4258,13.32,4154,5.52,146,3706,4.92,103,2025,80.23,84.36,82.03,87.21,83.65
debian/giflib,gl/debian-12522,10142,7500,1912,25.49,2389,17.7,236,1573,11.65,124,2024,65.64,78.75,87.95,88.48,76.21
debug-js/debug,gh/2871998,1074,700,81,11.57,72,0.99,13,132,1.81,9,2025,38.69,41.44,35.94,32.98,35.72
definitelytyped/definitelytyped,gh/6093316,1106290,855347,25352,2.96,19392,0.08,780,277691,1.06,47,2025,97.99,95.03,96.3,74.31,85.33
defunctzombie/node-process,gh/7580644,385,338,26,7.69,39,0.76,7,82,1.61,7,2017,25.26,27.17,25.16,26.11,25.68
django/asgiref,gh/48501860,4621,3088,222,7.19,261,0.77,22,525,1.55,15,2025,56.03,54.02,46.19,45.03,50.23
djc/rustc-version-rs,gh/41272773,880,658,38,5.78,0,0,0,46,1.39,2,2024,36.58,32.88,3.07,6.34,15.23
dmitrysoshnikov/regexp-tree,gh/85459304,13601,9706,695,7.16,968,1.05,57,1649,1.79,22,2025,68.5,67.97,65.96,56.45,62.18
docutils/docutils,gh/44840244,199012,159992,14376,8.99,12510,2.18,295,22571,2.44,171,2025,92.39,92.18,90.49,91.75,92.07
dominictarr/through,gh/4885140,415,306,19,6.21,25,0.46,5,78,1.44,4,2015,26.11,23.57,19.03,14.9,19.72
doowb/ansi-colors,gh/47135420,1042,896,42,4.69,30,0.65,7,75,1.63,8,2022,38.58,33.83,25.16,29.7,33.85
douglasdwyer/wasm_sync,gh/668034655,1638,575,68,11.83,65,1.16,20,106,1.89,6,2024,43.66,39.43,44.61,22.52,31.36
dougwilson/nodejs-depd,gh/20848667,1966,1415,71,5.02,78,0.3,16,333,1.27,16,2021,45.98,39.96,39.64,46.3,46.14
dtolnay/anyhow,gh/212936374,6234,4175,490,11.74,348,1.25,32,605,2.17,31,2025,59.83,62.37,53.59,66.07,62.87
dtolnay/automod,gh/173074854,231,132,22,16.67,22,2.75,15,27,3.38,13,2025,20.08,24.84,38.9,42.18,29.10
dtolnay/dissimilar,gh/229514821,1987,1539,230,14.94,274,4.42,66,223,3.6,27,2025,46.3,54.65,69.34,62.47,53.78
dtolnay/indoc,gh/54252316,1329,871,61,7.00,102,1.29,37,137,1.73,13,2025,40.38,37.95,56.98,42.18,41.27
dtolnay/itoa,gh/61962375,618,434,39,8.99,19,1.12,8,32,1.88,6,2025,31.29,33.09,26.85,22.52,26.55
dtolnay/no-panic,gh/143469762,907,677,54,7.98,76,1.25,13,113,1.85,11,2025,37.0,35.94,35.94,37.84,37.42
dtolnay/paste,gh/155652490,1793,1418,194,13.68,230,2.91,59,215,2.72,28,2024,44.93,52.85,66.81,63.32,53.34
dtolnay/proc-macro2,gh/91860126,7792,6090,671,11.02,428,0.93,44,844,1.83,25,2025,62.26,67.23,60.47,60.04,61.14
dtolnay/quote,gh/67273122,3613,2358,118,5,47,0.32,9,208,1.42,8,2025,53.28,45.56,28.54,29.7,39.78
dtolnay/ref-cast,gh/106295902,1153,765,69,9.02,130,3.33,56,122,3.13,21,2025,39.22,39.53,65.43,54.02,46.03
dtolnay/rustversion,gh/183990447,1474,1127,132,11.71,188,2.58,50,217,2.97,22,2025,42.39,47.57,63.53,56.45,48.92
dtolnay/ryu,gh/142720484,3997,2960,371,12.53,153,1.49,41,211,2.05,27,2025,54.44,59.3,59.3,62.47,58.32
dtolnay/semver,gh/22432442,3125,2160,334,15.46,244,1.74,25,330,2.36,15,2025,51.48,58.25,48.1,45.03,48.15
dtolnay/syn,gh/67305738,68824,58935,6880,11.67,7733,2.03,290,10255,2.7,93,2025,84.36,88.05,90.27,85.84,85.10
dtolnay/target-triple,gh/734167706,73,56,2,3.57,1,0.5,1,4,2,2,2025,7.4,6.87,6.24,6.34,6.85
dtolnay/thiserror,gh/213836768,5230,4217,463,10.98,559,2.61,99,532,2.49,46,2025,57.61,61.63,75.58,73.89,65.24
dtolnay/trybuild,gh/184941159,4318,3616,386,10.67,291,2.02,30,374,2.6,25,2025,55.07,59.94,51.9,60.04,57.50
dtolnay/unicode-ident,gh/492639579,2494,2100,58,2.76,95,2.97,29,92,2.88,19,2025,49.26,37.42,51.27,50.95,50.10
eemeli/yaml,gh/119439276,21825,19102,2624,13.74,1881,1.35,130,2877,2.07,136,2025,75.05,81.5,80.44,89.64,82.02
ehmicky/human-signals,gh/214467546,535,482,3,0.62,4,0.19,1,25,1.19,2,2025,29.39,7.93,6.24,6.34,13.65
eliben/pycparser,gh/10589864,23263,13157,1735,13.19,2939,3.22,196,2520,2.76,72,2025,76.32,77.8,86.26,81.92,79.07
emotion-js/emotion,gh/92570536,30172,25572,1348,5.27,1757,1.14,159,3390,2.08,159,2025,78.12,75.48,83.62,90.59,84.12
enarx/ciborium,gh/313759241,7450,5478,448,8.18,606,1.47,61,899,2.19,21,2025,62.05,61.31,67.44,54.02,57.90
encode/httpcore,gh/237210639,12969,10257,1079,10.52,762,1.14,18,1395,2.09,18,2025,67.86,73.47,42.39,50.0,58.25
encode/httpx,gh/179492861,17750,13656,1134,8.3,1093,0.96,49,2077,1.83,46,2025,72.52,73.78,62.9,73.89,73.20
epoberezkin/fast-deep-equal,gh/94483360,914,875,25,2.86,15,0.43,6,47,1.34,4,2020,37.21,26.85,22.41,14.9,23.55
epoberezkin/fast-json-stable-stringify,gh/108103016,235,196,23,11.73,30,0.97,23,56,1.81,19,2020,20.61,25.48,47.36,50.95,32.40
epoberezkin/json-schema-traverse,gh/93333933,389,328,24,7.32,34,1.31,30,44,1.69,15,2021,25.58,25.9,51.9,45.03,33.94
es-shims/array-includes,gh/28753032,263,209,9,4.31,15,0.42,12,49,1.36,11,2025,21.25,16.6,33.72,37.84,28.36
es-shims/dunder-proto,gh/898274312,153,104,23,22.12,5,0.33,2,19,1.27,2,2024,15.22,25.48,8.99,6.34,9.82
es-shims/es-object-atoms,gh/773229339,69,48,6,12.50,5,0.5,3,15,1.5,4,2025,6.77,12.79,13.0,14.9,10.04
es-shims/es-set-tostringtag,gh/580683868,120,93,16,17.20,16,3.2,12,20,4,13,2025,11.52,22.41,33.72,42.18,22.04
es-shims/math-intrinsics,gh/902014040,290,218,13,5.96,11,0.48,3,35,1.52,5,2024,22.2,20.08,13.0,18.6,20.32
es-shims/object.values,gh/41723335,214,173,3,1.73,4,0.13,3,33,1.1,3,2025,18.92,7.93,13.0,10.15,13.86
es-shims/regexp.prototype.flags,gh/26932422,365,304,26,8.55,26,0.68,10,63,1.66,11,2025,24.95,27.17,30.13,37.84,30.73
es-shims/string.prototype.trimend,gh/114682758,174,135,4,2.96,7,0.29,5,31,1.29,6,2024,16.49,9.94,19.03,22.52,19.27
es-shims/string.prototype.trimstart,gh/114682105,175,135,4,2.96,7,0.29,5,31,1.29,6,2024,16.6,9.94,19.03,22.52,19.33
eslint-community/eslint-utils,gh/568240379,6971,6111,378,6.19,539,2.66,148,602,2.97,85,2025,61.52,59.51,82.56,84.67,72.17
eslint/doctrine,gh/4286644,6267,5304,373,7.03,591,1.59,82,795,2.14,53,2018,60.04,59.41,72.73,76.74,67.88
eslint/eslint,gh/11061773,513641,442857,11339,2.56,15564,1.58,115,22828,2.32,63,2025,96.3,91.23,79.07,79.39,87.44
eslint/js,gh/27620277,303143,271372,9062,3.34,8641,2.75,249,9261,2.95,127,2025,93.97,89.43,89.01,88.9,91.40
eslint/rewrite,gh/791446923,27274,20342,600,2.95,844,0.69,97,1884,1.54,48,2025,77.38,64.9,75.37,74.84,76.10
estools/escodegen,gh/3611422,133461,106271,16147,15.19,17006,3.76,578,16947,3.75,170,2023,89.75,93.02,95.45,91.54,90.64
estools/esquery,gh/11412938,5795,4960,802,16.17,1319,4.24,145,886,2.85,55,2025,58.67,69.45,81.92,77.27,67.33
estools/esrecurse,gh/27429822,574,442,29,6.56,39,0.89,27,68,1.55,13,2023,30.76,28.44,49.79,42.18,36.02
estools/estraverse,gh/6145439,7969,6318,1033,16.35,1410,4.15,64,1408,4.14,51,2021,62.79,73.26,68.5,76.11,69.13
estools/esutils,gh/14677293,1323,930,160,17.2,103,3.03,29,191,5.62,37,2019,40.27,50.0,51.27,69.24,52.80
ethers-io/ethers.js,gh/63465664,175077,120473,20962,17.4,11983,1.4,161,18607,2.17,122,2025,91.75,94.19,83.93,88.37,90.04
evanw/esbuild,gh/61137153,191251,159501,19827,12.43,15089,2,284,17046,2.26,246,2025,92.07,93.97,89.53,94.61,93.33
