repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
sindresorhus/is-inside-container,gh/601943060,44,34,2,5.88,3,0.6,2,8,1.6,3,2023,4.86,6.87,8.99,10.15,7.02
sindresorhus/is-path-inside,gh/21054113,159,146,0,0.00,2,0.5,2,7,1.75,4,2025,15.64,3.81,8.99,14.9,15.27
sindresorhus/is-plain-obj,gh/38923193,121,102,9,8.82,9,0.82,5,20,1.82,7,2024,11.73,16.6,19.03,26.11,17.50
sindresorhus/is-stream,gh/29436825,233,213,29,13.62,12,0.75,4,40,2.5,9,2024,20.4,28.44,16.7,32.98,25.94
sindresorhus/is-unicode-supported,gh/348660847,49,40,10,25,3,0.75,3,14,3.5,11,2024,5.39,17.86,13.0,37.84,14.28
sindresorhus/is-wsl,gh/88415331,129,97,3,3.09,7,0.5,7,19,1.36,6,2023,12.68,7.93,25.16,22.52,16.90
sindresorhus/leven,gh/22794601,392,269,37,13.75,75,3.95,42,65,3.42,25,2025,25.69,32.45,59.83,60.04,39.27
sindresorhus/locate-path,gh/74266248,211,174,8,4.60,9,0.9,3,17,1.7,3,2025,18.71,15.64,13.0,10.15,13.78
sindresorhus/log-symbols,gh/21673868,54,47,8,17.02,8,2.67,4,11,3.67,5,2025,5.71,15.64,16.7,18.6,10.31
sindresorhus/lowercase-keys,gh/29769737,15,13,0,0,0,0,0,3,1,1,2021,0.95,3.81,3.07,3.17,1.74
sindresorhus/make-dir,gh/90776169,565,473,13,2.75,37,0.67,10,82,1.49,8,2025,30.55,20.08,30.13,29.7,30.12
sindresorhus/meow,gh/25121561,2318,2004,101,5.04,140,1.94,22,170,2.36,17,2025,48.73,43.66,46.19,48.84,48.78
sindresorhus/mimic-function,gh/71381729,312,233,16,6.87,14,0.23,6,77,1.26,7,2024,23.15,22.41,22.41,26.11,24.59
sindresorhus/mimic-response,gh/93189529,239,185,9,4.86,14,0.7,8,27,1.35,5,2023,20.72,16.6,26.85,18.6,19.63
sindresorhus/node-defaults,gh/7985040,197,147,19,12.93,17,1.21,12,29,2.07,10,2023,18.29,23.57,33.72,35.41,25.45
sindresorhus/normalize-url,gh/29094022,872,658,70,10.64,44,0.85,21,95,1.83,21,2025,36.47,39.75,45.14,54.02,44.39
sindresorhus/npm-run-path,gh/48707028,222,190,6,3.16,8,0.38,4,28,1.33,5,2024,19.56,12.79,16.7,18.6,19.07
sindresorhus/object-assign,gh/16457190,290,234,15,6.41,13,0.33,11,47,1.21,7,2023,22.2,21.78,31.61,26.11,24.08
sindresorhus/onetime,gh/14847357,87,67,7,10.45,5,0.29,2,23,1.35,4,2023,9.2,13.95,8.99,14.9,11.71
sindresorhus/open,gh/18469325,637,494,71,14.37,81,1.62,55,122,2.44,48,2025,31.5,39.96,65.22,74.84,48.55
sindresorhus/p-limit,gh/71542716,891,634,24,3.79,23,0.16,3,160,1.14,4,2025,36.68,25.9,13.0,14.9,23.38
sindresorhus/p-locate,gh/74265632,124,99,5,5.05,6,0.32,4,24,1.26,4,2025,12.05,11.21,16.7,14.9,13.40
