repo,repo_id,concentration,complexity,security,workload,risk_score
pytest-dev/iniconfig,gh/66012563,67.17,40.24,51.86,23.15,42.44
wasm-bindgen/wasm-bindgen,gh/114685405,10.03,85.80,50.00,75.16,42.41
rust-lang/cc-rs,gh/26039547,12.21,78.19,72.71,46.53,42.39
yargs/yargs,gh/14210523,16.73,62.34,50.00,61.87,42.38
burntsushi/quickcheck,gh/17559913,29.42,33.83,50.00,64.47,42.32
smol-rs/fastrand,gh/267368764,37.99,38.98,50.00,43.16,42.28
googlechrome/workbox,gh/55424670,33.93,68.80,50.00,27.09,42.17
tj/node-cookie-signature,gh/6229722,79.74,13.52,95.74,30.54,42.14
sindresorhus/read-pkg,gh/41790094,85.44,18.22,64.75,31.09,42.07
mui/material-ui,gh/23083156,9.24,88.38,50.00,76.61,42.06
apache/arrow,gh/51905353,4.42,95.38,87.68,84.16,42.00
inspect-js/is-date-object,gh/29991041,100.00,10.28,64.75,46.45,41.93
huggingface/huggingface_hub,gh/323591830,13.15,78.68,50.00,59.56,41.90
component/toidentifier,gh/114743189,100.00,8.53,84.45,42.69,41.88
cheeriojs/dom-serializer,gh/18991884,92.01,14.34,50.00,46.17,41.78
inspect-js/has-tostringtag,gh/392913710,100.00,10.69,50.00,56.79,41.74
jshttp/forwarded,gh/24300217,86.35,27.02,50.00,25.95,41.71
es-shims/es-object-atoms,gh/773229339,100.00,10.12,64.75,46.14,41.70
typescript-eslint/typescript-eslint,gh/165536154,11.09,89.63,50.00,60.85,41.70
python/tzdata,gh/242158882,72.66,37.29,50.00,22.17,41.63
sindresorhus/path-type,gh/41905436,70.71,15.28,75.72,36.18,41.48
pypa/packaging,gh/19837758,16.32,64.87,50.00,55.76,41.45
alexeyraspopov/picocolors,gh/410740124,63.06,14.73,79.66,39.71,41.40
sindresorhus/mimic-function,gh/71381729,43.45,24.72,71.88,38.02,41.39
apache/airflow,gh/33884891,4.84,92.63,99.03,65.92,41.36
theskumar/python-dotenv,gh/23727790,32.12,42.42,50.00,42.94,41.36
dtolnay/itoa,gh/61962375,96.43,26.68,50.00,22.70,41.34
servo/rust-url,gh/14934771,8.71,75.66,72.71,60.89,41.33
proptest-rs/proptest,gh/94702898,12.50,64.62,50.00,72.02,41.30
tower-rs/tower,gh/98244646,14.17,68.86,50.00,59.60,41.29
axios/axios,gh/23088740,15.16,78.47,89.86,27.17,41.28
inspect-js/has-property-descriptors,gh/481834578,100.00,9.15,64.75,49.02,41.28
aio-libs-abandoned/async-timeout,gh/67703198,68.92,24.93,50.00,33.76,41.27
rust-lang/glob,gh/23241722,21.02,52.27,50.00,52.39,41.19
npm/cacache,gh/193812470,32.32,44.51,50.00,39.86,41.15
sindresorhus/path-is-absolute,gh/30900285,100.00,11.57,79.66,30.84,41.06
sindresorhus/parent-module,gh/50187748,81.24,17.55,71.88,27.72,41.05
tokio-rs/tokio,gh/67836789,6.78,81.36,88.41,57.95,41.00
isaacs/wrappy,gh/24208073,100.00,11.24,64.75,38.37,40.88
open-telemetry/opentelemetry-python,gh/185478926,11.51,71.30,50.00,67.97,40.87
sindresorhus/is-stream,gh/29436825,70.71,26.09,71.88,20.86,40.78
motdotla/dotenv,gh/11205780,84.18,38.90,50.00,16.87,40.77
eslint/eslint,gh/11061773,12.80,87.83,50.00,49.00,40.74
sindresorhus/unicorn-magic,gh/716660564,92.04,11.23,75.72,34.41,40.51
rust-random/getrandom,gh/166545969,38.06,39.08,50.00,36.09,40.48
tox-dev/platformdirs,gh/367032142,31.42,43.62,50.00,38.62,40.33
inspect-js/is-descriptor,gh/41658845,100.00,27.21,71.88,13.48,40.30
mathiasbynens/emoji-regex,gh/24557614,84.85,12.26,79.66,31.80,40.29
pest-parser/pest,gh/56964647,18.41,67.78,50.00,42.09,40.26
rust-lang/log,gh/27974762,31.53,49.00,50.00,33.73,40.18
eventualbuddha/lines-and-columns,gh/47284288,90.55,7.40,98.08,39.52,40.14
pandas-dev/pandas,gh/858127,9.77,94.26,50.00,55.87,40.05
jorgebucaran/colorette,gh/34648097,91.86,13.25,92.76,22.71,40.02
webpack/tapable,gh/7730086,34.61,47.98,50.00,30.86,40.01
jaraco/pytest-perf,gh/372026120,83.07,20.04,51.86,29.65,40.00
jestjs/jest,gh/15062869,30.43,84.63,50.00,19.88,40.00
sindresorhus/indent-string,gh/20576837,66.33,18.35,71.88,28.99,39.91
dtolnay/semver,gh/22432442,95.96,48.35,50.00,10.86,39.84
sindresorhus/is-docker,gh/33590534,93.13,16.67,71.88,22.58,39.84
jshttp/mime-db,gh/22970419,73.70,23.42,50.00,29.12,39.82
rust-lang/pkg-config-rs,gh/26042035,20.20,51.22,53.25,45.28,39.74
sindresorhus/meow,gh/25121561,39.65,48.98,50.00,25.63,39.72
googleapis/python-cloud-core,gh/226992462,22.90,54.81,50.00,39.51,39.68
amanieu/parking_lot,gh/58731560,9.83,58.74,72.71,58.89,39.65
mozilla/source-map,gh/2014930,23.82,63.08,64.75,25.21,39.57
matklad/once_cell,gh/143220272,16.97,62.20,72.71,31.91,39.56
ljharb/call-bound,gh/898125972,100.00,7.33,64.75,51.46,39.53
annotated-types/annotated-types,gh/487934134,37.58,27.65,71.88,32.65,39.52
conventional-changelog/commitlint,gh/51575745,16.18,63.37,50.00,47.05,39.41
ljharb/concat-map,gh/548993448,100.00,8.15,64.75,45.52,39.37
python-trio/sniffio,gh/142657210,36.43,29.34,50.00,44.89,39.36
tokio-rs/bytes,gh/30062547,14.71,58.64,50.00,55.18,39.28
linusu/buffer-from,gh/66025821,100.00,12.92,95.74,18.94,39.12
criterion-rs/criterion.rs,gh/1081104682,15.30,59.40,50.00,51.15,39.05
hyperium/http-body,gh/183281612,22.19,37.28,53.25,52.79,39.05
sindresorhus/yocto-queue,gh/315531538,80.83,13.15,71.88,30.28,39.00
psf/requests,gh/1362490,14.18,60.33,89.86,29.82,38.91
sindresorhus/import-local,gh/90292430,63.25,17.75,71.88,28.33,38.88
kevva/shebang-command,gh/47402913,100.00,7.90,77.53,37.18,38.85
octokit/openapi-types.ts,gh/304109193,64.93,26.03,50.00,26.57,38.71
ryanzim/universalify,gh/87651180,66.33,11.01,84.45,36.30,38.68
matplotlib/matplotlib,gh/1385122,12.06,92.78,50.00,39.62,38.59
sindresorhus/ansi-escapes,gh/40721875,73.07,25.58,64.75,18.30,38.58
sindresorhus/string-width,gh/39222730,68.99,27.08,50.00,23.64,38.55
jonschlinkert/is-extendable,gh/38225016,100.00,7.37,95.74,31.26,38.54
qix-/node-is-arrayish,gh/41376759,100.00,7.76,95.74,29.48,38.47
seanmonstar/reqwest,gh/62350380,10.22,79.58,50.00,53.83,38.46
sindresorhus/open,gh/18469325,62.88,48.92,59.00,12.01,38.42
peternator7/strum,gh/80964373,15.91,65.01,50.00,41.99,38.39
open-telemetry/opentelemetry-python-contrib,gh/220524743,5.10,81.94,72.71,71.32,38.37
inspect-js/is-typed-array,gh/43528820,98.43,8.57,64.75,39.57,38.34
feross/is-buffer,gh/25997846,100.00,7.37,81.26,36.05,38.33
ljharb/side-channel,gh/225239081,94.13,9.62,64.75,36.77,38.32
open-telemetry/opentelemetry-js-contrib,gh/255986659,8.15,81.31,50.00,64.54,38.24
mcollina/reusify,gh/42106515,82.46,10.69,50.00,47.76,38.09
sindresorhus/locate-path,gh/74266248,70.92,13.88,71.88,29.71,38.08
isaacs/inherits,gh/1580001,68.47,9.33,95.74,34.30,38.06
jonschlinkert/isobject,gh/21342886,100.00,6.08,88.18,38.37,37.87
sindresorhus/cli-cursor,gh/23512396,82.46,10.22,75.72,31.98,37.80
rust-lang/libz-sys,gh/26042019,21.06,50.52,50.00,37.27,37.52
ljharb/es-define-property,gh/756570458,100.00,8.48,50.00,46.45,37.46
sindresorhus/find-cache-directory,gh/48783244,76.37,18.45,50.00,27.58,37.34
python/mypy_extensions,gh/165752308,36.65,27.09,50.00,38.79,37.25
inspect-js/is-array-buffer,gh/45977026,92.63,13.44,50.00,30.84,37.22
jshttp/vary,gh/20498698,37.27,22.05,50.00,46.32,37.14
sindresorhus/p-locate,gh/74265632,70.71,13.50,59.00,33.14,36.96
rust-embedded/critical-section,gh/365854323,59.07,18.10,51.86,33.40,36.89
rust-lang/flate2-rs,gh/21954009,12.26,61.77,50.00,48.84,36.88
paulmillr/chokidar,gh/4090287,40.77,58.43,50.00,15.39,36.80
googleapis/python-crc32c,gh/159736041,37.21,38.97,50.00,25.23,36.78
rust-lang/libc,gh/29197565,7.10,91.68,50.00,56.12,36.76
sindresorhus/parse-json,gh/41367145,59.31,18.89,55.91,28.75,36.63
mathiasbynens/unicode-canonical-property-names-ecmascript,gh/88346537,100.00,5.37,84.45,39.12,36.50
jslicense/spdx-license-ids,gh/26001547,92.99,14.09,64.75,20.22,36.19
sindresorhus/is-inside-container,gh/601943060,100.00,7.08,79.66,30.17,36.12
scikit-learn/scikit-learn,gh/843222,4.16,88.76,85.51,53.33,36.02
langchain-ai/langchain,gh/552661142,4.72,91.04,96.86,40.39,36.01
sindresorhus/strip-indent,gh/18242629,81.24,15.35,71.88,18.66,35.96
feross/queue-microtask,gh/207021895,100.00,7.16,75.72,30.51,35.86
visionmedia/bytes.js,gh/4626886,100.00,9.27,86.47,20.53,35.82
inspect-js/has-bigints,gh/201714166,95.92,9.46,59.00,30.54,35.76
sindresorhus/is-unicode-supported,gh/348660847,76.16,14.37,71.88,20.77,35.75
jshttp/content-disposition,gh/24216676,56.54,11.57,50.00,49.75,35.72
jpadilla/pyjwt,gh/1408162,11.40,56.21,87.68,28.76,35.65
sindresorhus/is-plain-obj,gh/38923193,73.29,17.60,75.72,16.50,35.63
gcc-mirror/gcc,gh/22711503,2.98,99.73,82.43,65.63,35.61
jshttp/statuses,gh/17690272,38.47,21.05,50.00,39.32,35.52
wesleytodd/setprototypeof,gh/30301031,100.00,6.76,79.66,29.36,35.46
sindresorhus/strip-final-newline,gh/47453723,66.62,11.86,71.88,26.74,35.10
thlorenz/convert-source-map,gh/8751561,36.43,24.03,71.88,23.74,34.96
certbot/certbot,gh/26516210,30.72,71.11,50.00,13.65,34.94
ljharb/possible-typed-array-names,gh/760136716,100.00,6.35,64.75,36.21,34.93
inspect-js/array-buffer-byte-length,gh/607836784,100.00,6.92,55.91,38.25,34.88
sindresorhus/is-path-inside,gh/21054113,74.23,15.39,71.88,17.80,34.77
jd/tenacity,gh/65468547,13.97,38.45,50.00,53.84,34.68
dtolnay/target-triple,gh/734167706,100.00,6.90,55.91,36.69,34.49
python/cpython,gh/81598961,3.09,99.25,98.31,45.16,34.16
rust-fuzz/arbitrary,gh/90591032,12.83,45.06,51.86,44.20,33.93
inspect-js/hasown,gh/703350811,100.00,5.08,53.25,48.47,33.84
sindresorhus/onetime,gh/14847357,70.71,11.80,59.00,26.61,33.83
sindresorhus/environment,gh/793180075,100.00,4.87,71.88,36.69,33.66
sindresorhus/detect-newline,gh/21304485,70.71,10.16,75.72,22.91,33.41
djc/rustc-version-rs,gh/41272773,92.41,15.32,55.91,15.56,33.31
servo/rust-fnv,gh/33499190,32.40,13.78,64.75,42.00,33.19
aws/aws-sdk-js-crypto-helpers,gh/149673986,20.45,33.69,50.00,34.55,33.03
django/asgiref,gh/48501860,11.14,50.40,51.86,40.73,33.00
jshttp/methods,gh/8274071,70.71,13.40,50.00,24.59,32.85
ljharb/gopd,gh/560708130,100.00,4.36,59.00,43.95,32.61
ljharb/safe-regex-test,gh/540138887,96.73,6.28,59.00,31.24,32.53
sindresorhus/to-fast-properties,gh/31656998,62.27,10.12,75.72,23.11,32.41
sindresorhus/path-key,gh/48706449,70.71,8.54,71.88,24.56,32.13
inspect-js/typed-array-buffer,gh/649850465,100.00,5.41,50.00,37.96,31.83
chalk/strip-ansi,gh/15014856,90.55,5.02,72.71,29.82,31.51
sindresorhus/restore-cursor,gh/23512229,77.06,5.28,92.76,25.70,31.38
sindresorhus/read-package-up,gh/41842429,87.94,6.23,71.88,23.68,31.08
inspect-js/node-supports-preserve-symlinks-flag,gh/443970899,100.00,3.78,64.75,37.64,30.98
npm/json-parse-even-better-errors,gh/211384370,77.67,11.20,50.00,20.99,30.91
fb55/domelementtype,gh/6627835,89.58,7.67,50.00,25.70,30.65
inspect-js/available-typed-arrays,gh/235965505,94.81,6.08,59.00,24.61,30.25
ljharb/es-errors,gh/752160492,100.00,4.08,50.00,39.96,30.05
sindresorhus/strip-bom,gh/18444852,74.54,5.81,71.88,22.52,28.94
torvalds/linux,gh/2325298,1.00,99.31,100.00,69.66,28.84
sindresorhus/package-directory,gh/41724281,79.54,5.60,64.75,23.63,28.73
sindresorhus/path-exists,gh/34965664,74.54,5.02,75.72,23.49,28.56
npm/abbrev-js,gh/554893,61.20,12.39,50.00,17.37,28.49
rust-lang/cfg-if,gh/38723660,31.48,14.30,50.00,28.54,28.31
rust-lang/rust,gh/724712,1.63,99.52,50.00,78.94,28.29
rust-lang-nursery/lazy-static.rs,gh/21157492,20.11,17.64,50.00,35.27,28.12
sindresorhus/log-symbols,gh/21673868,70.71,10.35,75.72,10.88,27.87
isaacs/fs-minipass,gh/102982143,73.14,7.74,50.00,19.75,27.34
sindresorhus/has-flag,gh/38718671,66.33,5.63,71.88,20.52,27.24
daaku/nodejs-tmpl,gh/2171213,100.00,2.02,98.08,27.19,27.09
sindresorhus/p-try,gh/71534796,79.06,3.69,75.72,23.86,26.94
npm/ssri,gh/193817839,34.89,12.73,72.71,15.15,26.45
calvinmetcalf/minimalistic-assert,gh/29144257,100.00,2.33,96.49,21.67,26.42
sindresorhus/callsites,gh/18938743,77.06,4.48,75.72,16.10,25.47
debian/ca-certificates,gl/debian-2995,66.33,3.24,72.71,26.52,25.37
colorjs/color-name,gh/27038309,42.26,2.99,86.47,36.20,25.08
sindresorhus/resolve-cwd,gh/47504070,100.00,2.18,71.88,25.23,25.08
sindresorhus/escape-string-regexp,gh/21169121,70.71,5.15,71.88,14.95,25.01
chicoxyzzy/node-releases,gh/73765596,77.15,4.54,55.91,19.08,24.72
npm/mute-stream,gh/5159166,61.24,11.49,50.00,10.59,24.71
certifi/python-certifi,gh/3060959,30.46,10.47,85.51,13.29,24.54
npm/nopt,gh/1544436,62.23,13.90,50.00,8.13,24.35
npm/write-file-atomic,gh/23896209,61.04,14.00,50.00,7.91,24.11
npm/hosted-git-info,gh/25002984,36.10,14.20,72.71,9.01,24.07
sindresorhus/is-fullwidth-code-point,gh/39222301,72.11,4.17,59.00,18.93,24.07
pillarjs/encodeurl,gh/60721766,36.93,7.07,50.00,25.38,23.99
npm/node-which,gh/2169708,56.97,9.92,50.00,11.36,23.80
sindresorhus/slash,gh/11516031,66.18,3.09,71.88,16.28,22.12
juliangruber/isarray,gh/10227611,82.98,4.51,50.00,11.97,21.75
sindresorhus/is-binary-path,gh/29771247,74.54,1.84,75.72,20.02,21.35
sindresorhus/lowercase-keys,gh/29769737,82.46,1.75,55.91,23.19,20.80
sindresorhus/array-union,gh/21005682,66.33,1.93,75.72,19.22,20.78
jimmywarting/node-domexception,gh/371470141,93.96,1.66,96.49,12.29,20.74
npm/unique-slug,gh/35246620,67.07,4.59,50.00,11.55,20.53
sindresorhus/shebang-regex,gh/30903733,74.54,1.65,75.72,18.65,20.41
mdn/data,gh/70901646,24.00,13.44,50.00,9.75,19.91
npm/normalize-package-data,gh/9301720,34.62,12.73,50.00,6.54,19.48
definitelytyped/definitelytyped,gh/6093316,1.00,85.74,50.00,28.81,18.75
npm/ini,gh/2167680,36.28,13.69,50.00,4.79,18.57
fb55/boolbase,gh/16864585,74.54,1.43,50.00,21.54,18.41
sindresorhus/tagged-tag,gh/795552264,100.00,1.00,71.88,14.54,17.98
sindresorhus/binary-extensions,gh/29771015,63.25,1.65,71.88,13.50,17.84
tsconfig/bases,gh/263697285,4.72,13.10,50.00,17.84,15.32
bincode-org/bincode,gh/24130045,100.00,1.00,99.25,1.64,11.30
isaacs/inflight-deprecated-do-not-use,gh/19442260,74.54,1.00,50.00,4.12,11.13
