repo,repo_id,concentration,complexity,security,workload,risk_score
dtolnay/indoc,gh/54252316,98.44,41.48,50.00,63.43,59.99
isaacs/fs.realpath,gh/61231712,74.54,36.51,95.74,49.41,59.90
gweis/isodate,gh/6449370,43.74,49.51,75.72,78.47,59.89
aws/aws-cli,gh/6780767,81.44,82.80,50.00,37.77,59.74
dateutil/dateutil,gh/26876372,37.18,79.86,50.00,85.52,59.69
micheles/decorator,gh/14656555,69.69,51.48,55.91,63.16,59.66
tkem/cachetools,gh/18006791,84.91,47.37,50.00,62.69,59.59
msgpack/msgpack-python,gh/2242705,72.95,69.06,50.00,49.71,59.49
jquast/wcwidth,gh/18464187,60.37,56.93,50.00,72.63,59.44
tim-kos/node-retry,gh/1738798,66.33,32.52,84.45,68.26,59.38
hukkin/tomli,gh/370616797,96.05,47.29,50.00,54.62,59.35
jonathanong/ee-first,gh/20707897,100.00,21.09,92.76,63.37,59.34
pillarjs/send,gh/4879977,61.84,49.14,72.71,56.05,59.32
isaacs/core-util-is,gh/12391440,100.00,20.22,98.83,61.76,59.27
chalk/wrap-ansi,gh/41053676,74.41,42.66,72.71,53.40,59.25
sindresorhus/execa,gh/47475908,86.18,59.76,50.00,47.84,59.24
withoutboats/heck,gh/86326466,64.82,44.52,82.43,51.51,59.16
mathiasbynens/jsesc,gh/10498729,79.06,20.60,92.76,81.01,59.15
oauthlib/oauthlib,gh/2811323,35.93,67.70,72.71,69.23,59.15
fb55/domutils,gh/6627949,93.05,43.56,50.00,59.95,59.04
burntsushi/termcolor,gh/141345580,54.01,49.94,84.45,53.31,59.03
es-shims/array-includes,gh/28753032,100.00,28.53,64.75,65.56,58.99
gyscos/zstd-rs,gh/52115335,69.76,55.33,50.00,62.66,58.97
micromatch/braces,gh/25475303,33.33,63.01,82.37,69.91,58.97
requests/requests-oauthlib,gh/6825724,61.84,57.56,55.91,60.48,58.90
protobufjs/protobuf.js,gh/8507859,20.40,81.89,82.37,87.38,58.89
debug-js/debug,gh/2871998,66.39,35.88,82.37,61.07,58.84
dtolnay/quote,gh/67273122,93.38,39.93,50.00,64.13,58.80
inspect-js/is-callable,gh/30012910,100.00,29.45,55.91,72.55,58.79
azure/msrest-for-python,gh/71186468,32.47,67.25,64.75,84.08,58.72
aio-libs/multidict,gh/51206425,59.29,68.01,50.00,58.84,58.69
ljharb/object-keys,gh/9103992,100.00,40.27,51.86,56.65,58.65
psycopg/psycopg2,gh/7730829,78.50,76.76,50.00,38.94,58.53
xorg-team/lib/libxdmcp,gl/debian-4313,57.46,42.26,75.72,63.81,58.53
micromatch/micromatch,gh/27359938,31.97,55.80,72.71,89.33,58.34
blakeembrey/change-case,gh/9440238,83.72,48.84,64.75,43.68,58.32
oozcitak/xmlbuilder-js,gh/1042809,100.00,14.23,92.76,87.34,58.27
facebook/prop-types,gh/87597642,63.71,51.97,50.00,69.53,58.25
socketio/socket.io,gh/557980,84.24,89.34,89.86,17.00,58.23
realpython/pytest-mypy,gh/69576530,97.90,42.35,77.53,35.74,58.22
dtolnay/no-panic,gh/143469762,96.32,37.59,50.00,63.25,58.17
