repo,repo_id,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,bestpractices_badge_id,openssf_score_p,cve_score,score,fetched_at
mcollina/reusify,gh/42106515,4.8,openssf_local,0,False,,45.08,50.0,50,2026-04-27T21:39:25+01:00
md/tcp-wrappers,gl/salsa.debian.org-28852,,,0,False,,,50.0,50,
mdn/data,gh/70901646,7.8,openssf_local,0,False,,3.91,50.0,50,2026-04-27T17:20:16+01:00
medikoo/d,gh/10817569,3.2,openssf_local,0,False,,86.47,50.0,86,2026-04-27T17:20:17+01:00
medikoo/es5-ext,gh/1792941,3.8,openssf_local,1,False,,75.5,72.68,76,2026-04-27T15:52:38+01:00
medikoo/es6-symbol,gh/14423385,3.9,openssf_local,0,False,,72.04,50.0,72,2026-04-27T17:20:19+01:00
medikoo/type,gh/177198492,3.8,openssf_local,0,False,,75.5,50.0,76,2026-04-27T16:07:15+01:00
meinersbur/isl,gh/37677854,3.7,openssf_local,0,False,,77.18,50.0,77,2026-06-01T00:23:57+01:00
mhammond/pywin32,gh/108187130,5,openssf_local,1,False,,42.06,72.68,73,2026-05-03T23:28:16+01:00
micheles/decorator,gh/14656555,4.2,openssf_local,0,True,,56.49,50.0,56,2026-04-27T21:39:39+01:00
micromark/micromark,gh/157420458,4,openssf_local,0,False,,64.65,50.0,65,2026-04-27T14:56:23+01:00
micromatch/anymatch,gh/11458302,3.7,openssf_local,0,False,,77.18,50.0,77,2026-04-27T16:09:58+01:00
micromatch/braces,gh/25475303,3.9,openssf_local,2,False,,72.04,82.2,82,2026-04-27T15:08:10+01:00
micromatch/is-extglob,gh/31788841,4.2,openssf_local,0,False,,56.49,50.0,56,2026-05-18T00:38:15+01:00
micromatch/is-glob,gh/28179425,3.7,openssf_local,0,False,,77.18,50.0,77,2026-04-27T14:57:44+01:00
micromatch/micromatch,gh/27359938,3.9,openssf_local,1,False,,72.04,72.68,73,2026-04-27T21:39:45+01:00
micromatch/picomatch,gh/156211895,6.8,openssf_local,0,False,,14.09,50.0,50,2026-04-27T14:57:04+01:00
micromatch/to-regex-range,gh/40355891,3.6,openssf_local,0,False,,79.19,50.0,79,2026-04-27T14:56:36+01:00
microsoft/tslib,gh/34414315,7.4,openssf_local,0,True,,7.72,50.0,50,2026-04-27T14:52:59+01:00
microsoft/typescript,gh/20929025,8.6,openssf_local,0,True,,1.34,50.0,50,2026-05-03T23:28:23+01:00
microsoft/windows-rs,gh/208102250,6.4,openssf_local,1,False,,21.25,72.68,73,2026-04-27T14:53:06+01:00
minimistjs/minimist,gh/549230701,5.2,openssf_local,1,False,,40.04,72.68,73,2026-05-03T23:28:34+01:00
mirror/ncurses,gh/22324756,3,openssf_local,14,False,,92.84,94.39,94,2026-06-01T00:23:57+01:00
mitsuhiko/insta,gh/165561258,5.2,openssf_local,0,False,,40.04,50.0,50,2026-05-03T23:28:34+01:00
mm2/little-cms,gh/507969,6.8,openssf_local,0,True,,14.09,50.0,50,2026-04-27T21:40:14+01:00
moment/moment,gh/1424470,2.6,openssf_local,2,False,,98.1,82.2,98,2026-05-03T23:28:53+01:00
more-itertools/more-itertools,gh/4144530,5.1,openssf_local,0,True,,41.16,50.0,50,2026-04-27T16:06:19+01:00
motdotla/dotenv,gh/11205780,4.8,openssf_local,0,False,,45.08,50.0,50,2026-04-27T21:40:33+01:00
moxystudio/node-cross-spawn,gh/21335844,2.7,openssf_local,1,False,,97.32,72.68,97,2026-04-27T21:40:35+01:00
mozilla/source-map,gh/2014930,4,openssf_local,0,False,,64.65,50.0,65,2026-04-27T14:56:01+01:00
mpc/mpc,gl/gitlab.inria.fr-22470,,,0,False,,,50.0,50,
mpfr/mpfr,gl/gitlab.inria.fr-33626,,,0,False,,,50.0,50,
mrabarnett/mrab-regex,gh/309446978,4.6,openssf_local,0,True,,48.66,50.0,50,2026-04-27T17:20:40+01:00
mrmlnc/fast-glob,gh/77467076,3.3,openssf_local,0,False,,84.34,50.0,84,2026-04-27T16:08:20+01:00
msgpack/msgpack-python,gh/2242705,6.5,openssf_local,0,True,,19.57,50.0,50,2026-04-27T21:40:39+01:00
multimedia-team/aom,gl/salsa.debian.org-29534,,,15,False,,,95.12,95,
myrne/performance-now,gh/10219264,2.8,openssf_local,0,False,,96.53,50.0,97,2026-06-28T16:39:34+01:00
mysticatea/abort-controller,gh/105228556,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T16:09:31+01:00
mysticatea/event-target-shim,gh/31137469,2.7,openssf_local,0,False,,97.32,50.0,97,2026-04-27T16:08:04+01:00
netflix/vmaf,gh/51317975,3.8,openssf_local,0,False,,75.5,50.0,76,2026-05-18T00:38:17+01:00
nghttp2/nghttp2,gh/11452676,7.1,openssf_local,7,True,in_progress,10.51,90.49,90,2026-05-03T23:29:00+01:00
nicolo-ribaudo/babel-preset-current-node-syntax,gh/253327079,3.3,openssf_local,0,False,,84.34,50.0,84,2026-04-27T21:41:06+01:00
