repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
bitflags/bitflags,gh/29287955,11.0,36,0,10,True,5,2026-04-14T09:43:00Z,94,110,1.17,8.58,-16,1.2,-0.8,-0.1064,87.08,201.2778,39.93,0.0,78.08,-0.4444,9.28,31,2026-04-27T13:18:13Z
blakeembrey/array-flatten,gh/17789771,11.8,2,0,0,True,2,2025-06-24T05:32:34Z,1,2,2.0,2.08,-1,-0.2,-0.4,,,221.5,42.17,0.0,78.08,-0.5,8.6,30,2026-04-27T13:18:13Z
blakeembrey/change-case,gh/9440238,12.7,12,0,0,True,4,2025-06-17T20:12:46Z,78,76,0.974,33.95,2,-0.4,-1.3,-0.0577,76.74,102.0,24.38,0.0,78.08,0.1667,43.44,44,2026-04-27T13:18:13Z
bluss/bencher,gh/65987276,9.4,0,1,0,True,0,2022-06-23T09:55:16Z,2,0,0.0,100.0,2,-0.1,0.0,,,1697.0,86.69,0.0,78.08,2.0,89.03,84,2026-04-27T13:18:13Z
bminor/glibc,gh/13868694,12.2,320,0,0,False,5,2026-01-21T02:05:56Z,,,,,,,,,,5880.6062,94.85,0.1219,93.4,,50,76,2026-04-27T18:55:23Z
boto/boto3,gh/24774658,11.2,68,0,10,True,5,2026-04-24T19:40:20Z,1386,1499,1.082,12.38,-113,-27.5,-36.9,-0.0339,69.95,312.7353,52.24,0.0,78.08,-1.6618,2.15,21,2026-04-27T13:18:13Z
boto/botocore,gh/6670942,13.1,72,0,10,True,5,2026-04-27T15:35:35Z,462,471,1.019,18.38,-9,-12.2,-10.3,0.0206,48.14,1467.4306,84.56,0.0,78.08,-0.125,16.4,48,2026-04-27T18:55:23Z
boto/s3transfer,gh/49535299,10.0,28,0,10,True,5,2026-04-24T03:31:21Z,37,22,0.595,76.47,15,-0.8,-1.4,-0.0811,83.68,785.6786,74.72,0.0,78.08,0.5357,59.84,70,2026-04-27T13:18:13Z
brianc/node-postgres,gh/991475,15.2,97,0,10,True,5,2026-04-22T21:11:39Z,642,447,0.696,66.91,195,-23.5,-9.5,0.109,22.62,203.7423,40.27,0.0,78.08,2.0103,89.25,65,2026-04-27T13:18:13Z
broofa/mime,gh/534940,15.8,7,0,0,True,5,2026-04-24T18:26:43Z,46,48,1.043,15.32,-2,1.3,1.9,0.0652,34.25,268.4286,47.76,0.0,78.08,-0.2857,12.56,36,2026-04-27T13:18:13Z
browserify/events,gh/1649251,14.7,1,0,0,True,1,2024-12-21T09:59:54Z,9,6,0.667,71.32,3,-0.2,-0.4,-0.1111,88.05,2287.0,90.49,0.0,78.08,3.0,94.23,87,2026-04-27T13:03:03Z
