repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
form-data/form-data,gh/1755793,14.6,8,0,3,True,4,2025-11-17T04:15:57Z,73,38,0.521,79.17,35,-2.3,1.7,0.274,7.59,314.375,52.46,0.125,94.18,4.375,96.15,78,2026-04-27T13:18:18Z
formatjs/formatjs,gh/19117456,11.7,158,0,10,True,5,2026-04-27T03:09:46Z,664,626,0.943,38.48,38,-31.0,-29.8,0.009,52.5,2555.2785,91.05,0.0,78.08,0.2405,46.38,69,2026-04-27T13:18:18Z
freedesktop-unofficial-mirror/cairo,gh/34372735,10.7,0,1,0,True,0,2015-04-22T06:43:00Z,0,0,,,0,,,,,353301.0,100.0,0.0,78.08,0.0,35.97,65,2026-04-27T18:55:30Z
freetype/freetype,gh/187000659,6.6,92,0,10,False,5,2026-04-26T13:42:48Z,0,0,,,0,,,,,2766.2826,91.61,0.0761,90.6,0.0,35.97,67,2026-04-27T18:55:30Z
frenic/csstype,gh/104001328,8.3,5,0,0,True,4,2026-04-10T20:20:06Z,64,31,0.484,83.7,33,-3.8,-0.6,0.25,8.89,885.0,77.85,0.0,78.08,6.6,97.85,84,2026-04-27T13:18:18Z
frommi/miniz_oxide,gh/96124162,8.5,34,0,5,True,5,2026-04-25T00:54:31Z,36,24,0.667,71.32,12,0.0,-0.2,-0.0278,67.53,933.1471,78.86,0.0,78.08,0.3529,52.38,69,2026-04-27T13:18:18Z
fsevents/fsevents,gh/1402936,14.9,6,0,0,True,2,2024-09-03T21:54:37Z,34,25,0.735,63.97,9,-2.7,-1.7,0.1471,17.12,136.1667,30.54,0.3333,97.99,1.5,84.16,63,2026-04-27T13:18:18Z
fsspec/filesystem_spec,gh/130727736,7.7,242,0,10,True,5,2026-04-17T16:19:13Z,583,336,0.576,77.33,247,-20.6,-13.5,0.0609,35.22,148.7107,32.77,0.0,78.08,1.0207,78.28,59,2026-04-27T13:18:19Z
fsspec/s3fs,gh/53987953,9.8,92,0,10,True,5,2026-03-27T19:28:04Z,303,190,0.627,75.12,113,-10.8,-9.0,0.0297,45.07,105.3043,25.17,0.0,78.08,1.2283,80.54,54,2026-04-27T13:18:19Z
garycourt/uri-js,gh/989080,15.2,2,0,0,True,1,2023-12-06T13:56:13Z,24,7,0.292,89.46,17,-1.5,-0.6,0.1875,12.6,2714.0,91.5,0.0,78.08,8.5,98.76,89,2026-04-27T13:18:19Z
gcc-mirror/gcc,gh/22711503,11.4,814,0,10,False,5,2026-04-27T17:47:49Z,0,0,,,0,,,,,16512.3391,97.54,0.0,78.08,0.0,35.97,65,2026-04-27T18:55:31Z
getsentry/sentry-javascript,gh/3328572,13.9,335,0,10,True,5,2026-04-27T13:14:16Z,5511,5355,0.972,34.56,156,260.9,261.2,0.0003,54.77,1220.0388,81.99,0.009,80.98,0.4657,56.22,72,2026-04-27T13:18:19Z
giampaolo/psutil,gh/20101515,11.6,81,0,10,True,5,2026-04-24T17:59:36Z,456,287,0.629,74.88,169,1.2,2.9,0.0186,49.27,625.5185,71.36,0.0,78.08,2.0864,89.48,79,2026-04-27T13:18:19Z
git/git,gh/36502,17.4,539,0,10,False,5,2026-04-26T00:43:53Z,0,0,,,0,,,,,824.2115,76.17,0.0742,90.49,0.0,35.97,63,2026-04-27T18:55:31Z
gitlab-freedesktop-mirrors/libxcb,gh/444023705,4.0,0,1,0,True,0,2025-07-10T01:43:30Z,0,0,,,0,,,,,3269.0,92.62,0.0,78.08,0.0,35.97,64,2026-04-27T18:55:31Z
gitoxidelabs/gitoxide,gh/136510559,7.6,176,0,10,True,5,2026-04-27T08:51:48Z,645,505,0.783,58.82,140,8.7,2.5,-0.0481,73.51,1325.3693,82.66,0.0625,89.49,0.7955,66.97,79,2026-04-27T13:18:19Z
gitpython-developers/gitdb,gh/1126093,15.1,16,0,1,True,5,2026-03-09T13:33:55Z,17,15,0.882,46.94,2,-0.7,-0.9,-0.0588,77.87,384.25,58.95,0.0,78.08,0.125,40.84,57,2026-04-27T13:18:19Z
gitpython-developers/smmap,gh/1865144,14.6,6,0,3,True,5,2026-03-09T03:44:22Z,2,4,2.0,2.08,-2,0.0,-0.2,,,302.0,51.01,0.0,78.08,-0.3333,11.43,36,2026-04-27T13:18:19Z
gkz/levn,gh/13287279,12.2,0,1,0,True,2,2023-07-18T21:33:06Z,1,0,0.0,100.0,1,-0.2,0.0,,,462.0,64.09,0.0,78.08,1.0,78.17,73,2026-04-27T13:18:19Z
gkz/optionator,gh/13435927,12.2,2,0,0,True,4,2024-04-26T22:18:10Z,9,7,0.778,59.44,2,-0.3,0.1,0.2222,10.18,389.5,59.62,0.0,78.08,1.0,78.17,71,2026-04-27T13:18:19Z
gkz/prelude-ls,gh/4457759,13.6,0,1,0,True,2,2023-07-18T21:33:15Z,0,0,,,0,,,,,2709.0,91.39,0.0,78.08,0.0,35.97,64,2026-04-27T13:18:19Z
gkz/type-check,gh/13182168,12.3,0,1,0,True,2,2023-07-18T21:33:28Z,1,0,0.0,100.0,1,0.0,0.0,,,2042.0,89.15,0.0,78.08,1.0,78.17,82,2026-04-27T13:18:19Z
gmp-mirror/gmp,gh/681340775,2.4,5,0,0,False,5,2025-02-04T21:05:46Z,0,0,,,0,,,,,72826.4,99.11,0.4,98.32,0.0,35.97,71,2026-04-27T18:55:31Z
gnome/pango,gh/4537144,13.6,83,0,10,False,5,2026-04-22T19:00:46Z,0,0,,,0,,,,,1144.506,81.54,0.0,78.08,0.0,35.97,61,2026-04-27T18:55:31Z
google/brotli,gh/24993138,11.2,52,0,10,True,5,2026-04-22T23:46:28Z,165,153,0.927,40.81,12,0.3,1.9,0.0485,38.13,1609.25,85.57,0.0385,86.69,0.2308,46.27,70,2026-04-27T13:18:19Z
google/zerocopy,gh/534354967,3.3,62,0,10,True,5,2026-04-27T11:24:41Z,542,346,0.638,73.53,196,30.6,27.5,-0.0286,68.01,2804.0645,91.83,0.0161,82.44,3.1613,94.34,89,2026-04-27T13:18:19Z
googleapis/google-cloud-python,gh/16316451,11.9,554,0,10,True,5,2026-05-01T23:41:08Z,1426,491,0.344,87.25,935,88.8,19.2,-0.244,95.32,192.3051,38.7,0.0,78.08,1.6877,85.29,64,2026-05-03T22:21:39Z
googlechrome/workbox,gh/55424670,9.7,26,0,10,True,5,2026-04-27T12:51:42Z,448,484,1.08,12.62,-36,-36.8,-17.4,0.2165,10.66,2109.6154,89.49,0.0,78.08,-1.3846,2.94,27,2026-04-27T13:18:20Z
grahamdumpleton/wrapt,gh/10357291,12.6,18,0,10,True,5,2026-04-24T09:53:09Z,100,85,0.85,49.75,15,-1.8,-5.6,-0.19,93.38,1048.2222,81.1,0.0,78.08,0.8333,67.53,75,2026-04-27T13:18:20Z
grantjenks/python-sortedcontainers,gh/17144859,11.8,7,0,,True,3,2024-03-08T17:47:09Z,69,55,0.797,57.23,14,-3.8,-4.3,-0.0362,70.11,1629.7143,85.79,0.0,78.08,2.0,89.03,84,2026-04-27T18:55:32Z
graydon/exhaustigen-rs,gh/432630522,4.1,1,0,0,True,1,2024-07-29T16:43:32Z,1,0,0.0,100.0,1,0.2,0.0,,,217.0,41.61,0.0,78.08,1.0,78.17,63,2026-04-27T13:18:20Z
gregberge/svgr,gh/102155012,8.3,67,0,0,True,5,2026-03-01T18:35:20Z,287,188,0.655,71.94,99,-17.5,-20.4,-0.0505,74.47,103.7313,24.83,0.0,78.08,1.4776,83.48,54,2026-04-27T13:18:19Z
grncdr/merge-stream,gh/10579821,12.6,0,1,0,True,0,2019-06-20T04:46:40Z,2,2,1.0,30.64,0,-0.1,-0.1,,,146.0,32.44,0.0,78.08,0.0,35.97,45,2026-04-27T13:18:20Z
grpc/grpc,gh/27729880,11.1,439,0,10,True,5,2026-04-27T18:42:09Z,2700,2182,0.808,55.51,518,-101.1,-133.2,-0.0594,78.03,2845.9954,91.95,0.0251,84.79,1.18,79.86,85,2026-04-27T18:55:32Z
gsnedders/python-webencodings,gh/7043404,13.1,0,1,0,True,0,2022-05-03T21:36:03Z,6,1,0.167,92.4,5,-0.4,-0.2,0.1667,15.35,1410.0,83.78,0.0,78.08,5.0,97.17,86,2026-04-27T18:55:32Z
guillaumegomez/doc-comment,gh/127254922,7.8,0,1,0,True,0,2025-10-24T10:01:16Z,6,3,0.5,83.21,3,-1.0,-0.4,0.5,2.91,491.0,66.33,0.0,78.08,3.0,94.23,79,2026-04-27T13:18:20Z
gulpjs/glob-parent,gh/29154915,11.0,4,0,0,True,2,2024-07-26T13:03:16Z,20,18,0.9,44.36,2,-3.5,-3.5,0.0,60.1,84.0,20.81,0.5,98.99,0.5,59.28,50,2026-04-27T13:18:20Z
gweis/isodate,gh/6449370,13.2,4,0,0,True,3,2024-10-09T01:49:41Z,24,16,0.667,71.32,8,0.5,-1.0,-0.3125,96.45,577.0,70.13,0.0,78.08,2.0,89.03,79,2026-04-27T13:18:20Z
gyscos/zstd-rs,gh/52115335,9.9,47,0,2,True,5,2026-03-10T13:16:38Z,149,108,0.725,64.71,41,0.7,-6.1,-0.2282,94.83,262.2128,46.76,0.0,78.08,0.8723,68.1,63,2026-04-27T13:18:20Z
hapijs/hoek,gh/5831189,13.3,10,0,0,True,5,2026-02-25T07:24:45Z,7,6,0.857,49.14,1,0.2,0.1,-0.0714,82.07,568.4,69.8,0.1,92.39,0.1,39.25,63,2026-04-27T13:18:20Z
harfbuzz/harfbuzz,gh/5050525,13.5,153,0,10,True,5,2026-04-27T12:01:29Z,909,1056,1.162,8.82,-147,-15.2,-30.9,-0.0864,84.17,1347.7843,83.0,0.0196,83.78,-0.9608,4.41,31,2026-04-27T13:18:20Z
hiddentao/fast-levenshtein,gh/9490451,12.7,0,1,0,True,0,2021-10-03T19:03:31Z,2,1,0.5,83.21,1,-0.2,-0.2,,,496.0,66.67,0.0,78.08,1.0,78.17,74,2026-04-27T13:18:20Z
httplib2/httplib2,gh/53002916,9.8,19,0,0,True,5,2026-01-23T11:00:16Z,32,12,0.375,87.01,20,-2.5,-0.8,0.2656,7.92,597.0526,70.69,0.1053,92.95,1.0526,78.51,80,2026-04-27T13:18:20Z
huggingface/huggingface_hub,gh/323591830,5.0,291,0,10,True,5,2026-04-27T13:13:41Z,1370,1234,0.901,44.0,136,56.7,65.5,0.0321,43.78,272.6495,48.21,0.0,78.08,0.4674,56.33,60,2026-04-27T13:18:20Z
hukkin/tomli,gh/370616797,4.6,10,0,7,True,5,2026-04-14T16:51:06Z,52,46,0.885,46.2,6,-2.3,-3.1,-0.0769,82.88,158.0,34.0,0.0,78.08,0.6,61.76,55,2026-04-27T13:18:20Z
hyperium/http,gh/84983058,8.8,69,0,7,True,5,2026-04-24T15:03:52Z,126,75,0.595,76.47,51,0.8,2.5,0.0675,33.6,257.3768,46.53,0.029,85.35,0.7391,65.95,64,2026-04-27T13:18:20Z
hyperium/http-body,gh/183281612,6.7,23,0,0,True,5,2025-11-25T21:49:27Z,33,22,0.667,71.32,11,0.5,0.7,0.0303,44.91,151.0,33.22,0.0,78.08,0.4783,56.79,53,2026-04-27T13:18:20Z
iarna/aproba,gh/31432421,10.8,2,0,0,True,2,2025-07-12T17:10:40Z,1,0,0.0,100.0,1,-0.2,0.0,,,124.5,28.97,0.0,78.08,0.5,59.28,51,2026-04-27T13:18:20Z
import-js/eslint-plugin-import,gh/32238354,10.8,141,0,10,True,4,2026-04-08T00:44:17Z,892,697,0.781,59.07,195,-47.1,-25.0,0.1239,20.52,267.2128,47.43,0.0,78.08,1.383,82.58,67,2026-04-27T13:18:20Z
indexmap-rs/indexmap,gh/68294628,9.3,39,0,10,True,5,2026-04-18T19:03:55Z,92,95,1.033,17.28,-3,1.3,4.2,0.1576,15.83,403.2051,60.18,0.0,78.08,-0.0769,17.53,44,2026-04-27T13:18:20Z
indutny/bn.js,gh/19176350,11.7,7,0,2,True,4,2026-02-19T01:47:12Z,27,18,0.667,71.32,9,-3.0,-3.1,-0.0185,65.43,885.0,77.85,0.0,78.08,1.2857,81.79,79,2026-04-27T13:18:20Z
indygreg/python-zstandard,gh/67307930,9.3,27,0,0,True,5,2025-09-14T19:39:55Z,83,52,0.627,75.12,31,-1.1,1.4,0.1506,16.48,3284.7778,92.84,0.0,78.08,1.1481,79.64,83,2026-04-27T13:18:20Z
inikulin/parse5,gh/8862593,12.8,15,0,10,True,5,2026-04-22T03:23:38Z,94,88,0.936,39.46,6,-4.2,-4.3,-0.0053,60.9,960.1333,79.53,0.0,78.08,0.4,54.19,70,2026-04-27T13:18:20Z
inspect-js/array-buffer-byte-length,gh/607836784,2.8,1,0,0,True,2,2026-01-13T19:46:52Z,1,0,0.0,100.0,1,0.0,0.0,,,43.0,9.17,0.0,78.08,1.0,78.17,38,2026-04-27T13:18:20Z
inspect-js/available-typed-arrays,gh/235965505,5.9,3,0,1,True,5,2026-03-10T16:09:27Z,4,3,0.75,62.87,1,-0.8,-0.6,,,11.6667,3.47,0.0,78.08,0.3333,51.81,24,2026-04-27T13:18:20Z
inspect-js/functions-have-names,gh/198357138,6.4,1,0,5,True,3,2026-04-16T03:58:49Z,3,2,0.667,71.32,1,-0.5,-0.3,,,96.0,23.15,0.0,78.08,1.0,78.17,52,2026-04-27T13:18:20Z
inspect-js/has-bigints,gh/201714166,6.4,2,0,2,True,4,2026-03-19T16:41:31Z,2,1,0.5,83.21,1,-0.2,0.0,,,27.5,5.93,0.0,78.08,0.5,59.28,30,2026-04-27T13:03:09Z
inspect-js/has-property-descriptors,gh/481834578,3.7,1,0,0,True,3,2026-01-13T19:31:42Z,2,1,0.5,83.21,1,-0.2,-0.1,,,79.0,19.57,0.0,78.08,1.0,78.17,49,2026-04-27T13:18:20Z
inspect-js/has-proto,gh/577580747,3.0,1,0,0,True,2,2026-01-13T19:31:43Z,3,2,0.667,71.32,1,0.1,0.2,,,164.0,34.79,0.0,78.08,1.0,78.17,60,2026-04-27T13:18:20Z
inspect-js/has-symbols,gh/68573418,9.3,1,0,0,True,5,2025-12-30T01:55:49Z,2,2,1.0,30.64,0,-0.4,-0.4,,,197.0,39.49,0.0,78.08,0.0,35.97,48,2026-04-27T13:18:20Z
inspect-js/has-tostringtag,gh/392913710,4.4,1,0,8,True,3,2026-04-25T21:39:39Z,4,2,0.5,83.21,2,-0.2,-0.1,,,113.0,26.62,0.0,78.08,2.0,89.03,57,2026-04-27T13:18:20Z
inspect-js/hasown,gh/703350811,2.2,1,0,5,True,3,2026-04-17T22:10:36Z,2,1,0.5,83.21,1,0.2,0.2,,,77.0,18.9,0.0,78.08,1.0,78.17,49,2026-04-27T13:18:20Z
inspect-js/is-accessor-descriptor,gh/41658954,10.3,1,0,3,True,2,2026-03-16T05:50:49Z,0,0,,,0,,,,,196.0,39.37,0.0,78.08,0.0,35.97,48,2026-04-27T13:18:20Z
inspect-js/is-arguments,gh/15725461,12.0,1,0,5,True,4,2026-03-20T06:03:33Z,1,0,0.0,100.0,1,-0.2,0.0,,,91.0,21.92,0.0,78.08,1.0,78.17,51,2026-04-27T13:18:20Z
inspect-js/is-array-buffer,gh/45977026,10.1,2,0,0,True,5,2025-12-30T01:55:58Z,0,0,,,0,,,,,46.0,10.07,0.0,78.08,0.0,35.97,30,2026-04-27T13:18:21Z
inspect-js/is-bigint,gh/149682261,7.3,2,0,4,True,4,2025-12-30T01:56:02Z,2,1,0.5,83.21,1,-0.4,-0.2,,,53.0,11.74,0.0,78.08,0.5,59.28,38,2026-04-27T13:18:21Z
inspect-js/is-boolean-object,gh/34700259,10.7,1,0,0,True,4,2025-12-30T01:56:03Z,3,2,0.667,71.32,1,-0.2,0.0,,,106.0,25.39,0.0,78.08,1.0,78.17,54,2026-04-27T13:18:21Z
inspect-js/is-callable,gh/30012910,10.9,1,0,0,True,3,2025-12-30T01:56:07Z,3,1,0.333,88.85,2,-0.4,-0.2,,,345.0,55.48,0.0,78.08,2.0,89.03,73,2026-04-27T13:18:21Z
inspect-js/is-core-module,gh/24578130,11.3,3,0,1,True,5,2026-03-16T05:44:55Z,8,7,0.875,47.67,1,-0.5,-0.3,0.125,20.19,75.3333,18.23,0.0,78.08,0.3333,51.81,42,2026-04-27T13:18:21Z
inspect-js/is-data-descriptor,gh/41659073,10.3,2,0,0,True,4,2025-12-30T01:56:11Z,0,1,,,-1,,,,,63.5,14.21,0.0,78.08,-0.5,8.6,21,2026-04-27T13:18:21Z
inspect-js/is-data-view,gh/751048078,1.9,1,0,0,True,1,2024-12-19T19:53:26Z,1,0,0.0,100.0,1,0.1,0.0,,,99.0,23.94,0.0,78.08,1.0,78.17,53,2026-04-27T13:18:21Z
inspect-js/is-date-object,gh/29991041,10.9,1,0,0,True,4,2025-12-30T01:56:13Z,2,1,0.5,83.21,1,-0.4,-0.2,,,70.0,16.55,0.0,78.08,1.0,78.17,47,2026-04-27T13:18:21Z
inspect-js/is-descriptor,gh/41658845,10.3,1,0,0,True,2,2025-12-30T01:56:15Z,0,3,,,-3,,,,,182.0,37.58,0.0,78.08,-3.0,0.79,13,2026-04-27T13:18:21Z
inspect-js/is-number-object,gh/29991666,10.9,1,0,0,True,4,2025-12-30T01:56:25Z,2,1,0.5,83.21,1,-0.4,-0.2,,,74.0,17.67,0.0,78.08,1.0,78.17,48,2026-04-27T13:18:21Z
inspect-js/is-regex,gh/15930063,12.0,1,0,4,True,4,2026-04-08T18:11:36Z,4,3,0.75,62.87,1,-0.3,-0.1,,,195.0,39.26,0.0,78.08,1.0,78.17,62,2026-04-27T13:18:21Z
inspect-js/is-string,gh/30010185,10.9,1,0,1,True,4,2025-12-30T01:56:34Z,3,1,0.333,88.85,2,-0.3,-0.2,,,77.0,18.9,0.0,78.08,2.0,89.03,51,2026-04-27T13:18:21Z
inspect-js/is-symbol,gh/29791606,10.9,1,0,2,True,4,2026-03-16T04:50:57Z,1,0,0.0,100.0,1,-0.2,0.0,,,128.0,29.42,0.0,78.08,1.0,78.17,56,2026-04-27T13:18:21Z
inspect-js/is-typed-array,gh/43528820,10.2,2,0,0,True,5,2025-12-30T01:56:38Z,1,0,0.0,100.0,1,-0.2,0.0,,,59.5,13.2,0.0,78.08,0.5,59.28,39,2026-04-27T13:18:21Z
inspect-js/node-supports-preserve-symlinks-flag,gh/443970899,4.0,1,0,0,True,1,2022-11-02T16:24:38Z,1,0,0.0,100.0,1,-0.1,0.0,,,41.0,8.72,0.0,78.08,1.0,78.17,38,2026-04-27T13:18:21Z
inspect-js/object-inspect,gh/11683441,12.4,4,0,4,True,5,2026-04-26T22:07:18Z,7,4,0.571,77.94,3,-0.3,-0.4,-0.0714,82.07,461.0,63.98,0.0,78.08,0.75,66.29,69,2026-04-27T13:18:21Z
inspect-js/typed-array-buffer,gh/649850465,2.6,1,0,0,True,2,2026-01-16T06:48:04Z,1,0,0.0,100.0,1,0.0,0.0,,,42.0,8.95,0.0,78.08,1.0,78.17,38,2026-04-27T13:18:21Z
inspect-js/which-boxed-primitive,gh/201685155,6.4,1,0,3,True,4,2026-03-19T04:28:13Z,1,0,0.0,100.0,1,-0.2,0.0,,,77.0,18.9,0.0,78.08,1.0,78.17,49,2026-04-27T13:18:21Z
inspect-js/which-typed-array,gh/43708371,10.2,2,0,1,True,5,2026-03-19T01:51:58Z,7,6,0.857,49.14,1,-0.9,-0.7,0.1429,18.09,111.0,26.29,0.0,78.08,0.5,59.28,50,2026-04-27T13:18:21Z
ipython/traitlets,gh/14993021,12.1,35,0,5,True,5,2026-03-02T09:34:18Z,102,66,0.647,72.92,36,-6.7,-5.3,0.0686,33.12,476.4,65.21,0.0,78.08,1.0286,78.39,74,2026-04-27T13:18:21Z
isaacs/chownr,gh/3858354,13.8,2,0,0,True,4,2025-11-24T22:32:51Z,1,1,1.0,30.64,0,0.1,0.1,,,344.0,55.37,0.5,98.99,0.0,35.97,58,2026-04-27T13:18:21Z
isaacs/cliui,gh/634056857,2.7,3,0,2,False,3,2026-02-05T18:57:07Z,0,0,,,0,,,,,362.3333,57.16,0.0,78.08,0.0,35.97,54,2026-04-27T13:18:21Z
isaacs/core-util-is,gh/12391440,12.3,1,0,0,True,1,2025-11-25T05:08:19Z,1,0,0.0,100.0,1,0.2,0.0,,,195.0,39.26,0.0,78.08,1.0,78.17,62,2026-04-27T13:18:21Z
isaacs/fs-minipass,gh/102982143,8.3,4,0,0,True,4,2025-10-25T18:57:28Z,1,1,1.0,30.64,0,0.0,0.0,,,7.5,2.46,0.0,78.08,0.0,35.97,19,2026-04-27T13:03:11Z
isaacs/fs.realpath,gh/61231712,9.5,2,0,0,True,3,2025-10-25T18:58:12Z,0,0,,,0,,,,,222.0,42.39,0.0,78.08,0.0,35.97,49,2026-04-27T13:18:21Z
isaacs/inherits,gh/1580001,14.7,3,0,0,True,3,2025-10-25T19:01:03Z,4,3,0.75,62.87,1,-0.3,-0.3,,,45.0,9.84,0.0,78.08,0.3333,51.81,34,2026-04-27T13:18:21Z
isaacs/isexe,gh/49804297,10.0,2,0,9,True,3,2026-02-09T16:27:47Z,6,3,0.5,83.21,3,-0.5,-0.1,0.3333,5.98,251.0,45.86,0.0,78.08,1.5,84.16,67,2026-04-27T13:18:21Z
isaacs/minimatch,gh/2056549,14.5,18,0,10,True,4,2026-03-30T18:11:46Z,83,110,1.325,6.5,-27,0.5,-1.3,-0.1084,87.4,1245.3889,82.1,0.0556,88.93,-1.5,2.6,27,2026-04-27T13:18:21Z
isaacs/minipass,gh/84886212,8.8,7,0,1,True,5,2026-02-19T00:34:22Z,13,12,0.923,41.67,1,-0.5,-0.8,-0.1154,88.37,613.5714,71.03,0.0,78.08,0.1429,41.52,61,2026-04-27T13:18:21Z
isaacs/minizlib,gh/86429676,8.8,5,0,0,True,4,2025-09-21T21:27:03Z,5,6,1.2,8.33,-1,0.4,1.0,0.6,1.45,402.0,60.07,0.0,78.08,-0.2,14.25,41,2026-04-27T13:18:21Z
isaacs/node-glob,gh/357681,16.2,22,0,10,True,5,2026-03-23T01:52:36Z,152,234,1.539,3.55,-82,2.6,4.4,0.0592,35.7,245.4091,45.08,0.0455,87.58,-3.7273,0.57,13,2026-04-27T13:18:21Z
isaacs/node-graceful-fs,gh/2077020,14.5,10,0,0,True,4,2025-10-25T19:00:09Z,33,32,0.97,34.93,1,-1.6,-3.7,-0.3182,96.61,172.5,36.35,0.0,78.08,0.1,39.25,48,2026-04-27T13:18:21Z
isaacs/node-lru-cache,gh/679662,15.6,25,0,10,True,4,2026-04-20T16:02:36Z,146,179,1.226,7.84,-33,-1.4,-6.1,-0.161,91.44,381.92,58.72,0.0,78.08,-1.32,3.17,24,2026-04-27T13:18:21Z
isaacs/node-mkdirp,gh/2718248,14.2,4,0,,True,2,2023-09-15T19:59:26Z,12,11,0.917,42.4,1,-0.6,-0.3,0.125,20.19,339.25,54.81,0.0,78.08,0.25,47.29,59,2026-04-27T13:18:21Z
isaacs/node-tar,gh/1534331,14.8,14,0,10,True,5,2026-03-24T15:12:32Z,83,87,1.048,14.95,-4,-1.8,-2.6,-0.0482,73.67,1381.7857,83.56,0.5,98.99,-0.2857,12.56,47,2026-04-27T13:18:21Z
isaacs/once,gh/5409660,13.4,2,0,0,True,3,2025-10-25T19:07:40Z,1,0,0.0,100.0,1,0.1,0.0,,,97.0,23.6,0.0,78.08,0.5,59.28,48,2026-04-27T13:18:21Z
isaacs/package-json-from-dist,gh/800543709,1.6,1,0,0,True,1,2024-09-26T18:58:53Z,1,1,1.0,30.64,0,0.1,0.1,,,340.0,55.03,0.0,78.08,0.0,35.97,54,2026-04-27T13:18:21Z
isaacs/path-scurry,gh/591569499,2.9,5,0,4,True,3,2026-02-26T19:28:01Z,21,18,0.857,49.14,3,0.8,0.8,0.0,60.1,1318.0,82.44,0.0,78.08,0.6,61.76,74,2026-04-27T13:18:21Z
isaacs/rimraf,gh/1341324,14.9,13,0,10,True,4,2026-03-05T02:28:31Z,77,115,1.494,4.41,-38,1.6,1.6,0.0,60.1,483.3846,65.88,0.0,78.08,-2.9231,1.02,17,2026-04-27T13:18:22Z
isaacs/sax-js,gh/508894,15.9,5,0,4,True,4,2026-03-17T01:32:35Z,15,8,0.533,78.92,7,0.0,0.6,0.2,12.12,963.2,79.75,0.0,78.08,1.4,82.92,80,2026-04-27T13:18:22Z
isaacs/wrappy,gh/24208073,11.3,1,0,0,True,1,2024-02-10T05:58:21Z,0,0,,,0,,,,,80.0,19.8,0.0,78.08,0.0,35.97,38,2026-04-27T13:03:12Z
isaacs/yallist,gh/48222381,10.0,2,0,0,True,3,2024-06-19T00:55:19Z,4,5,1.25,7.6,-1,0.2,0.5,,,387.0,59.28,0.0,78.08,-0.5,8.6,34,2026-04-27T13:18:22Z
istanbuljs/istanbuljs,gh/81482340,8.9,35,0,0,True,5,2026-04-09T17:48:19Z,113,36,0.319,89.09,77,-2.6,-2.6,0.0,60.1,349.0571,55.82,0.0,78.08,2.2,90.27,73,2026-04-27T13:18:22Z
istanbuljs/schema,gh/211950686,6.3,1,0,6,True,1,2026-04-13T11:04:17Z,3,1,0.333,88.85,2,-0.1,-0.2,,,796.0,75.39,0.0,78.08,2.0,89.03,81,2026-04-27T13:18:22Z
istanbuljs/test-exclude,gh/60489570,9.6,1,0,3,True,1,2026-02-22T17:09:46Z,8,2,0.25,91.05,6,0.0,-0.1,-0.0625,79.32,679.0,72.6,0.0,78.08,6.0,97.74,82,2026-04-27T13:18:22Z
jamesmunns/postcard,gh/179385478,6.7,59,0,5,True,5,2026-02-03T12:11:08Z,108,68,0.63,74.63,40,4.2,4.7,0.0231,47.66,329.8136,54.03,0.0,78.08,0.678,64.14,65,2026-04-27T13:18:22Z
jaraco/jaraco.develop,gh/48289082,10.0,14,0,10,True,5,2026-04-13T23:34:37Z,19,15,0.789,57.97,4,1.2,0.8,-0.1053,86.91,113.5,26.85,0.0,78.08,0.2857,48.76,47,2026-04-27T18:55:36Z
jaraco/pytest-perf,gh/372026120,4.6,14,0,6,True,5,2026-04-13T23:38:31Z,11,7,0.636,74.02,4,-0.2,-0.1,0.0455,39.1,30.4286,6.6,0.0,78.08,0.2857,48.76,29,2026-04-27T18:55:36Z
jaraco/zipp,gh/157774633,7.1,26,0,8,True,5,2026-04-13T23:25:31Z,44,47,1.068,13.36,-3,-1.6,0.1,0.1932,12.28,63.8846,14.43,0.0385,86.69,-0.1154,16.52,27,2026-04-27T13:18:22Z
jaredhanson/utils-merge,gh/11349896,12.5,0,1,0,True,0,2022-12-02T09:58:57Z,5,0,0.0,100.0,5,-0.4,0.0,0.4,4.04,89.0,21.48,0.0,78.08,5.0,97.17,55,2026-04-27T13:18:22Z
jaredwray/cacheable,gh/9267870,12.7,70,0,10,True,5,2026-04-16T12:36:13Z,214,245,1.145,9.19,-31,15.8,12.8,-0.0701,81.1,334.2714,54.47,0.0,78.08,-0.4429,9.39,34,2026-04-27T13:18:22Z
jaredwray/keyv,gh/96540810,8.5,70,0,10,True,5,2026-04-13T12:41:41Z,263,298,1.133,9.8,-35,11.5,6.8,-0.0894,84.98,222.7286,42.51,0.0,78.08,-0.5,8.6,31,2026-04-27T13:18:22Z
jawah/charset_normalizer,gh/200259335,6.4,20,0,10,True,5,2026-04-03T04:38:35Z,106,110,1.038,16.42,-4,-1.8,-2.4,-0.0283,67.69,337.95,54.7,0.0,78.08,-0.2,14.25,39,2026-04-27T13:18:22Z
